MoonRise,Az,Phase,Paksha,days,Fullmoon,Newmoon,Eclipse
-01497-12-29,92.909,33.766,Krishna,22648.0,0,0,0.0
-01497-12-30,98.6007,24.904,Krishna,22647.0,0,0,0.0
-01497-12-31,104.9355,16.897000000000002,Krishna,22646.0,0,0,0.0
-01498-01-01,107.6859,26.951999999999998,Shukla,23375.0,0,0,0.0
-01498-01-02,101.8754,37.936,Shukla,23374.0,0,0,0.0
-01498-01-03,96.0345,49.244,Shukla,23373.0,0,0,0.0
-01498-01-04,90.3404,60.273,Shukla,23372.0,0,0,0.0
-01498-01-05,83.9576,70.473,Shukla,23371.0,0,0,0.0
-01498-01-06,78.8951,79.583,Shukla,23370.0,0,0,0.0
-01498-01-07,74.2859,87.24,Shukla,23369.0,0,0,0.0
-01498-01-08,70.2371,93.219,Shukla,23368.0,0,0,0.0
-01498-01-09,66.8707,97.365,Shukla,23367.0,0,0,0.0
-01498-01-10,65.2742,99.6,Shukla,23366.0,1,0,0.0
-01498-01-11,64.6251,99.866,Shukla,23365.0,1,0,0.0
-01498-01-12,65.0141,98.204,Krishna,23364.0,0,0,0.0
-01498-01-13,66.4675,94.708,Krishna,23363.0,0,0,0.0
-01498-01-14,69.9416,89.477,Krishna,23362.0,0,0,0.0
-01498-01-15,73.343,82.749,Krishna,23361.0,0,0,0.0
-01498-01-16,78.5027,74.639,Krishna,23360.0,0,0,0.0
-01498-01-17,84.2152,65.411,Krishna,23359.0,0,0,0.0
-01498-01-18,89.2271,55.393,Krishna,23358.0,0,0,0.0
-01498-01-19,95.2866,44.787,Krishna,23357.0,0,0,0.0
-01498-01-20,101.0569,34.062,Krishna,23356.0,0,0,0.0
-01498-01-21,106.1578,23.743000000000002,Krishna,23355.0,0,0,0.0
-01498-01-22,111.1765,14.424000000000001,Krishna,23354.0,0,0,0.0
-01498-01-23,114.686,6.9079999999999995,Krishna,23353.0,0,0,0.0
-01498-01-25,116.4121,1.922,Krishna,23351.0,0,0,0.0
-01498-01-26,116.3391,0.028999999999999998,Krishna,23350.0,0,1,0.0
-01498-01-27,113.7732,1.463,Shukla,23349.0,0,0,0.0
-01498-01-28,110.1576,6.0729999999999995,Shukla,23348.0,0,0,0.0
-01498-01-29,105.0156,13.331,Shukla,23347.0,0,0,0.0
-01498-01-30,98.754,22.51,Shukla,23346.0,0,0,0.0
-01498-01-31,92.6252,32.9,Shukla,23345.0,0,0,0.0
-01498-02-01,85.8579,43.74100000000001,Shukla,23344.0,0,0,0.0
-01498-02-02,80.4839,54.586000000000006,Shukla,23343.0,0,0,0.0
-01498-02-03,75.631,64.902,Shukla,23342.0,0,0,0.0
-01498-02-04,71.3776,74.325,Shukla,23341.0,0,0,0.0
-01498-02-05,67.8115,82.565,Shukla,23340.0,0,0,0.0
-01498-02-06,65.0276,89.397,Shukla,23339.0,0,0,0.0
-01498-02-07,64.1008,94.665,Shukla,23338.0,0,0,0.0
-01498-02-08,64.165,98.178,Shukla,23337.0,0,0,0.0
-01498-02-09,66.2613,99.84,Shukla,23336.0,1,0,0.0
-01498-02-10,68.42,99.583,Krishna,23335.0,1,0,0.0
-01498-02-11,72.5369,97.40299999999999,Krishna,23334.0,0,0,0.0
-01498-02-12,76.4752,93.38,Krishna,23333.0,0,0,0.0
-01498-02-13,82.046,87.566,Krishna,23332.0,0,0,0.0
-01498-02-14,88.0141,80.132,Krishna,23331.0,0,0,0.0
-01498-02-15,93.0999,71.33800000000001,Krishna,23330.0,0,0,0.0
-01498-02-16,99.0405,61.341,Krishna,23329.0,0,0,0.0
-01498-02-17,104.4875,50.53,Krishna,23328.0,0,0,0.0
-01498-02-18,109.0717,39.347,Krishna,23327.0,0,0,0.0
-01498-02-19,113.415,28.291999999999998,Krishna,23326.0,0,0,0.0
-01498-02-20,116.1669,18.124000000000002,Krishna,23325.0,0,0,0.0
-01498-02-21,117.1463,9.616,Krishna,23324.0,0,0,0.0
-01498-02-23,115.4338,3.549,Krishna,23322.0,0,0,0.0
-01498-02-24,112.3252,0.45899999999999996,Krishna,23321.0,0,1,0.0
-01498-02-25,107.2966,0.626,Shukla,23320.0,0,0,0.0
-01498-02-26,101.7791,3.949,Shukla,23319.0,0,0,0.0
-01498-02-27,95.2132,9.975,Shukla,23318.0,0,0,0.0
-01498-02-28,88.861,18.098,Shukla,23317.0,0,0,0.0
-01498-03-01,82.932,27.63,Shukla,23316.0,0,0,0.0
-01498-03-02,76.6162,37.854,Shukla,23315.0,0,0,0.0
-01498-03-03,71.9194,48.349,Shukla,23314.0,0,0,0.0
-01498-03-04,67.9686,58.602,Shukla,23313.0,0,0,0.0
-01498-03-05,65.8102,68.319,Shukla,23312.0,0,0,0.0
-01498-03-06,64.5666,77.133,Shukla,23311.0,0,0,0.0
-01498-03-07,64.3188,84.79299999999999,Shukla,23310.0,0,0,0.0
-01498-03-08,65.1152,91.079,Shukla,23309.0,0,0,0.0
-01498-03-09,67.9477,95.819,Shukla,23308.0,0,0,0.0
