UTC_Date,EclType,PenMag,UmbralMag,PenEclipseBegins,Alt1,PartialEclipseBegins,Alt2,TotalEclipseBegins,Alt3,MidEclipse,Alt4,TotalEclipseEnds,Alt5,PartialEclipseEnds,Alt6,PenEclipseEnds,Alt7
-01435-03-04,N,1.007,-0.071,19:02,+09,-,-,-,-,21:24,+40,-,-,-,-,23:46,+67
-01435-08-29,P,1.192,0.214,01:02,+47,02:25,+39,-,-,03:15,+32,-,-,04:05,+23,05:28,+07
-01434-07-19,N,0.895,-0.151,23:44,+37,-,-,-,-,01:55,+34,-,-,-,-,04:05,+17
-01433-01-12,T,2.206,1.230,21:17,+45,22:14,+58,23:21,+72,23:54,+79,00:28,+86,01:34,+78,02:32,+65
-01433-07-09,T,2.249,1.175,00:50,+37,02:03,+32,03:20,+22,03:53,+17,04:26,+12,05:43,-03,06:56,-17
-01432-01-02,T,2.236,1.267,13:09,-39,14:05,-35,15:10,-28,15:45,-23,16:20,-17,17:25,-05,18:21,+05
-01432-06-27,T,2.142,1.088,01:52,+34,03:03,+25,04:26,+11,04:49,+07,05:13,+03,06:35,-14,07:46,-28
-01432-12-22,N,0.959,-0.048,03:58,+41,-,-,-,-,06:03,+14,-,-,-,-,08:09,-10
-01431-05-18,N,0.177,-0.795,01:36,+41,-,-,-,-,02:33,+34,-,-,-,-,03:30,+25
-01431-11-11,N,0.750,-0.343,18:53,+15,-,-,-,-,20:58,+42,-,-,-,-,23:03,+69
-01430-05-07,P,1.580,0.639,16:09,-34,17:12,-21,-,-,18:32,-04,-,-,19:51,+12,20:54,+24
-01430-10-31,P,1.968,0.863,17:11,-09,18:30,+07,-,-,20:10,+29,-,-,21:50,+51,23:09,+66
-01429-10-20,T,2.557,1.492,18:32,+05,19:39,+20,20:44,+34,21:31,+44,22:18,+53,23:23,+64,00:30,+69
-01428-04-15,P,1.313,0.312,22:53,+52,00:16,+58,-,-,01:18,+56,-,-,02:19,+49,03:42,+34
-01428-10-09,P,1.282,0.276,03:45,+33,05:08,+15,-,-,06:05,+03,-,-,07:02,-09,08:24,-26
-01427-03-06,N,0.701,-0.377,14:46,-43,-,-,-,-,16:48,-21,-,-,-,-,18:50,+04
-01427-09-28,N,0.112,-0.856,19:46,+15,-,-,-,-,20:30,+24,-,-,-,-,21:14,+33
-01426-02-23,P,2.038,0.964,13:57,-45,15:12,-36,-,-,16:55,-18,-,-,18:38,+03,19:52,+19
-01426-08-19,T,2.025,1.037,23:39,+44,00:41,+45,02:03,+40,02:18,+38,02:32,+36,03:55,+24,04:57,+12
-01425-02-12,T,2.359,1.331,18:40,+07,19:44,+20,20:51,+35,21:32,+44,22:12,+52,23:19,+67,00:23,+78
-01424-02-02,P,1.062,0.083,07:04,+04,08:40,-15,-,-,09:12,-20,-,-,09:43,-25,11:19,-38
-01423-06-17,N,0.976,-0.063,23:18,+39,-,-,-,-,01:33,+37,-,-,-,-,03:48,+20
-01423-12-13,T,2.199,1.174,01:08,+77,02:12,+64,03:24,+48,03:55,+42,04:25,+35,05:37,+20,06:41,+07
-01421-05-27,P,1.855,0.911,23:03,+41,00:02,+44,-,-,01:33,+40,-,-,03:04,+28,04:02,+18
-01420-05-16,N,0.513,-0.432,17:20,-20,-,-,-,-,18:52,-01,-,-,-,-,20:24,+17
-01420-10-10,N,0.553,-0.493,16:11,-29,-,-,-,-,17:55,-07,-,-,-,-,19:39,+16
-01419-04-06,P,1.876,0.857,20:46,+29,21:55,+43,-,-,23:30,+58,-,-,01:05,+60,02:14,+53
-01419-09-30,P,1.899,0.909,01:58,+51,03:01,+40,-,-,04:33,+22,-,-,06:05,+03,07:08,-10
-01418-03-27,T,2.481,1.414,01:00,+65,02:10,+56,03:18,+43,04:04,+34,04:50,+24,05:59,+09,07:08,-06
-01418-09-19,T,2.524,1.560,17:18,-18,18:13,-06,19:11,+06,19:57,+16,20:43,+26,21:41,+37,22:35,+46
