DaysSince,Date,jd,Body,EclType,Mag
502,-1883-Mar-07,1033374.0,L,N,0.498
30,-1883-Apr-06,1033404.0,L,N,0.48200000000000004
146,-1883-Aug-31,1033550.0,L,N,0.209
354,-1882-Aug-20,1033904.0,L,P,1.524
178,-1881-Feb-14,1034082.0,L,T,2.571
178,-1881-Aug-10,1034260.0,L,T,2.8310000000000004
502,-1880-Dec-24,1034762.0,L,N,0.43799999999999994
176,-1879-Jun-19,1034938.0,L,N,0.823
178,-1879-Dec-13,1035116.0,L,P,1.735
354,-1878-Dec-03,1035470.0,L,T,2.696
178,-1877-May-29,1035648.0,L,T,2.126
176,-1877-Nov-22,1035824.0,L,P,1.4669999999999999
178,-1876-May-17,1036002.0,L,N,0.722
148,-1876-Oct-12,1036150.0,L,N,0.444
354,-1875-Oct-02,1036504.0,L,P,1.651
176,-1874-Mar-27,1036680.0,L,T,2.773
356,-1873-Mar-17,1037036.0,L,P,1.57
176,-1873-Sep-10,1037212.0,L,P,1.595
148,-1872-Feb-05,1037360.0,L,N,0.605
178,-1872-Jul-31,1037538.0,L,N,0.39
178,-1871-Jan-25,1037716.0,L,P,1.885
354,-1870-Jan-14,1038070.0,L,T,2.6239999999999997
354,-1869-Jan-03,1038424.0,L,P,1.35
176,-1869-Jun-29,1038600.0,L,P,1.177
148,-1869-Nov-24,1038748.0,L,N,0.502
178,-1868-May-19,1038926.0,L,N,0.963
176,-1868-Nov-12,1039102.0,L,P,1.74
178,-1867-May-08,1039280.0,L,T,2.359
178,-1867-Nov-02,1039458.0,L,T,2.7439999999999998
176,-1866-Apr-27,1039634.0,L,P,1.97
178,-1866-Oct-22,1039812.0,L,P,1.4469999999999998
148,-1865-Mar-19,1039960.0,L,N,0.39799999999999996
176,-1865-Sep-12,1040136.0,L,N,0.156
30,-1865-Oct-11,1040166.0,L,N,0.124
148,-1864-Mar-07,1040314.0,L,P,1.7069999999999999
176,-1864-Aug-31,1040490.0,L,P,1.46
532,-1862-Feb-14,1041022.0,L,P,1.26
176,-1862-Aug-09,1041198.0,L,P,1.5719999999999998
150,-1861-Jan-05,1041348.0,L,N,0.409
354,-1861-Dec-25,1041702.0,L,P,1.722
176,-1860-Jun-19,1041878.0,L,T,2.039
356,-1859-Jun-09,1042234.0,L,T,2.283
176,-1859-Dec-03,1042410.0,L,P,1.4669999999999999
178,-1858-May-29,1042588.0,L,N,0.882
148,-1858-Oct-24,1042736.0,L,N,0.434
28,-1858-Nov-22,1042764.0,L,N,0.256
148,-1857-Apr-18,1042912.0,L,P,1.224
532,-1856-Oct-01,1043444.0,L,T,2.908
178,-1855-Mar-28,1043622.0,L,P,1.679
176,-1855-Sep-20,1043798.0,L,P,1.64
148,-1854-Feb-16,1043946.0,L,N,0.527
30,-1854-Mar-17,1043976.0,L,N,0.311
176,-1854-Sep-09,1044152.0,L,N,0.4
324,-1853-Jul-31,1044476.0,L,P,1.6740000000000002
178,-1852-Jan-25,1044654.0,L,T,2.677
178,-1852-Jul-20,1044832.0,L,T,2.6860000000000004
176,-1851-Jan-13,1045008.0,L,P,1.3869999999999998
178,-1851-Jul-10,1045186.0,L,P,1.296
176,-1850-Jan-02,1045362.0,L,N,0.17800000000000002
148,-1850-May-30,1045510.0,L,N,0.8009999999999999
178,-1850-Nov-24,1045688.0,L,P,1.7409999999999999
176,-1849-May-19,1045864.0,L,T,2.197
178,-1849-Nov-13,1046042.0,L,T,2.7430000000000003
178,-1848-May-08,1046220.0,L,T,2.119
178,-1848-Nov-02,1046398.0,L,P,1.449
176,-1847-Apr-27,1046574.0,L,N,0.7509999999999999
178,-1847-Oct-22,1046752.0,L,N,0.13699999999999998
148,-1846-Mar-19,1046900.0,L,P,1.601
354,-1845-Mar-08,1047254.0,L,T,2.747
176,-1845-Aug-31,1047430.0,L,T,2.759
178,-1844-Feb-25,1047608.0,L,P,1.345
532,-1843-Aug-10,1048140.0,L,N,0.38299999999999995
324,-1842-Jul-01,1048464.0,L,P,1.909
176,-1842-Dec-24,1048640.0,L,T,2.708
710,-1840-Dec-03,1049350.0,L,N,0.249
148,-1839-Apr-29,1049498.0,L,P,1.087
176,-1839-Oct-23,1049674.0,L,P,1.6269999999999998
178,-1838-Apr-18,1049852.0,L,T,2.519
176,-1838-Oct-12,1050028.0,L,T,2.889
354,-1837-Oct-01,1050382.0,L,P,1.6740000000000002
180,-1836-Mar-28,1050562.0,L,N,0.41200000000000003
176,-1836-Sep-20,1050738.0,L,N,0.444
148,-1835-Feb-15,1050886.0,L,P,1.735
354,-1834-Feb-04,1051240.0,L,T,2.7439999999999998
176,-1834-Jul-31,1051416.0,L,T,2.783
178,-1833-Jan-24,1051594.0,L,P,1.436
324,-1833-Dec-15,1051918.0,L,N,0.503
30,-1832-Jan-14,1051948.0,L,N,0.212
148,-1832-Jun-10,1052096.0,L,N,0.644
354,-1831-May-30,1052450.0,L,P,2.036
178,-1831-Nov-23,1052628.0,L,T,2.742
530,-1829-May-08,1053158.0,L,N,0.8909999999999999
148,-1829-Oct-03,1053306.0,L,N,0.083
354,-1828-Sep-21,1053660.0,L,P,1.3730000000000002
178,-1827-Mar-18,1053838.0,L,T,2.852
178,-1827-Sep-11,1054016.0,L,T,2.7119999999999997
178,-1826-Mar-08,1054194.0,L,P,1.445
176,-1826-Aug-31,1054370.0,L,P,1.7080000000000002
148,-1825-Jan-26,1054518.0,L,N,0.313
176,-1825-Jul-22,1054694.0,L,N,0.478
178,-1824-Jan-15,1054872.0,L,P,1.665
354,-1823-Jan-04,1055226.0,L,T,2.7239999999999998
178,-1823-Jun-30,1055404.0,L,T,2.5810000000000004
176,-1823-Dec-24,1055580.0,L,P,1.4809999999999999
178,-1822-Jun-19,1055758.0,L,P,1.195
148,-1822-Nov-14,1055906.0,L,N,0.428
354,-1821-Nov-04,1056260.0,L,P,1.6219999999999999
176,-1820-Apr-28,1056436.0,L,T,2.385
178,-1820-Oct-23,1056614.0,L,T,2.8760000000000003
178,-1819-Apr-18,1056792.0,L,P,1.923
176,-1819-Oct-12,1056968.0,L,P,1.696
148,-1818-Mar-09,1057116.0,L,N,0.33299999999999996
178,-1818-Sep-02,1057294.0,L,N,0.213
178,-1817-Feb-27,1057472.0,L,P,1.6369999999999998
354,-1816-Feb-16,1057826.0,L,T,2.825
354,-1815-Feb-04,1058180.0,L,P,1.4969999999999999
176,-1815-Jul-31,1058356.0,L,P,1.5
148,-1815-Dec-26,1058504.0,L,N,0.494
208,-1814-Jul-21,1058712.0,L,N,0.063
146,-1814-Dec-15,1058858.0,L,P,1.732
532,-1812-May-29,1059390.0,L,T,2.418
178,-1812-Nov-23,1059568.0,L,P,1.444
148,-1811-Apr-20,1059716.0,L,N,0.051
176,-1811-Oct-14,1059892.0,L,N,0.062
30,-1811-Nov-12,1059922.0,L,N,0.14800000000000002
148,-1810-Apr-09,1060070.0,L,P,1.36
