kavya,a,ā,i,ī,u,ū,ṛ,e,ai,o,au,k,kh,g,gh,ṅ,c,ch,j,jh,ñ,ṭ,ṭh,ḍ,ḍh,ṇ,t,th,d,dh,n,p,ph,b,bh,m,y,r,l,v,ś,ṣ,s,h
mudra_raks,0.1265397536394177,0.02127659574468085,0.0761478163493841,0.0033594624860022394,0.025755879059350503,0.0011198208286674132,0.0022396416573348264,0.023516237402015677,0.0011198208286674132,0.0,0.0,0.0671892497200448,0.0,0.022396416573348264,0.0011198208286674132,0.0,0.025755879059350503,0.0011198208286674132,0.022396416573348264,0.0,0.0,0.0011198208286674132,0.0,0.0011198208286674132,0.0,0.0,0.040313549832026875,0.0,0.03807390817469205,0.006718924972004479,0.0683090705487122,0.07054871220604703,0.0011198208286674132,0.0167973124300112,0.019036954087346025,0.05711086226203808,0.029115341545352745,0.019036954087346025,0.014557670772676373,0.07502799552071669,0.027995520716685332,0.0,0.083986562150056,0.008958566629339306
naishadiya,0.2170725320764598,0.05642838439382037,0.04582351400890285,0.0072008379156847345,0.03901544907043729,0.003534956794972506,0.0010473946059177796,0.03390940036658811,0.0027494108405341712,0.000916470280178057,0.0007855459544383347,0.04935847080387536,0.003534956794972506,0.012568735271013355,0.0027494108405341712,0.0,0.019114951557999475,0.0006546216286986122,0.01230688661953391,0.0002618486514794449,0.0,0.0,0.0,0.00013092432573972245,0.0,0.0,0.06271275202932705,0.0,0.032992930086410056,0.007986383870123069,0.061796281749148994,0.05564283843938204,0.0010473946059177796,0.01125949201361613,0.018984027232259754,0.040455616653574236,0.02526839486776643,0.012699659596753076,0.006153443309766955,0.06087981146897094,0.019638648860958365,0.0002618486514794449,0.05734485467399843,0.015710919088766692
raghuvamsham,0.1826848750322082,0.0785879927853646,0.0489564545220304,0.006183973202782788,0.03916516361762432,0.0018036588508116465,0.007987632053594434,0.0249935583612471,0.0018036588508116465,0.0002576655501159495,0.0007729966503478485,0.03761917031692863,0.000515331100231899,0.01597526410718887,0.0002576655501159495,0.0,0.02525122391136305,0.0018036588508116465,0.014686936356609122,0.0,0.0,0.0,0.0,0.0,0.0,0.0002576655501159495,0.053336768874001544,0.0,0.028600876062870394,0.006183973202782788,0.04019582581808812,0.08554496263849523,0.000515331100231899,0.011852615305333677,0.014171605256377222,0.04071115691832002,0.021901571759855708,0.02576655501159495,0.009018294254058232,0.06106673537748003,0.0260242205617109,0.0007729966503478485,0.07137335738211802,0.013398608606029374
ratnavali,0.04812206572769953,0.015258215962441314,0.018779342723004695,0.0,0.01995305164319249,0.0,0.0,0.011737089201877934,0.002347417840375587,0.0,0.0,0.07276995305164319,0.011737089201877934,0.036384976525821594,0.0,0.0,0.03169014084507042,0.0,0.051643192488262914,0.002347417840375587,0.0,0.0,0.0,0.0,0.0,0.03286384976525822,0.062206572769953054,0.0,0.07863849765258216,0.005868544600938967,0.056338028169014086,0.12441314553990611,0.0,0.017605633802816902,0.03873239436619718,0.06103286384976526,0.01056338028169014,0.014084507042253521,0.005868544600938967,0.06338028169014084,0.009389671361502348,0.0,0.08098591549295775,0.015258215962441314
sahrudaya,0.044444444444444446,0.008888888888888889,0.013968253968253968,0.0006349206349206349,0.006984126984126984,0.0006349206349206349,0.0,0.01650793650793651,0.0,0.0,0.0012698412698412698,0.0673015873015873,0.0012698412698412698,0.018412698412698412,0.0044444444444444444,0.0,0.0673015873015873,0.0038095238095238095,0.012063492063492064,0.0006349206349206349,0.0,0.0,0.0,0.0,0.0,0.0019047619047619048,0.09333333333333334,0.0,0.025396825396825397,0.02412698412698413,0.06603174603174604,0.11301587301587301,0.0006349206349206349,0.02095238095238095,0.01650793650793651,0.03301587301587302,0.04825396825396826,0.03365079365079365,0.011428571428571429,0.10158730158730159,0.0419047619047619,0.0,0.07746031746031747,0.022222222222222223
shakuntalam,0.1032540675844806,0.0425531914893617,0.03128911138923655,0.0012515644555694619,0.02065081351689612,0.0,0.0006257822277847309,0.016270337922403004,0.0,0.0,0.0,0.06195244055068836,0.008135168961201502,0.024405506883604506,0.0006257822277847309,0.0,0.025657071339173967,0.0018773466833541927,0.015644555694618274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0688360450563204,0.0,0.039424280350438046,0.004380475594493116,0.08010012515644556,0.10763454317897372,0.0006257822277847309,0.01877346683354193,0.030663329161451813,0.058823529411764705,0.02002503128911139,0.028160200250312892,0.009386733416770964,0.06821026282853566,0.024405506883604506,0.0,0.07384230287859825,0.012515644555694618
shishupala,0.10223110223110222,0.022893772893772892,0.02405927405927406,0.002664002664002664,0.027056277056277056,0.0014985014985014985,0.0005827505827505828,0.011821511821511822,0.0005827505827505828,0.0005827505827505828,0.0004995004995004995,0.06376956376956378,0.0028305028305028305,0.029803529803529804,0.0028305028305028305,0.0,0.046703296703296704,0.001998001998001998,0.0173992673992674,8.325008325008325e-05,0.0,0.0,0.0,0.0001665001665001665,8.325008325008325e-05,0.00024975024975024975,0.06235431235431235,8.325008325008325e-05,0.04212454212454213,0.011904761904761904,0.061022311022311024,0.08658008658008658,0.001665001665001665,0.015318015318015318,0.027389277389277388,0.044622044622044624,0.044622044622044624,0.025557775557775556,0.010323010323010324,0.07592407592407592,0.0318015318015318,0.000666000666000666,0.07875457875457875,0.018897768897768896
tarkasangraha,0.07425742574257425,0.01485148514851485,0.019801980198019802,0.0049504950495049506,0.0049504950495049506,0.0,0.0,0.019801980198019802,0.0,0.0,0.0,0.054455445544554455,0.0,0.024752475247524754,0.009900990099009901,0.0,0.0594059405940594,0.0,0.04950495049504951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07920792079207921,0.0,0.04455445544554455,0.0049504950495049506,0.054455445544554455,0.16336633663366337,0.0,0.0049504950495049506,0.0049504950495049506,0.0049504950495049506,0.019801980198019802,0.019801980198019802,0.009900990099009901,0.054455445544554455,0.034653465346534656,0.0049504950495049506,0.13861386138613863,0.019801980198019802
udayana,0.06687898089171974,0.006369426751592357,0.012738853503184714,0.0031847133757961785,0.025477707006369428,0.0031847133757961785,0.0,0.006369426751592357,0.0,0.0,0.0031847133757961785,0.08917197452229299,0.0,0.01592356687898089,0.006369426751592357,0.0,0.06687898089171974,0.0,0.025477707006369428,0.0031847133757961785,0.0,0.0,0.0,0.0,0.0,0.0,0.11464968152866242,0.0,0.03184713375796178,0.006369426751592357,0.06050955414012739,0.07961783439490445,0.009554140127388535,0.025477707006369428,0.03821656050955414,0.01910828025477707,0.022292993630573247,0.012738853503184714,0.01910828025477707,0.09872611464968153,0.022292993630573247,0.0,0.08280254777070063,0.022292993630573247
yougandharayanam,0.04072398190045249,0.01583710407239819,0.023755656108597284,0.0,0.01583710407239819,0.0,0.0011312217194570137,0.006787330316742082,0.0011312217194570137,0.0,0.0,0.08710407239819004,0.012443438914027148,0.05656108597285068,0.005656108597285068,0.0,0.026018099547511313,0.0022624434389140274,0.005656108597285068,0.0,0.0,0.0,0.0,0.0,0.0,0.02262443438914027,0.048642533936651584,0.0,0.06561085972850679,0.005656108597285068,0.06108597285067873,0.13122171945701358,0.0,0.01809954751131222,0.058823529411764705,0.04524886877828054,0.020361990950226245,0.016968325791855202,0.004524886877828055,0.07239819004524888,0.032805429864253395,0.0,0.08484162895927602,0.010180995475113122
