Group	Work	WorkUrl
Ramayana	sa_mArkaNDeyapurANa1-93	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_mArkaNDeyapurANa1-93.txt
Ramayana	sa_matsyapurANa1-176	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_matsyapurANa1-176.txt
Ramayana	sa_nAradapurANa	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_nAradapurANa.txt
Ramayana	sa_narasiMhapurANa	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_narasiMhapurANa.txt
Ramayana	sa_zivapurANabooks-1-and-7	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_zivapurANabooks-1-and-7.txt
Ramayana	sa_skandapurANa1-31	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_skandapurANa1-31.txt
Ramayana	sa_skandapurANa-revAkhaNDa-rks	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_skandapurANa-revAkhaNDa-rks.txt
Ramayana	sa_vAmanapurANa1-69	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_vAmanapurANa1-69.txt
Ramayana	sa_vAmanapurANasaromAhAtmya	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_vAmanapurANasaromAhAtmya.txt
Ramayana	sa_revAkhANDa-of-the-vAyupurANa-rkv	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_revAkhANDa-of-the-vAyupurANa-rkv.txt
Ramayana	sa_viSNudharmottarapurANa-2	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_viSNudharmottarapurANa-2.txt
Ramayana	sa_viSNudharmottarapurANa3	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_viSNudharmottarapurANa3.txt
Ramayana	sa_viSNupurANa-crit	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_viSNupurANa-crit.txt
Ramayana	sa_viSNupurANa	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_viSNupurANa.txt
Vaisnava	sa_aSTAvakragItA	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_aSTAvakragItA.txt
Vaisnava	sa_bhRgusaMhitA	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_bhRgusaMhitA.txt
Vaisnava	sa_brahmasaMhitA-5-comm	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_brahmasaMhitA-5-comm.txt
Vaisnava	sa_bhaktivinoda-harinAmacintAmaNi	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_bhaktivinoda-harinAmacintAmaNi.txt
Vaisnava	sa_dhyAnacandragosvAmin-gauragaovindArcanasmaraNapaddhati	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_dhyAnacandragosvAmin-gauragaovindArcanasmaraNapaddhati.txt
Vaisnava	sa_dhyAnacandragosvAmin-rAdhAkRSNASTakAlIyalIlAsmaraNakramapaddhati	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_dhyAnacandragosvAmin-rAdhAkRSNASTakAlIyalIlAsmaraNakramapaddhati.txt
Vaisnava	sa_gopAlabhaTTa-haribhaktivilAsa-1-11	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_gopAlabhaTTa-haribhaktivilAsa-1-11.txt
Vaisnava	sa_jIvagosvAmin-rAdhAkRSNArcanadIpikA	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_jIvagosvAmin-rAdhAkRSNArcanadIpikA.txt
Vaisnava	sa_jiva-gosvami-satsamdarbha	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_jiva-gosvami-satsamdarbha.txt
Vaisnava	sa_jJAnAmRtasArasaMhitA	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_jJAnAmRtasArasaMhitA.txt
Vaisnava	sa_kezavakAzmIri-kramadIpikA	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_kezavakAzmIri-kramadIpikA.txt
Vaisnava	sa_kRSNadAsa-bhAvanAsArasaMgraha-1-2	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_kRSNadAsa-bhAvanAsArasaMgraha-1-2.txt
Vaisnava	sa_kulazekhara-mukundamAlA	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_kulazekhara-mukundamAlA.txt
Vaisnava	sa_mAdhva-kRSNAmRtamahArNava	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_mAdhva-kRSNAmRtamahArNava.txt
Vaisnava	sa_pauSkarasaMhitA-27-43	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_pauSkarasaMhitA-27-43.txt
Vaisnava	sa_prabodhAnandasarasvatI-caitanyacandrAmRta	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_prabodhAnandasarasvatI-caitanyacandrAmRta.txt
Vaisnava	sa_prakAzasaMhitA	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_prakAzasaMhitA.txt
Vaisnava	sa_rAdhAkRSNadAsagosvAmin-sAdhanadIpikA	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_rAdhAkRSNadAsagosvAmin-sAdhanadIpikA.txt
Vaisnava	sa_raghunAthadAsagosvAmin-muktAcarita	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_raghunAthadAsagosvAmin-muktAcarita.txt
