Calendar Date	Type	Pen. Mag.	Umbral Mag.	Pen. Begins	Alt	Partial Begins	Alt	Total Begins	Alt	Mid-Eclipse	Alt	Total Ends	Alt	Partial Ends	Alt	Pen. Ends	Alt
-1454-Aug-29	T	2.425	1.467	0:21	+47	1:16	+46	2:15	+40	2:59	+34	3:42	+27	4:42	+16	5:36	+05
-1453-Aug-18	P	1.127	0.155	16:56	-28	18:23	-9	-	-	19:05	-1	-	-	19:48	+08	21:15	+24
-1452-Jan-13	N	0.904	-0.123	0:51	+86	-	-	-	-	2:57	+59	-	-	-	-	5:02	+32
-1452-Jul-08	N	1.02	-0.019	16:36	-33	-	-	-	-	18:54	-6	-	-	-	-	21:11	+19
-1451-Jan-01	T	2.23	1.25	12:36	-39	13:34	-37	14:39	-31	15:14	-27	15:49	-22	16:54	-11	17:52	+00
-1451-Jun-27	T	2.393	1.322	18:13	-12	19:24	+02	20:35	+15	21:17	+22	21:59	+28	23:11	+36	0:22	+39
-1451-Dec-22	T	2.222	1.252	4:19	+36	5:16	+24	6:21	+10	6:55	+04	7:30	-3	8:35	-15	9:31	-24
-1450-Jun-16	P	1.993	0.938	19:14	+02	20:27	+16	-	-	22:08	+31	-	-	23:50	+40	1:03	+39
-1450-Dec-11	N	0.957	-0.048	19:15	+20	-	-	-	-	21:20	+47	-	-	-	-	23:25	+74
-1449-May-07	N	0.304	-0.672	18:02	-10	-	-	-	-	19:17	+05	-	-	-	-	20:32	+20
-1449-Jun-06	N	0.622	-0.381	2:41	+31	-	-	-	-	4:28	+13	-	-	-	-	6:15	-8
-1447-Apr-16	T	2.601	1.649	1:29	+54	2:23	+47	3:21	+37	4:09	+27	4:58	+17	5:55	+05	6:50	-7
-1446-Apr-05	P	1.189	0.19	15:45	-36	17:15	-18	-	-	18:04	-8	-	-	18:53	+03	20:23	+22
-1446-Sep-28	P	1.258	0.252	19:11	+08	20:35	+26	-	-	21:30	+37	-	-	22:25	+47	23:50	+58
-1445-Aug-20	N	0.829	-0.127	0:55	+45	-	-	-	-	2:47	+35	-	-	-	-	4:40	+16
-1444-Feb-13	T	2.126	1.047	6:38	+07	7:52	-8	9:20	-24	9:37	-27	9:55	-30	11:23	-42	12:37	-47
-1444-Aug-08	T	2.102	1.121	15:42	-45	16:42	-32	17:56	-17	18:21	-11	18:47	-6	20:01	+08	21:01	+19
-1443-Jul-29	T	2.238	1.205	1:59	+35	3:05	+26	4:17	+15	4:51	+08	5:25	+02	6:38	-12	7:44	-26
-1442-Jan-21	P	1.014	0.03	22:45	+64	0:32	+86	-	-	0:51	+86	-	-	1:10	+83	2:56	+60
