sloka	pada	english	speech_part	word_count	verb_count
2.59.37	विलपन्	lamenting	[[('lamenting', 'VBG')]]	1	1
2.72.36	विलपन्	lamenting	[[('lamenting', 'VBG')]]	1	1
2.99.37	विलपन्	lamenting	[[('lamenting', 'VBG')]]	1	1
3.60.36	विलपन्	weeping	[[('weeping', 'VBG')]]	1	1
3.61.11	विलपन्	wailed	[[('wailed', 'VBD')]]	1	1
3.61.28	विलपन्	cried	[[('cried', 'VBN')]]	1	1
2.50.6	विलपन्तः	lamenting	[[('lamenting', 'VBG')]]	1	1
2.105.14	विलपन्तम्	lamenting	[[('lamenting', 'VBG')]]	1	1
2.12.37	विलपन्तम्	lamenting	[[('lamenting', 'VBG')]]	1	1
2.12.50	विलपन्तम्	lamenting	[[('lamenting', 'VBG')]]	1	1
2.77.14	विलपन्तम्	lamenting	[[('lamenting', 'VBG')]]	1	1
2.81.8	विलपन्तम्	lamenting	[[('lamenting', 'VBG')]]	1	1
3.63.18	विलपन्तम्	weeping	[[('weeping', 'VBG')]]	1	1
3.68.8	विलपन्तम्	wailing	[[('wailing', 'VBG')]]	1	1
2.47.12	विलपन्ति स्म	lamented	[[('lamented', 'VBN')]]	1	1
3.49.37	विलपन्ती	pleading crying	[[('pleading', 'VBG'), ('crying', 'VBG')]]	2	2
2.20.55	विलपन्तीम्	lamenting	[[('lamenting', 'VBG')]]	1	1
2.21.28	विलपन्तीम्	lamenting	[[('lamenting', 'VBG')]]	1	1
2.26.19	विलपन्तीम्	lamenting	[[('lamenting', 'VBG')]]	1	1
2.43.21	विलपन्तीम्	lamenting	[[('lamenting', 'VBG')]]	1	1
2.66.13	विलपन्तीम्	lamenting	[[('lamenting', 'VBG')]]	1	1
2.48.32	विलपन्त्यः	lamenting	[[('lamenting', 'VBG')]]	1	1
2.76.10	विलपमानम्	lamenting	[[('lamenting', 'VBG')]]	1	1
2.75.19	विलपमानाम्	lamenting	[[('lamenting', 'VBG')]]	1	1
4.63.7	विलपितम्	wailing	[[('wailing', 'VBG')]]	1	1
2.30.22	विलप्य	lamenting	[[('lamenting', 'VBG')]]	1	1
2.48.36	विलप्य	having lamented	[[('having', 'VBG'), ('lamented', 'VBN')]]	2	2
2.53.27	विलप्य	lamenting	[[('lamenting', 'VBG')]]	1	1
2.53.28	विलप्य	having lamented	[[('having', 'VBG'), ('lamented', 'VBN')]]	2	2
2.63.55	विलप्य	lamenting	[[('lamenting', 'VBG')]]	1	1
2.75.18	विलप्य	lamenting	[[('lamenting', 'VBG')]]	1	1
2.76.22	विलप्य	lamenting	[[('lamenting', 'VBG')]]	1	1
3.21.22	विलप्य	weeping	[[('weeping', 'VBG')]]	1	1
5.13.14	विलप्य	weaping	[[('weaping', 'VBG')]]	1	1
5.28.17	विलप्य	wailing	[[('wailing', 'VBG')]]	1	1
5.58.83	विलप्य	crying	[[('crying', 'VBG')]]	1	1
2.64.19	विलप्य च	wailing	[[('wailing', 'VBG')]]	1	1
1.1.53	विललाप	bewailed	[[('bewailed', 'VBN')]]	1	1
2.13.16	विललाप	lamented	[[('lamented', 'VBN')]]	1	1
2.20.55	विललाप	lamented	[[('lamented', 'VBN')]]	1	1
2.39.3	विललाप	lamented	[[('lamented', 'VBN')]]	1	1
2.42.35	विललाप	lamented	[[('lamented', 'VBN')]]	1	1
2.72.18	विललाप	lamented	[[('lamented', 'VBN')]]	1	1
2.76.4	विललाप	lamented	[[('lamented', 'VBN')]]	1	1
2.77.12	विललाप	lamented	[[('lamented', 'VBN')]]	1	1
2.77.4	विललाप	lamented	[[('lamented', 'VBN')]]	1	1
2.82.10	विललाप	lamented	[[('lamented', 'VBN')]]	1	1
2.99.30	विललाप	lamented	[[('lamented', 'VBN')]]	1	1
3.75.30	विललाप	lamented	[[('lamented', 'VBN')]]	1	1
5.32.4	विललाप	cried	[[('cried', 'VBN')]]	1	1
2.42.13	विललाप च	lamented	[[('lamented', 'VBN')]]	1	1
2.78.25	विललाप च	lamented	[[('lamented', 'VBN')]]	1	1
5.16.2	विललाप ह	lamented	[[('lamented', 'VBN')]]	1	1
5.25.10	विललाप ह	cried	[[('cried', 'VBN')]]	1	1
3.53.26	विलापपूर्वम्	weeping	[[('weeping', 'VBG')]]	1	1
2.64.66	विलुप्यते	is failing	[[('is', 'VBZ'), ('failing', 'VBG')]]	2	2
2.14.68	विलोकयन्	seeing	[[('seeing', 'VBG')]]	1	1
2.15.29	विलोकयन्	seeing	[[('seeing', 'VBG')]]	1	1
2.100.43	विवर्जितः	deserted	[[('deserted', 'VBN')]]	1	1
2.42.30	विवर्जितम्	deserted	[[('deserted', 'VBN')]]	1	1
2.113.23	विवर्जिताम्	deserted	[[('deserted', 'VBN')]]	1	1
2.33.9	विवर्णताम्	discoloured	[[('discoloured', 'VBN')]]	1	1
5.25.8	विवर्णवदना	palefaced	[[('palefaced', 'VBN')]]	1	1
4.52.10	विवर्णवदनाः	palefaced	[[('palefaced', 'VBN')]]	1	1
5.23.9	विवर्त्य	rolling	[[('rolling', 'VBG')]]	1	1
5.67.32	विवर्धमानं च	increasing	[[('increasing', 'VBG')]]	1	1
1.55.20	विवर्धमानः	growing	[[('growing', 'VBG')]]	1	1
5.7.11	विवर्धमानम्	glowing	[[('glowing', 'VBG')]]	1	1
2.105.8	विवर्धितः	reared	[[('reared', 'VBN')]]	1	1
3.44.9	विवशः	tired	[[('tired', 'VBN')]]	1	1
4.1.105	विवशा	dejected	[[('dejected', 'VBN')]]	1	1
2.58.26	विवासितः	has been banished	[[('has', 'VBZ'), ('been', 'VBN'), ('banished', 'VBN')]]	3	3
2.72.45	विवासितः	has been banished	[[('has', 'VBZ'), ('been', 'VBN'), ('banished', 'VBN')]]	3	3
3.72.14	विवासितः	is banished	[[('is', 'VBZ'), ('banished', 'VBN')]]	2	2
2.66.7	विवासितम्	has been banished	[[('has', 'VBZ'), ('been', 'VBN'), ('banished', 'VBN')]]	3	3
2.84.4	विवासितम्	banished	[[('banished', 'VBN')]]	1	1
2.43.8	विवासिताः	having been exiled	[[('having', 'VBG'), ('been', 'VBN'), ('exiled', 'VBN')]]	3	3
2.114.24	विवासिते	having been exiled	[[('having', 'VBG'), ('been', 'VBN'), ('exiled', 'VBN')]]	3	3
2.48.36	विवासिते	exiled	[[('exiled', 'VBN')]]	1	1
2.61.26	विवासिते	has been banished	[[('has', 'VBZ'), ('been', 'VBN'), ('banished', 'VBN')]]	3	3
2.43.3	विवास्य	having banished	[[('having', 'VBG'), ('banished', 'VBN')]]	2	2
2.76.6	विवास्य	banished	[[('banished', 'VBN')]]	1	1
2.114.32	विविक्तम्	secluded	[[('secluded', 'VBD')]]	1	1
2.56.34	विविशतुः	entered	[[('entered', 'VBN')]]	1	1
3.69.5	विविशतुः	entered	[[('entered', 'VBN')]]	1	1
1.18.47	विविशुः	entered	[[('entered', 'VBN')]]	1	1
1.32.24	विविशुः	entered	[[('entered', 'VBN')]]	1	1
1.35.9	विविशुः	entered	[[('entered', 'VBN')]]	1	1
1.58.9	विविशुः	entered	[[('entered', 'VBN')]]	1	1
2.56.36	विविशुः	entered	[[('entered', 'VBN')]]	1	1
2.93.21	विविशुः	entered	[[('entered', 'VBN')]]	1	1
4.48.23	विविशुः	entered	[[('entered', 'VBN')]]	1	1
4.48.7	विविशुः	entered	[[('entered', 'VBN')]]	1	1
4.50.17	विविशुः	entered	[[('entered', 'VBN')]]	1	1
5.22.45	विविशुः	entered	[[('entered', 'VBN')]]	1	1
2.26.7	विवृतताम् गतः	manifested	[[('manifested', 'VBN')]]	1	1
5.1.190	विवृतम्	opened	[[('opened', 'VBN')]]	1	1
5.1.74	विवृताः	exposed	[[('exposed', 'VBN')]]	1	1
5.58.74	विवृत्य	opened	[[('opened', 'VBN')]]	1	1
1.20.27	विवेश	entered	[[('entered', 'VBN')]]	1	1
2.10.10	विवेश	entered	[[('entered', 'VBN')]]	1	1
2.114.31	विवेश	entered	[[('entered', 'VBN')]]	1	1
2.5.25	विवेश	entered	[[('entered', 'VBN')]]	1	1
2.5.26	विवेश	entered	[[('entered', 'VBN')]]	1	1
2.5.5	विवेश	entered	[[('entered', 'VBN')]]	1	1
2.56.30	विवेश	entered	[[('entered', 'VBN')]]	1	1
2.57.23	विवेश	entered	[[('entered', 'VBN')]]	1	1
2.91.27	विवेश	entered	[[('entered', 'VBN')]]	1	1
3.11.70	विवेश	entered	[[('entered', 'VBN')]]	1	1
