local,jd,alt,az,raJ2000,decJ2000,lon,lat,year,month,daynum,daynum_utryn,daynum_dksyn
-1350-02-06T07:15:34.269,1228018.5733132933,0.027190893761596422,108.24222004759626,3.413763911951132,1.4879670808120335,317.26228098116366,0.0026318616998417597,-1350,2,37.0,49.0,229.0
-1350-02-07T07:14:29.339,1228019.5725617902,-0.03478350425843883,107.85334816969055,4.314126484619318,1.8855768208419845,318.2462185169122,0.0027506437652405832,-1350,2,38.0,50.0,230.0
-1350-02-08T07:13:46.052,1228020.5720607883,-0.017026672105026782,107.50575281241618,5.2145053777208865,2.28255282539796,319.22973493231996,0.002873799894153106,-1350,2,39.0,51.0,231.0
-1350-02-09T07:13:02.766,1228021.5715597863,0.005192635139704917,107.1563051267777,6.114767970505872,2.6787000783169685,320.21258798642316,0.0029999128228342677,-1350,2,40.0,52.0,232.0
-1350-02-10T07:12:19.479,1228022.5710587841,0.03179544864241166,106.80507566568184,7.015009785424968,3.0739246482181346,321.1947838127636,0.0031273115316388486,-1350,2,41.0,53.0,233.0
-1350-02-11T07:11:14.549,1228023.5703072813,-0.013237638115588955,106.40891699097044,7.915103175082036,3.468035321803026,322.17608515254915,0.0032540441298235315,-1350,2,42.0,54.0,234.0
-1350-02-12T07:10:31.263,1228024.5698062791,0.021740663442151115,106.05430757961776,8.815599712912485,3.861138524090828,323.15699648396435,0.0033780845829580485,-1350,2,43.0,55.0,235.0
-1350-02-13T07:09:26.333,1228025.569054776,-0.01538177815315141,105.65489097346415,9.716149946400863,4.252947264979836,324.13704365134925,0.003497242570679418,-1350,2,44.0,56.0,236.0
-1350-02-14T07:08:43.046,1228026.5685537742,0.027622257580640387,105.29713118296827,10.61730794617429,4.643568898043355,325.1167410089895,0.0036095797055487175,-1350,2,45.0,57.0,237.0
-1350-02-15T07:07:38.116,1228027.567802271,-0.00193733883524062,104.89466650948393,11.518723686806817,5.032719002135252,326.09562460065837,0.003713356589485709,-1350,2,46.0,58.0,238.0
-1350-02-16T07:06:33.186,1228028.5670507683,-0.027920323667332964,104.49075713172331,12.420722225222747,5.420406968909647,327.07396819171817,0.003807397612661582,-1350,2,47.0,59.0,239.0
-1350-02-17T07:05:49.900,1228029.566549766,0.026374612922236133,104.12865092855122,13.32362535896696,5.806640163690309,328.0520420107425,0.003891109036216578,-1350,2,48.0,60.0,240.0
-1350-02-18T07:04:44.970,1228030.5657982633,0.007423329349236562,103.72199790315932,14.227071012023742,6.191134783524708,329.0293744371086,0.003964472247704044,-1350,2,49.0,61.0,241.0
-1350-02-19T07:03:40.040,1228031.5650467603,-0.0082103742571623,103.31406076151053,15.131370335132175,6.573896447151483,330.0062208536248,0.0040281464068789765,-1350,2,50.0,62.0,242.0
-1350-02-20T07:02:35.110,1228032.5642952572,-0.020609217087540696,102.90489962326616,16.036602571602117,6.954832479027305,330.98258289785826,0.004083303046664917,-1350,2,51.0,63.0,243.0
-1350-02-21T07:01:30.180,1228033.5635437542,-0.02985429614465846,102.49457762947134,16.942841459160526,7.333848933361132,331.9584549484246,0.004131533207642529,-1350,2,52.0,64.0,244.0
-1350-02-22T07:00:25.251,1228034.5627922511,-0.03602521696985021,102.08316012201462,17.85015568875026,7.710850714024941,332.9338261602039,0.00417471379747407,-1350,2,53.0,65.0,245.0
-1350-02-23T06:59:41.964,1228035.5622912492,0.03833659444055107,101.71391401207177,18.75883743575517,8.08583547467639,333.90892702206264,0.004214878341899608,-1350,2,54.0,66.0,246.0
