epoch	tara_name	decl	geo_lat	rise	lat	lon	ra	city_lat°	city_lat	city	year	dt	jd
-3350	arundhatī 	80.18	9.82	-1	56.13	90.77	92.5	9.92°	9.92	Madurai	-3351	-3351-12-23T23:12:29	497462.25
-3300	dhruva	87.09	2.91	-1	66.09	82.84	-5.96	9.92°	9.92	Madurai	-3301	-3301-12-23T23:12:29	515724.25
-3300	mārīca	81.21	8.79	-1	71.06	109.75	-135.88	9.92°	9.92	Madurai	-3301	-3301-12-23T23:12:29	515724.25
-3300	mahendra	76.07	13.93	2.32	74.87	123.18	-126.39	9.92°	9.92	Madurai	-3301	-3301-12-23T23:12:29	515724.25
-3300	agni	75.11	14.89	3.55	78.51	118.25	-111.52	9.92°	9.92	Madurai	-3301	-3301-12-23T23:12:29	515724.25
-3300	vaśiṣṭha	79.99	10.01	14.48	55.97	91.28	94.11	9.92°	9.92	Madurai	-3301	-3301-12-23T23:12:29	515724.25
-3300	arundhatī 	80.16	9.84	-1	56.14	91.45	94.75	9.92°	9.92	Madurai	-3301	-3301-12-23T23:12:29	515724.25
-3250	dhruva	87.37	2.63	-1	66.09	83.53	-5.83	9.92°	9.92	Madurai	-3251	-3251-12-23T23:12:29	533987.25
-3250	mārīca	81.01	8.99	-1	71.05	110.45	-136.53	9.92°	9.92	Madurai	-3251	-3251-12-23T23:12:29	533987.25
-3250	mahendra	75.91	14.09	2.22	74.86	123.86	-126.7	9.92°	9.92	Madurai	-3251	-3251-12-23T23:12:29	533987.25
-3250	agni	75.01	14.99	3.49	78.51	118.95	-111.89	9.92°	9.92	Madurai	-3251	-3251-12-23T23:12:29	533987.25
-3250	vaśiṣṭha	79.97	10.03	14.65	55.97	91.97	96.34	9.92°	9.92	Madurai	-3251	-3251-12-23T23:12:29	533987.25
-3250	arundhatī 	80.13	9.87	-1	56.14	92.15	97	9.92°	9.92	Madurai	-3251	-3251-12-23T23:12:29	533987.25
-3200	dhruva	87.66	2.34	-1	66.09	84.24	-5.9	9.92°	9.92	Madurai	-3201	-3201-12-24T23:12:29	552250.25
-3200	mārīca	80.8	9.2	-1	71.06	111.16	-137.12	9.92°	9.92	Madurai	-3201	-3201-12-24T23:12:29	552250.25
-3200	mahendra	75.74	14.26	2.19	74.86	124.56	-126.98	9.92°	9.92	Madurai	-3201	-3201-12-24T23:12:29	552250.25
-3200	agni	74.9	15.1	3.44	78.51	119.68	-112.25	9.92°	9.92	Madurai	-3201	-3201-12-24T23:12:29	552250.25
-3200	vaśiṣṭha	79.93	10.07	14.82	55.97	92.67	98.58	9.92°	9.92	Madurai	-3201	-3201-12-24T23:12:29	552250.25
-3200	arundhatī 	80.09	9.91	-1	56.15	92.85	99.26	9.92°	9.92	Madurai	-3201	-3201-12-24T23:12:29	552250.25
-3150	dhruva	87.93	2.07	-1	66.1	84.93	-6.09	9.92°	9.92	Madurai	-3151	-3151-12-23T23:12:29	570512.25
-3150	mārīca	80.59	9.41	-1	71.06	111.86	-137.65	9.92°	9.92	Madurai	-3151	-3151-12-23T23:12:29	570512.25
