nid	naks	gname	lon	lat	ra	dec	size	mag	year	date	jd
N04-Roh	रोहिणी	θ2 Tau	19.330	-6.217	20.178	1.956	0	3.400	-1500	-1500-12-31T06:00:00	1173547.534468
N05-Mrg	मृगशीर्ष	λ Ori	35.179	-13.828	37.468	0.449	0	3.500	-1500	-1500-12-31T06:00:00	1173547.534468
N05-Mrg	मृगशीर्ष	γ Ori	32.415	-17.260	36.115	-3.679	0	1.600	-1500	-1500-12-31T06:00:00	1173547.534468
N05-Mrg	मृगशीर्ष	φ1 Ori	35.076	-14.268	37.520	0.000	0	4.350	-1500	-1500-12-31T06:00:00	1173547.534468
N06-Ard	आर्द्रा	γ Gem	50.580	-7.153	50.016	11.322	0	1.900	-1500	-1500-12-31T06:00:00	1173547.534468
N07-Pun	पुनर्वसू	β Gem	65.271	6.517	61.928	27.968	0	1.150	-1500	-1500-12-31T06:00:00	1173547.534468
N07-Pun	पुनर्वसू	α Gem	61.853	9.861	57.341	30.542	0	1.900	-1500	-1500-12-31T06:00:00	1173547.534468
N08-Pus	पुष्य	δ Cnc	80.162	-0.076	79.268	23.423	0	3.900	-1500	-1500-12-31T06:00:00	1173547.534468
N09-Asl	आश्लेषा	ζ Hya	86.203	-11.290	86.186	12.530	0	3.100	-1500	-1500-12-31T06:00:00	1173547.534468
N09-Asl	आश्लेषा	δ Hya	81.925	-12.741	81.979	10.901	0	4.100	-1500	-1500-12-31T06:00:00	1173547.534468
N09-Asl	आश्लेषा	ε Hya	84.146	-11.410	84.126	12.340	0	6.650	-1500	-1500-12-31T06:00:00	1173547.534468
N09-Asl	आश्लेषा	η Hya	83.889	-14.607	84.011	9.135	0	4.300	-1500	-1500-12-31T06:00:00	1173547.534468
N09-Asl	आश्लेषा	ρ Hya	84.474	-11.877	84.474	11.886	0	4.350	-1500	-1500-12-31T06:00:00	1173547.534468
N09-Asl	आश्लेषा	σ Hya	82.791	-14.950	82.954	8.742	0	4.450	-1500	-1500-12-31T06:00:00	1173547.534468
N10-Mag	मघा	ζ Leo	98.956	11.595	100.746	35.126	0	3.400	-1500	-1500-12-31T06:00:00	1173547.534468
N10-Mag	मघा	α Leo	101.568	0.247	102.641	23.603	0	1.350	-1500	-1500-12-31T06:00:00	1173547.534468
N10-Mag	मघा	γ Leo	100.687	8.648	102.491	32.048	0	2.200	-1500	-1500-12-31T06:00:00	1173547.534468
N10-Mag	मघा	ε Leo	92.179	9.419	92.571	33.270	0	2.950	-1500	-1500-12-31T06:00:00	1173547.534468
