year	event	date	sun_lon	obj_lon	sun_lon_dms	obj_lon_dms	obj_rise_set	sun_rise_set	delta_rise_set	age	mag	sun_alt	obj_lat	az_diff	lon_diff	sun_sz	obj_az
-570	acronychal_rising	-570-07-08	98.5	276.3	98° 29'	276° 20'	19:52	19:23	0:29h	1d 10h	-2.6	-6° 25'	-6° 26'	186° 18'	177° 51'	121° 52'	308° 11'
-569	last_visibility	-569-06-03	64.9	83.8	64° 51'	83° 49'	20:16	19:10	1:06h	-58d 22h	2	-13° 17'	1° 06'	-8° 16'	18° 58'	124° 41'	116° 25'
-569	first_visibility	-569-09-25	175.0	156.6	174° 59'	156° 37'	5:04	6:08	-1:03h	54d 11h	2	-14° 31'	1° 05'	1° 28'	-18° 22'	258° 58'	260° 26'
-568	acronychal_rising	-568-09-19	170.3	349.1	170° 20'	349° 05'	18:56	18:30	0:25h	0d 14h	-2.2	-6° 11'	-3° 49'	183° 15'	178° 45'	98° 07'	281° 22'
-568	cosmical_setting	-568-09-20	170.8	348.9	170° 46'	348° 56'	5:41	6:05	-0:24h	1d 01h	-2.2	-6° 05'	-3° 48'	-183° 32'	178° 09'	262° 09'	78° 37'
-567	last_visibility	-567-07-01	92.1	113.9	92° 04'	113° 52'	20:30	19:22	1:08h	-67d 17h	2	-13° 15'	1° 12'	-13° 39'	21° 48'	127° 51'	114° 12'
-567	first_visibility	-567-11-05	217.0	198.3	216° 59'	198° 15'	5:33	6:39	-1:05h	58d 16h	1.8	-14° 44'	0° 28'	2° 15'	-18° 45'	277° 55'	280° 10'
-566	acronychal_rising	-566-11-04	216.3	40.6	216° 15'	40° 33'	18:06	17:41	0:24h	-3d 08h	-1.5	-6° 04'	0° 43'	176° 17'	-175° 42'	77° 34'	253° 51'
-566	cosmical_setting	-566-11-10	221.9	38.4	221° 52'	38° 24'	6:13	6:43	-0:29h	2d 04h	-1.5	-7° 05'	0° 57'	-178° 24'	176° 32'	283° 58'	105° 34'
-565	last_visibility	-565-07-28	117.6	143.2	117° 34'	143° 09'	20:25	19:19	1:05h	-84d 06h	1.9	-13° 18'	0° 57'	-19° 07'	25° 34'	124° 05'	104° 58'
-564	first_visibility	-564-01-14	287.8	265.3	287° 48'	265° 17'	6:17	7:26	-1:08h	85d 04h	1.5	-14° 34'	-0° 45'	13° 11'	-22° 31'	287° 55'	301° 07'
-564	acronychal_rising	-564-12-10	253.5	79.2	253° 31'	79° 09'	17:54	17:27	0:27h	-4d 04h	-1.1	-6° 19'	3° 22'	173° 55'	-174° 22'	67° 21'	241° 16'
-564	cosmical_setting	-564-12-18	261.2	76.1	261° 12'	76° 08'	6:45	7:16	-0:30h	3d 09h	-1.1	-6° 52'	3° 33'	-174° 35'	174° 56'	293° 11'	118° 36'
-563	last_visibility	-563-08-29	149.3	178.1	149° 19'	178° 08'	19:55	18:55	1:00h	-108d 21h	1.7	-13° 18'	0° 17'	-23° 23'	28° 49'	112° 21'	88° 59'
-562	first_visibility	-562-05-12	43.6	11.6	43° 35'	11° 35'	4:22	5:32	-1:09h	146d 11h	1.5	-14° 36'	-0° 47'	26° 28'	-32° 00'	241° 11'	267° 39'
-561	acronychal_rising	-561-01-14	288.6	113.0	288° 35'	113° 00'	18:11	17:44	0:26h	-3d 09h	-1	-6° 11'	4° 33'	174° 07'	-175° 35'	67° 36'	241° 43'
-561	cosmical_setting	-561-01-23	297.2	109.6	297° 10'	109° 37'	6:56	7:25	-0:28h	5d 04h	-1	-6° 32'	4° 35'	-171° 34'	172° 27'	290° 31'	118° 57'
-561	last_visibility	-561-11-06	218.1	243.6	218° 06'	243° 35'	18:38	17:40	0:58h	-112d 00h	1.4	-13° 13'	-0° 55'	-19° 05'	25° 29'	80° 50'	61° 44'
-560	first_visibility	-560-06-15	76.4	49.5	76° 26'	49° 29'	3:58	5:14	-1:16h	109d 09h	1.8	-14° 41'	0° 03'	19° 45'	-26° 56'	231° 46'	251° 32'
-559	acronychal_rising	-559-02-18	324.1	147.9	324° 06'	147° 51'	18:40	18:11	0:28h	-2d 23h	-1.2	-6° 45'	4° 20'	175° 05'	-176° 14'	78° 05'	253° 10'
-559	cosmical_setting	-559-02-28	333.5	144.2	333° 28'	144° 12'	6:32	6:58	-0:26h	6d 13h	-1.2	-6° 30'	4° 11'	-170° 10'	170° 45'	278° 15'	108° 05'
-558	last_visibility	-558-02-16	321.9	339.4	321° 54'	339° 23'	19:09	18:10	0:59h	-69d 03h	1.6	-13° 23'	-0° 43'	-3° 22'	17° 29'	80° 56'	77° 33'
-558	first_visibility	-558-07-13	102.8	80.3	102° 45'	80° 18'	4:03	5:20	-1:17h	77d 06h	1.9	-14° 48'	0° 43'	12° 42'	-22° 27'	231° 32'	244° 14'
-557	acronychal_rising	-557-04-02	5.7	189.3	5° 39'	189° 18'	19:05	18:36	0:29h	-3d 01h	-1.7	-7° 12'	2° 07'	177° 27'	-176° 21'	96° 50'	274° 17'
-557	cosmical_setting	-557-04-11	13.8	186.3	13° 47'	186° 18'	5:39	6:07	-0:27h	5d 10h	-1.7	-6° 44'	1° 45'	-172° 53'	172° 31'	259° 38'	86° 45'
-556	last_visibility	-556-04-11	15.1	32.4	15° 04'	32° 25'	19:40	18:41	0:59h	-59d 07h	1.8	-13° 24'	0° 17'	-2° 38'	17° 21'	105° 11'	102° 33'
-556	first_visibility	-556-08-09	129.4	110.0	129° 23'	109° 59'	4:26	5:37	-1:11h	60d 02h	2	-14° 33'	1° 07'	6° 32'	-19° 23'	238° 35'	245° 06'
-555	acronychal_rising	-555-06-04	66.4	247.3	66° 23'	247° 18'	19:40	19:11	0:29h	-1d 00h	-2.5	-6° 26'	-3° 59'	183° 11'	-179° 04'	119° 37'	302° 48'
-555	cosmical_setting	-555-06-05	66.7	247.2	66° 44'	247° 12'	4:47	5:16	-0:29h	-0d 15h	-2.5	-6° 24'	-4° 01'	-183° 08'	-179° 33'	240° 20'	57° 12'
-554	last_visibility	-554-05-21	52.9	71.1	52° 51'	71° 06'	20:07	19:03	1:04h	-57d 16h	2	-13° 20'	0° 57'	-6° 21'	18° 16'	121° 11'	114° 50'
-554	first_visibility	-554-09-11	161.4	142.9	161° 23'	142° 55'	4:54	5:59	-1:05h	54d 17h	2	-14° 33'	1° 11'	2° 19'	-18° 28'	252° 20'	254° 40'
-553	cosmical_setting	-553-08-26	145.4	323.7	145° 21'	323° 43'	5:20	5:48	-0:28h	1d 01h	-2.4	-6° 42'	-5° 52'	-185° 21'	178° 22'	250° 28'	65° 07'
-553	acronychal_rising	-553-08-27	146.9	323.3	146° 54'	323° 15'	19:24	18:57	0:26h	2d 15h	-2.4	-6° 19'	-5° 48'	186° 25'	176° 20'	108° 38'	295° 03'
-552	last_visibility	-552-06-20	81.9	102.5	81° 55'	102° 32'	20:27	19:19	1:08h	-63d 16h	2	-13° 18'	1° 12'	-11° 34'	20° 37'	127° 35'	116° 01'
-552	first_visibility	-552-10-19	200.1	181.4	200° 04'	181° 21'	5:20	6:25	-1:04h	56d 17h	1.8	-14° 49'	0° 46'	1° 21'	-18° 43'	270° 43'	272° 04'
-551	acronychal_rising	-551-10-18	199.4	23.1	199° 22'	23° 08'	18:24	17:57	0:27h	-2d 23h	-1.7	-6° 45'	-0° 51'	177° 33'	-176° 13'	85° 01'	262° 33'
-551	cosmical_setting	-551-10-23	203.9	21.4	203° 54'	21° 26'	6:02	6:28	-0:25h	1d 13h	-1.7	-6° 21'	-0° 38'	-180° 18'	177° 31'	277° 12'	96° 54'
-550	last_visibility	-550-07-17	107.3	131.5	107° 19'	131° 28'	20:30	19:22	1:07h	-77d 04h	2	-13° 22'	1° 06'	-17° 06'	24° 09'	126° 25'	109° 19'
-550	first_visibility	-550-12-08	250.6	231.2	250° 33'	231° 11'	6:00	7:08	-1:08h	66d 06h	1.6	-14° 32'	-0° 10'	6° 14'	-19° 22'	287° 40'	293° 54'
-549	acronychal_rising	-549-11-27	239.6	65.3	239° 35'	65° 15'	17:55	17:28	0:27h	-4d 05h	-1.2	-6° 20'	2° 32'	174° 18'	-174° 20'	70° 09'	244° 27'
-549	cosmical_setting	-549-12-04	246.3	62.7	246° 15'	62° 39'	6:37	7:04	-0:27h	2d 08h	-1.2	-6° 20'	2° 44'	-176° 12'	176° 23'	291° 22'	115° 11'
-548	last_visibility	-548-08-15	135.9	163.6	135° 56'	163° 35'	20:10	19:07	1:02h	-98d 03h	1.8	-13° 12'	0° 36'	-21° 55'	27° 39'	117° 54'	95° 58'
-547	first_visibility	-547-04-20	22.9	349.9	22° 56'	349° 54'	4:49	5:55	-1:05h	149d 06h	1.4	-14° 32'	-1° 06'	27° 45'	-33° 02'	250° 19'	278° 04'
-547	acronychal_rising	-547-12-31	274.8	100.4	274° 46'	100° 23'	18:05	17:34	0:30h	-4d 05h	-1	-6° 49'	4° 14'	173° 37'	-174° 23'	66° 33'	240° 10'
-546	acronychal_rising	-547-12-31	274.8	100.4	274° 46'	100° 23'	18:05	17:34	0:30h	-4d 05h	-1	-6° 49'	4° 14'	173° 37'	-174° 23'	66° 33'	240° 10'
-546	cosmical_setting	-546-01-09	283.4	97.0	283° 25'	96° 59'	6:56	7:25	-0:29h	4d 08h	-1	-6° 32'	4° 21'	-172° 42'	173° 35'	292° 55'	120° 13'
-546	last_visibility	-546-09-30	181.0	209.8	181° 01'	209° 46'	19:15	18:18	0:57h	-120d 18h	1.5	-13° 13'	-0° 24'	-23° 22'	28° 45'	97° 18'	73° 55'
-545	first_visibility	-545-06-04	65.4	36.4	65° 21'	36° 23'	4:02	5:17	-1:14h	125d 15h	1.7	-14° 39'	-0° 16'	22° 32'	-28° 58'	233° 59'	256° 31'
-544	acronychal_rising	-544-02-04	309.5	134.3	309° 32'	134° 18'	18:32	18:00	0:31h	-3d 16h	-1.1	-7° 20'	4° 36'	174° 24'	-175° 14'	73° 17'	247° 42'
-544	cosmical_setting	-544-02-14	319.0	130.6	319° 01'	130° 36'	6:47	7:13	-0:25h	5d 20h	-1.1	-6° 10'	4° 32'	-170° 42'	171° 35'	284° 10'	113° 27'
-543	last_visibility	-543-01-18	293.3	311.5	293° 16'	311° 28'	18:49	17:47	1:01h	-77d 00h	1.4	-13° 16'	-1° 02'	-6° 23'	18° 12'	72° 22'	65° 58'
-543	first_visibility	-543-07-02	92.6	68.6	92° 33'	68° 36'	3:58	5:16	-1:17h	87d 09h	1.9	-14° 42'	0° 29'	15° 20'	-23° 57'	230° 48'	246° 08'
-542	acronychal_rising	-542-03-15	348.5	172.0	348° 32'	172° 00'	18:55	18:27	0:28h	-2d 19h	-1.4	-6° 53'	3° 18'	176° 19'	-176° 32'	88° 39'	264° 59'
-542	cosmical_setting	-542-03-24	356.8	168.9	356° 47'	168° 52'	6:05	6:29	-0:24h	5d 16h	-1.5	-6° 06'	3° 03'	-171° 48'	172° 05'	267° 59'	96° 10'
-541	last_visibility	-541-03-24	357.1	14.3	357° 05'	14° 19'	19:29	18:31	0:58h	-61d 22h	1.7	-13° 22'	-0° 05'	-2° 07'	17° 15'	96° 29'	94° 21'
-541	first_visibility	-541-07-30	119.1	98.6	119° 03'	98° 36'	4:15	5:30	-1:14h	65d 10h	2	-14° 46'	1° 00'	8° 45'	-20° 26'	235° 03'	243° 48'
-540	acronychal_rising	-540-05-06	39.1	222.0	39° 07'	222° 01'	19:24	18:54	0:30h	-2d 11h	-2.2	-6° 57'	-1° 04'	180° 18'	-177° 05'	111° 28'	291° 46'
-540	cosmical_setting	-540-05-11	43.3	220.6	43° 18'	220° 38'	5:04	5:32	-0:28h	1d 23h	-2.2	-6° 31'	-1° 21'	-178° 45'	177° 20'	247° 13'	68° 29'
-539	last_visibility	-539-05-07	39.9	57.5	39° 52'	57° 32'	19:57	18:54	1:02h	-57d 04h	2	-13° 18'	0° 44'	-4° 39'	17° 41'	116° 17'	111° 38'
-539	first_visibility	-539-08-29	148.9	130.1	148° 52'	130° 05'	4:43	5:51	-1:07h	56d 05h	2	-14° 41'	1° 12'	3° 39'	-18° 47'	246° 25'	250° 04'
-538	cosmical_setting	-538-07-25	114.5	294.8	114° 30'	294° 50'	4:57	5:27	-0:29h	-0d 10h	-2.6	-6° 31'	-6° 52'	-186° 21'	-179° 40'	240° 32'	54° 11'
-538	acronychal_rising	-538-07-28	118.0	293.9	118° 00'	293° 52'	19:46	19:19	0:26h	3d 04h	-2.6	-6° 06'	-6° 51'	187° 42'	175° 51'	118° 21'	306° 03'
-537	last_visibility	-537-06-10	71.8	91.2	71° 47'	91° 13'	20:21	19:14	1:06h	-60d 03h	2	-13° 12'	1° 09'	-9° 28'	19° 26'	126° 07'	116° 39'
-537	first_visibility	-537-10-04	184.3	165.7	184° 16'	165° 42'	5:10	6:14	-1:04h	55d 06h	1.9	-14° 42'	0° 59'	1° 13'	-18° 34'	263° 21'	264° 34'
-536	acronychal_rising	-536-09-30	181.6	2.8	181° 35'	2° 47'	18:44	18:17	0:27h	-1d 03h	-2	-6° 39'	-2° 41'	180° 37'	-178° 48'	93° 07'	273° 44'
-536	cosmical_setting	-536-10-03	184.1	1.9	184° 03'	1° 54'	5:49	6:14	-0:24h	1d 09h	-2	-6° 12'	-2° 33'	-182° 18'	177° 51'	268° 18'	86° 00'
-535	last_visibility	-535-07-07	98.1	120.7	98° 04'	120° 39'	20:30	19:23	1:07h	-70d 15h	2	-13° 13'	1° 11'	-14° 55'	22° 35'	127° 30'	112° 35'
-535	first_visibility	-535-11-16	228.5	209.5	228° 27'	209° 31'	5:41	6:48	-1:06h	60d 18h	1.7	-14° 46'	0° 15'	3° 19'	-18° 55'	282° 00'	285° 19'
-534	acronychal_rising	-534-11-12	224.6	50.5	224° 38'	50° 30'	18:03	17:35	0:28h	-4d 10h	-1.4	-6° 47'	1° 26'	174° 44'	-174° 08'	74° 54'	249° 38'
