gname,nid,nnid,tag,sname,hip,naks,enaks,daivata,raJ2000,decJ2000,lonJ2000,latJ2000,hr_daynum_kuru,hr_jd_kuru,hr_utc_kuru,hr_az_kuru,hr_alt_kuru
κ Sco,N19-Mul,19,rep,Mula,HIP 86670,मूल,Mūla, Nirṛti,265.62,-39.03,266.46,-15.64,314,1173510.56,-1500-11-11 01:22:50.741,128.38,7.32
ζ2 Sco,N19-Mul,19,other,zet2Sco,HIP 82729,मूल,Mūla, Nirṛti,253.65,-42.36,257.23,-19.64,305,1173501.55,-1500-11-02 01:14:54.589,128.72,7.23
θ Sco,N19-Mul,19,other,Sargas,HIP 86228,मूल,Mūla, Nirṛti,264.33,-43.00,265.59,-19.64,315,1173511.56,-1500-11-12 01:23:34.028,133.12,7.66
ι1 Sco,N19-Mul,19,other,Girtab,HIP 87073,मूल,Mūla, Nirṛti,266.90,-40.13,267.51,-16.71,316,1173512.56,-1500-11-13 01:24:38.958,130.44,7.67
λ Sco,N19-Mul,19,other,Shaula,HIP 85927,मूल,Mūla, Nirṛti,263.40,-37.10,264.58,-13.79,311,1173507.56,-1500-11-08 01:20:19.238,125.14,7.06
ν Sco,N19-Mul,19,other,Lesath,HIP 85696,मूल,Mūla, Nirṛti,262.69,-37.30,264.00,-14.01,311,1173507.56,-1500-11-08 01:20:19.238,125.51,7.54
λ Sgr,N20-PAsh,20,rep,Kaus Borealis,HIP 90496,पूर्वाषाढा,P Aṣāḍhā,Ap,276.99,-25.42,276.31,-2.14,320,1173516.56,-1500-11-17 01:27:53.747,116.37,7.27
γ Sgr,N20-PAsh,20,other,Alnasl,HIP 88635,पूर्वाषाढा,P Aṣāḍhā,Ap,271.45,-30.42,271.25,-6.99,316,1173512.56,-1500-11-13 01:24:38.958,119.98,7.04
δ Sgr,N20-PAsh,20,other,Kaus Media,HIP 89931,पूर्वाषाढा,P Aṣāḍhā,Ap,275.25,-29.83,274.57,-6.47,320,1173516.56,-1500-11-17 01:27:53.747,121.06,7.63
ε Sgr,N20-PAsh,20,other,Kaus Australis,HIP 90185,पूर्वाषाढा,P Aṣāḍhā,Ap,276.04,-34.38,275.07,-11.05,322,1173518.56,-1500-11-19 01:29:41.964,126.60,7.48
τ Sgr,N21-UAsh,21,rep,Namalsadirah II,HIP 93864,उत्तराषाढा,U Aṣāḍhā,Viśvedevā,286.74,-27.67,284.82,-5.09,330,1173526.57,-1500-11-27 01:36:54.830,122.84,7.51
ζ Sgr,N21-UAsh,21,other,Ascella,HIP 93506,उत्तराषाढा,U Aṣāḍhā,Viśvedevā,285.65,-29.88,283.63,-7.18,330,1173526.57,-1500-11-27 01:36:54.830,125.24,7.84
σ Sgr,N21-UAsh,21,other,Nunki,HIP 92855,उत्तराषाढा,U Aṣāḍhā,Viśvedevā,283.82,-26.30,282.38,-3.45,327,1173523.57,-1500-11-24 01:34:01.683,120.19,7.62
φ Sgr,N21-UAsh,21,other,Namalsadirah I,HIP 92041,उत्तराषाढा,U Aṣāḍhā,Viśvedevā,281.41,-26.99,280.17,-3.95,325,1173521.56,-1500-11-22 01:32:35.110,120.16,7.76
α Aql,N22-Shr,22,rep,Altair,HIP 97649,श्रवण,Śravaṇa,Viṣṇu,297.70,8.87,301.77,29.30,333,1173529.57,-1500-11-30 01:39:26.333,86.40,7.43
β Aql,N22-Shr,22,other,Alshain,HIP 98036,श्रवण,Śravaṇa,Viṣṇu,298.83,6.41,302.41,26.66,335,1173531.57,-1500-12-02 01:40:52.906,89.78,7.98
γ Aql,N22-Shr,22,other,Tarazed,HIP 97278,श्रवण,Śravaṇa,Viṣṇu,296.56,10.61,300.93,31.24,332,1173528.57,-1500-11-29 01:38:21.403,84.25,7.70
β Del,N23-Dha,23,rep,Rotanev,HIP 101769,धनिष्ठा,Dhaniṣṭhā,Vasu,309.39,14.60,316.33,31.92,343,1173539.57,-1500-12-10 01:47:00.842,84.39,7.33
α Del,N23-Dha,23,other,Sualocin,HIP 101958,धनिष्ठा,Dhaniṣṭhā,Vasu,309.91,15.91,317.37,33.02,343,1173539.57,-1500-12-10 01:47:00.842,83.00,7.05
γ2 Del,N23-Dha,23,other,Al Salib,HIP 102532,धनिष्ठा,Dhaniṣṭhā,Vasu,311.66,16.12,319.36,32.70,345,1173541.58,-1500-12-12 01:48:05.772,83.56,7.38
δ Del,N23-Dha,23,other,Al Ukud,HIP 102281,धनिष्ठा,Dhaniṣṭhā,Vasu,310.86,15.07,318.11,31.95,345,1173541.58,-1500-12-12 01:48:05.772,84.73,7.96
λ Aqr,N24-Sha,24,rep,Hydor,HIP 112961,शतभिषक्,Śatabhiṣak,Varuṇa,343.15,-7.58,341.57,-0.39,22,1173218.58,-1500-01-23 01:53:52.064,120.25,7.52
α Peg,N25-PBha,25,rep,Markab,HIP 113963,पूर्वाभाद्रपदा,P Proṣṭapada,Aja,346.19,15.21,353.48,19.41,15,1173211.58,-1500-01-16 01:56:23.567,94.36,7.12
β Peg,N25-PBha,25,other,Scheat,HIP 113881,पूर्वाभाद्रपदा,P Proṣṭapada,Aja,345.94,28.08,359.37,31.14,11,1173207.58,-1500-01-12 01:57:06.854,80.23,7.78
γ Peg,N26-UBha,26,other,Algenib,HIP 1067,उत्तराभाद्रपदा,U Proṣṭapada,Ahirbudhnya,3.31,15.18,9.15,12.60,36,1173232.57,-1500-02-06 01:45:12.625,97.37,7.25
α And,N26-UBha,26,rep,Alpheratz,HIP 677,उत्तराभाद्रपदा,U Proṣṭapada,Ahirbudhnya,2.10,29.09,14.31,25.68,27,1173223.58,-1500-01-28 01:51:20.561,81.29,7.08
ε Psc,N27-Rev,27,rep,epsPsc,HIP 4906,रेवती,Revatī,Pūṣan,15.74,7.89,17.52,1.09,58,1173254.56,-1500-02-28 01:23:34.028,106.78,7.06
β Aqr,N23-Dha,23,other,Sadaldud,HIP 106278,धनिष्ठा,Dhaniṣṭhā,Vasu,322.89,-5.57,323.39,8.61,361,1173557.58,-1500-12-28 01:56:01.924,111.35,7.26
α Aqr,N23-Dha,23,other,Sadalmelik,HIP 109074,धनिष्ठा,Dhaniṣṭhā,Vasu,331.44,-0.32,333.35,10.66,4,1173200.58,-1500-01-05 01:57:28.497,108.31,7.49
μ Psc,N27-Rev,27,rep,epsPsc,HIP 7007,रेवती,Revatī,Pūṣan,22.54,6.14,23.12,-3.07,70,1173266.55,-1500-03-12 01:09:08.297,109.09,7.20
