date	jd	yr	season	sun_lon	sun_lat	moon_lon	moon_lat	phase	sun_naks	moon_naks	sun_न	moon_न	moon_phase	eqnx_4_tol	kv_pair	kv_adj
-01694-09-26	1102607.27	-1693	4	182.71	-0.01	2.66	4.97	179.95	N16-Vis/α2 Lib	N03-Kri/* 17 Tau	N16-Vis	N03-Kri	1	True	True	True
-01693-03-23	1102785.42	-1692	1	0.87	0.01	180.21	-5.00	179.34	N03-Kri/* 17 Tau	N16-Vis/α2 Lib	N03-Kri	N16-Vis	1	True	True	True
-01691-09-24	1103700.55	-1690	4	180.22	-0.01	0.85	3.26	180.62	N16-Vis/α2 Lib	N03-Kri/* 17 Tau	N16-Vis	N03-Kri	1	True	True	False
-01685-03-25	1105709.00	-1684	1	2.44	0.01	182.35	4.63	179.92	N03-Kri/* 17 Tau	N16-Vis/α2 Lib	N03-Kri	N16-Vis	1	True	True	False
-01683-09-25	1106623.79	-1682	4	181.54	-0.01	1.25	-4.54	179.71	N16-Vis/α2 Lib	N03-Kri/* 17 Tau	N16-Vis	N03-Kri	1	True	True	False
-01675-09-26	1109547.12	-1674	4	182.95	-0.01	2.77	5.00	179.81	N16-Vis/α2 Lib	N03-Kri/* 17 Tau	N16-Vis	N03-Kri	1	True	True	True
-01674-03-23	1109724.85	-1673	1	0.72	0.01	180.49	-4.94	179.78	N03-Kri/* 17 Tau	N16-Vis/α2 Lib	N03-Kri	N16-Vis	1	True	True	True
-01672-09-23	1110640.35	-1671	4	180.42	-0.01	0.15	2.78	179.73	N16-Vis/α2 Lib	N03-Kri/* 17 Tau	N16-Vis	N03-Kri	1	True	True	False
-01666-03-25	1112648.54	-1665	1	2.39	0.01	181.39	4.81	179.01	N03-Kri/* 17 Tau	N16-Vis/α2 Lib	N03-Kri	N16-Vis	1	True	True	False
-01664-09-25	1113563.81	-1663	4	181.94	-0.01	1.98	-4.20	180.03	N16-Vis/α2 Lib	N03-Kri/* 17 Tau	N16-Vis	N03-Kri	1	True	True	False
-01655-03-22	1116664.11	-1654	1	0.39	0.01	179.62	-4.83	179.24	N03-Kri/* 17 Tau	N16-Vis/α2 Lib	N03-Kri	N16-Vis	1	True	True	False
-01653-09-24	1117579.91	-1652	4	180.35	-0.01	0.16	2.20	179.80	N16-Vis/α2 Lib	N03-Kri/* 17 Tau	N16-Vis	N03-Kri	1	True	True	False
-01647-03-24	1119587.94	-1646	1	2.19	0.01	181.97	4.94	179.78	N03-Kri/* 17 Tau	N16-Vis/α2 Lib	N03-Kri	N16-Vis	1	True	True	False
-01645-09-26	1120503.53	-1644	4	182.05	-0.01	1.48	-3.83	179.42	N16-Vis/α2 Lib	N03-Kri/* 17 Tau	N16-Vis	N03-Kri	1	True	True	False
-01636-03-22	1123603.70	-1635	1	0.37	0.01	179.89	-4.62	179.52	N03-Kri/* 17 Tau	N16-Vis/α2 Lib	N03-Kri	N16-Vis	1	True	True	False
-01628-03-23	1126527.28	-1627	1	1.94	0.01	181.48	5.00	179.54	N03-Kri/* 17 Tau	N16-Vis/α2 Lib	N03-Kri	N16-Vis	1	True	True	False
-01626-09-25	1127443.01	-1625	4	181.91	-0.01	1.68	-3.36	179.76	N16-Vis/α2 Lib	N03-Kri/* 17 Tau	N16-Vis	N03-Kri	1	True	True	False
-01620-03-25	1129451.03	-1619	1	3.69	0.01	183.50	-4.56	179.82	N03-Kri/* 17 Tau	N16-Vis/α2 Lib	N03-Kri	N16-Vis	1	True	True	False
-01618-09-27	1130366.68	-1617	4	183.67	-0.01	2.77	4.58	179.08	N16-Vis/α2 Lib	N03-Kri/* 17 Tau	N16-Vis	N03-Kri	1	True	True	True
