gname,nid,nnid,tag,sname,hip,naks,enaks,daivata,raJ2000,decJ2000,lonJ2000,latJ2000,hr_daynum_kuru,hr_jd_kuru,hr_utc_kuru,hr_az_kuru,hr_alt_kuru
* 23 Tau,N03-Kri,3,other,Merope,HIP 17608,क्रित्तिका,Kṛttikā, Agni,56.58,23.95,59.70,3.96,98,1155032.52,-1550-04-09 00:33:25.611,85.35,7.18
* 27 Tau,N03-Kri,3,other,Atlas,HIP 17847,क्रित्तिका,Kṛttikā, Agni,57.29,24.05,60.36,3.92,99,1155033.52,-1550-04-10 00:31:59.038,85.15,7.28
α Tau,N04-Roh,4,rep,Aldebaran,HIP 21421,रोहिणी,Rohiṇī,Prajāpati,68.98,16.51,69.79,-5.47,120,1155054.51,-1550-05-01 00:08:53.868,90.80,7.14
γ Tau,N04-Roh,4,other,Prima Hyadum,HIP 20205,रोहिणी,Rohiṇī,Prajāpati,64.95,15.63,65.81,-5.73,117,1155051.51,-1550-04-28 00:11:47.014,92.99,7.47
δ Tau,N04-Roh,4,other,Secunda Hyadum,HIP 20455,रोहिणी,Rohiṇī,Prajāpati,65.73,17.54,66.87,-3.97,116,1155050.51,-1550-04-27 00:12:51.944,90.71,7.55
ε Tau,N04-Roh,4,other,Ain,HIP 20889,रोहिणी,Rohiṇī,Prajāpati,67.15,19.18,68.47,-2.57,115,1155049.51,-1550-04-26 00:13:56.874,88.23,7.01
θ2 Tau,N04-Roh,4,other,Chamukuy,HIP 20894,रोहिणी,Rohiṇī,Prajāpati,67.17,15.87,67.96,-5.84,119,1155053.51,-1550-04-30 00:09:58.798,92.11,7.37
λ Ori,N05-Mrg,5,rep,Meissa(Heka),HIP 26207,मृगशीर्ष,Mṛgaśira,Soma,83.78,9.93,83.71,-13.37,142,1155076.49,-1550-05-22 23:52:18.277,93.93,7.60
γ Ori,N05-Mrg,5,other,Bellatrix,HIP 25336,मृगशीर्ष,Mṛgaśira,Soma,81.28,6.35,80.95,-16.82,143,1155077.49,-1550-05-23 23:51:56.633,98.67,7.53
α Ori,N05-Mrg,5,other,Betelgeuse,HIP 27989,मृगशीर्ष,Mṛgaśira,Soma,88.79,7.41,88.76,-16.03,149,1155083.49,-1550-05-29 23:49:25.130,95.09,7.76
γ Gem,N06-Ard,6,rep,Alhena(Almeisan),HIP 31681,आर्द्रा,Ārdrā,Rudra,99.43,16.40,99.11,-6.74,149,1155083.49,-1550-05-29 23:49:25.130,81.24,7.17
β Gem,N07-Pun,7,rep,Pollux,HIP 37826,पुनर्वसू,Punarvasu,Aditi,116.33,28.03,113.22,6.68,151,1155085.49,-1550-05-31 23:48:41.844,62.50,7.04
α Gem,N07-Pun,7,other,Castor,HIP 36850,पुनर्वसू,Punarvasu,Aditi,113.65,31.89,110.24,10.10,145,1155079.49,-1550-05-25 23:50:51.703,59.59,7.37
δ Cnc,N08-Pus,8,rep,Asellus Australis,HIP 42911,पुष्य,Puṣya,Bṛhaspati,131.17,18.15,128.72,0.08,172,1155106.49,-1550-06-21 23:48:20.200,67.44,7.06
ζ Hya,N09-Asl,9,rep,Minazal V,HIP 43813,आश्लेषा,Āśleṣā,Sarpa,133.85,5.95,134.58,-10.97,184,1155118.49,-1550-07-03 23:52:39.920,79.67,7.19
δ Hya,N09-Asl,9,other,Minazal I,HIP 42313,आश्लेषा,Āśleṣā,Sarpa,129.41,5.70,130.31,-12.39,181,1155115.49,-1550-06-30 23:51:13.347,81.54,7.17
ε Hya,N09-Asl,9,other,Ashlesha,HIP 43109,आश्लेषा,Āśleṣā,Sarpa,131.69,6.42,132.35,-11.10,182,1155116.49,-1550-07-01 23:51:34.990,79.88,7.07
η Hya,N09-Asl,9,other,Minazal II,HIP 42799,आश्लेषा,Āśleṣā,Sarpa,130.81,3.40,132.31,-14.25,184,1155118.49,-1550-07-03 23:52:39.920,83.65,7.43
ρ Hya,N09-Asl,9,other,Minazal IV,HIP 43234,आश्लेषा,Āśleṣā,Sarpa,132.11,5.84,132.91,-11.55,183,1155117.49,-1550-07-02 23:51:56.633,80.47,7.29
σ Hya,N09-Asl,9,other,Minchir,HIP 42402,आश्लेषा,Āśleṣā,Sarpa,129.69,3.34,131.21,-14.60,183,1155117.49,-1550-07-02 23:51:56.633,83.97,7.14
ζ Leo,N10-Mag,10,rep,Adhafera,HIP 50335,मघा,Maghā,Pitṛ,154.17,23.42,147.57,11.86,185,1155119.50,-1550-07-04 23:53:01.563,53.71,7.27
α Leo,N10-Mag,10,other,Regulus,HIP 49669,मघा,Maghā,Pitṛ,152.09,11.97,149.83,0.46,193,1155127.50,-1550-07-12 23:57:21.283,66.97,7.25
γ Leo,N10-Mag,10,other,Algieba,HIP 50583,मघा,Maghā,Pitṛ,154.99,19.84,149.61,8.81,189,1155123.50,-1550-07-08 23:54:49.780,57.43,7.32
ε Leo,N10-Mag,10,other,Algenubi,HIP 47908,मघा,Maghā,Pitṛ,146.46,23.77,140.71,9.71,179,1155113.49,-1550-06-28 23:50:30.060,56.09,7.54
η Leo,N10-Mag,10,other,Al Jabah,HIP 49583,मघा,Maghā,Pitṛ,151.83,16.76,147.91,4.87,189,1155123.50,-1550-07-08 23:54:49.780,61.77,7.19
μ Leo,N10-Mag,10,other,Rasalas,HIP 48455,मघा,Maghā,Pitṛ,148.19,26.01,141.43,12.35,178,1155112.49,-1550-06-27 23:50:08.417,52.97,7.44
δ Leo,N11-PPal,11,rep,Zosma,HIP 54872,पूर्वफल्गुनी,P Phalgunī,Bhaga,168.53,20.52,161.32,14.33,199,1155133.50,-1550-07-19 00:00:57.715,52.61,7.01
θ Leo,N11-PPal,11,other,Chertan,HIP 54879,पूर्वफल्गुनी,P Phalgunī,Bhaga,168.56,15.43,163.42,9.67,204,1155138.50,-1550-07-24 00:04:12.505,58.76,7.70
β Leo,N12-UPal,12,rep,Denebola,HIP 57632,उत्तरफल्गुनी,U Phalgunī,Aryaman,177.26,14.57,171.62,12.27,212,1155146.51,-1550-08-01 00:09:37.154,57.80,7.62
* 93 Leo,N12-UPal,12,other,93Leo,HIP 57565,उत्तरफल्गुनी,U Phalgunī,Aryaman,177.00,20.22,168.97,17.31,207,1155141.50,-1550-07-27 00:06:22.365,51.23,7.33
δ Crv,N13-Has,13,rep,Algorab,HIP 60965,हस्त,Hasta,Savitṛ,187.47,-16.52,193.45,-12.20,239,1155173.52,-1550-08-28 00:28:22.605,91.57,7.52
α Crv,N13-Has,13,other,Alchiba,HIP 59199,हस्त,Hasta,Savitṛ,182.10,-24.73,192.24,-21.75,240,1155174.52,-1550-08-29 00:29:05.892,101.84,7.91
β Crv,N13-Has,13,other,Kraz,HIP 61359,हस्त,Hasta,Savitṛ,188.60,-23.40,197.36,-18.04,244,1155178.52,-1550-09-02 00:31:37.395,99.55,7.81
γ Crv,N13-Has,13,other,Gienah,HIP 59803,हस्त,Hasta,Savitṛ,183.95,-17.54,190.72,-14.50,237,1155171.52,-1550-08-26 00:26:56.032,93.21,7.68
ε Crv,N13-Has,13,other,Minkar,HIP 59316,हस्त,Hasta,Savitṛ,182.53,-22.62,191.66,-19.67,239,1155173.52,-1550-08-28 00:28:22.605,99.31,7.84
α Vir,N14-Chi,14,rep,Spica,HIP 65474,चित्रा,Citrā,Tvaṣṭṛ,201.30,-11.16,203.84,-2.05,248,1155182.52,-1550-09-06 00:34:30.541,84.90,7.91
α Boo,N15-Swa,15,rep,Arcturus,HIP 69673,स्वाती,Svātī,Vāyu,213.92,19.18,204.23,30.73,245,1155179.52,-1550-09-03 00:32:20.681,50.38,7.52
α2 Lib,N16-Vis,16,rep,Zubenelgenubi,HIP 72622,विशाखे,Viśākhā,Indrāgnī,222.72,-16.04,225.08,0.33,268,1155202.53,-1550-09-26 00:47:29.699,91.32,7.15
α1 Lib,N16-Vis,16,other,Zubenelgenubi II,HIP 72603,विशाखे,Viśākhā,Indrāgnī,222.67,-16.00,225.02,0.36,268,1155202.53,-1550-09-26 00:47:29.699,91.30,7.21
δ Sco,N17-Anu,17,rep,Dschubba,HIP 78401,अनूराधा,Anūrādhā,Mitra,240.08,-22.62,242.56,-1.99,286,1155220.54,-1550-10-14 01:00:07.214,102.15,7.72
β1 Sco,N17-Anu,17,other,Acrab,HIP 78820,अनूराधा,Anūrādhā,Mitra,241.36,-19.81,243.18,1.01,286,1155220.54,-1550-10-14 01:00:07.214,99.08,7.46
π Sco,N17-Anu,17,other,Fang,HIP 78265,अनूराधा,Anūrādhā,Mitra,239.71,-26.11,242.93,-5.48,287,1155221.54,-1550-10-15 01:00:50.501,106.18,7.90
ω1 Sco,N17-Anu,17,other,Jabhat Acrabi I,HIP 78933,अनूराधा,Anūrādhā,Mitra,241.70,-20.67,243.66,0.22,287,1155221.54,-1550-10-15 01:00:50.501,100.39,7.90
ε Sco,N18-Jye,18,rep,Larawag,HIP 82396,ज्येष्ठा,Jyeṣṭhā,Indra,252.54,-34.29,255.33,-11.74,300,1155234.55,-1550-10-28 01:10:56.513,118.38,7.22
α Sco,N18-Jye,18,other,Antares,HIP 80763,ज्येष्ठा,Jyeṣṭhā,Indra,247.35,-26.43,249.75,-4.57,293,1155227.55,-1550-10-21 01:05:31.864,107.93,7.25
σ Sco,N18-Jye,18,other,Alniyat,HIP 80112,ज्येष्ठा,Jyeṣṭhā,Indra,245.30,-25.59,247.79,-4.04,291,1155225.54,-1550-10-19 01:03:43.647,106.45,7.23
κ Sco,N19-Mul,19,rep,Mula,HIP 86670,मूल,Mūla, Nirṛti,265.62,-39.03,266.46,-15.64,313,1155247.56,-1550-11-10 01:22:07.455,128.00,7.23
ζ2 Sco,N19-Mul,19,other,zet2Sco,HIP 82729,मूल,Mūla, Nirṛti,253.65,-42.36,257.23,-19.64,304,1155238.55,-1550-11-01 01:14:11.303,128.31,7.14
θ Sco,N19-Mul,19,other,Sargas,HIP 86228,मूल,Mūla, Nirṛti,264.33,-43.00,265.59,-19.64,314,1155248.56,-1550-11-11 01:23:12.385,132.80,7.66
ι1 Sco,N19-Mul,19,other,Girtab,HIP 87073,मूल,Mūla, Nirṛti,266.90,-40.13,267.51,-16.71,315,1155249.56,-1550-11-12 01:23:55.671,130.06,7.60
λ Sco,N19-Mul,19,other,Shaula,HIP 85927,मूल,Mūla, Nirṛti,263.40,-37.10,264.58,-13.79,311,1155245.56,-1550-11-08 01:20:19.238,125.38,7.80
ν Sco,N19-Mul,19,other,Lesath,HIP 85696,मूल,Mūla, Nirṛti,262.69,-37.30,264.00,-14.01,310,1155244.56,-1550-11-07 01:19:35.952,125.12,7.43
λ Sgr,N20-PAsh,20,rep,Kaus Borealis,HIP 90496,पूर्वाषाढा,P Aṣāḍhā,Ap,276.99,-25.42,276.31,-2.14,319,1155253.56,-1550-11-16 01:27:32.104,116.07,7.18
γ Sgr,N20-PAsh,20,other,Alnasl,HIP 88635,पूर्वाषाढा,P Aṣāḍhā,Ap,271.45,-30.42,271.25,-6.99,316,1155250.56,-1550-11-13 01:24:38.958,120.23,7.79
δ Sgr,N20-PAsh,20,other,Kaus Media,HIP 89931,पूर्वाषाढा,P Aṣāḍhā,Ap,275.25,-29.83,274.57,-6.47,319,1155253.56,-1550-11-16 01:27:32.104,120.76,7.56
ε Sgr,N20-PAsh,20,other,Kaus Australis,HIP 90185,पूर्वाषाढा,P Aṣāḍhā,Ap,276.04,-34.38,275.07,-11.05,321,1155255.56,-1550-11-18 01:29:20.321,126.30,7.45
τ Sgr,N21-UAsh,21,rep,Namalsadirah II,HIP 93864,उत्तराषाढा,U Aṣāḍhā,Viśvedevā,286.74,-27.67,284.82,-5.09,329,1155263.57,-1550-11-26 01:36:11.543,122.53,7.38
ζ Sgr,N21-UAsh,21,other,Ascella,HIP 93506,उत्तराषाढा,U Aṣāḍhā,Viśvedevā,285.65,-29.88,283.63,-7.18,329,1155263.57,-1550-11-26 01:36:11.543,124.93,7.72
σ Sgr,N21-UAsh,21,other,Nunki,HIP 92855,उत्तराषाढा,U Aṣāḍhā,Viśvedevā,283.82,-26.30,282.38,-3.45,326,1155260.57,-1550-11-23 01:33:40.040,119.91,7.54
φ Sgr,N21-UAsh,21,other,Namalsadirah I,HIP 92041,उत्तराषाढा,U Aṣāḍhā,Viśvedevā,281.41,-26.99,280.17,-3.95,324,1155258.56,-1550-11-21 01:31:51.824,119.83,7.61
α Aql,N22-Shr,22,rep,Altair,HIP 97649,श्रवण,Śravaṇa,Viṣṇu,297.70,8.87,301.77,29.30,332,1155266.57,-1550-11-29 01:38:43.046,86.13,7.07
β Aql,N22-Shr,22,other,Alshain,HIP 98036,श्रवण,Śravaṇa,Viṣṇu,298.83,6.41,302.41,26.66,334,1155268.57,-1550-12-01 01:40:09.619,89.52,7.63
γ Aql,N22-Shr,22,other,Tarazed,HIP 97278,श्रवण,Śravaṇa,Viṣṇu,296.56,10.61,300.93,31.24,331,1155265.57,-1550-11-28 01:37:59.760,84.02,7.42
β Del,N23-Dha,23,rep,Rotanev,HIP 101769,धनिष्ठा,Dhaniṣṭhā,Vasu,309.39,14.60,316.33,31.92,343,1155277.57,-1550-12-10 01:47:00.842,84.72,7.95
α Del,N23-Dha,23,other,Sualocin,HIP 101958,धनिष्ठा,Dhaniṣṭhā,Vasu,309.91,15.91,317.37,33.02,343,1155277.57,-1550-12-10 01:47:00.842,83.33,7.66
γ2 Del,N23-Dha,23,other,Al Salib,HIP 102532,धनिष्ठा,Dhaniṣṭhā,Vasu,311.66,16.12,319.36,32.70,344,1155278.57,-1550-12-11 01:47:44.128,83.39,7.05
δ Del,N23-Dha,23,other,Al Ukud,HIP 102281,धनिष्ठा,Dhaniṣṭhā,Vasu,310.86,15.07,318.11,31.95,344,1155278.57,-1550-12-11 01:47:44.128,84.56,7.64
λ Aqr,N24-Sha,24,rep,Hydor,HIP 112961,शतभिषक्,Śatabhiṣak,Varuṇa,343.15,-7.58,341.57,-0.39,21,1154955.58,-1550-01-22 01:54:13.707,120.32,7.42
α Peg,N25-PBha,25,rep,Markab,HIP 113963,पूर्वाभाद्रपदा,P Proṣṭapada,Aja,346.19,15.21,353.48,19.41,15,1154949.58,-1550-01-16 01:56:23.567,94.86,7.70
β Peg,N25-PBha,25,other,Scheat,HIP 113881,पूर्वाभाद्रपदा,P Proṣṭapada,Aja,345.94,28.08,359.37,31.14,10,1154944.58,-1550-01-11 01:57:28.497,80.28,7.54
γ Peg,N26-UBha,26,other,Algenib,HIP 1067,उत्तराभाद्रपदा,U Proṣṭapada,Ahirbudhnya,3.31,15.18,9.15,12.60,35,1154969.57,-1550-02-05 01:45:55.912,97.54,7.10
α And,N26-UBha,26,rep,Alpheratz,HIP 677,उत्तराभाद्रपदा,U Proṣṭapada,Ahirbudhnya,2.10,29.09,14.31,25.68,27,1154961.58,-1550-01-28 01:51:20.561,81.82,7.60
ε Psc,N27-Rev,27,rep,epsPsc,HIP 4906,रेवती,Revatī,Pūṣan,15.74,7.89,17.52,1.09,58,1154992.56,-1550-02-28 01:23:12.385,107.34,7.51
