gname,nid,nnid,tag,sname,hip,naks,enaks,daivata,raJ2000,decJ2000,lonJ2000,latJ2000,hr_daynum_kuru,hr_jd_kuru,hr_utc_kuru,hr_az_kuru,hr_alt_kuru
α Gem,N07-Pun,7,other,Castor,HIP 36850,पुनर्वसू,Punarvasu,Aditi,113.65,31.89,110.24,10.10,144,1118553.49,-1650-05-24 23:51:34.990,59.86,7.20
δ Cnc,N08-Pus,8,rep,Asellus Australis,HIP 42911,पुष्य,Puṣya,Bṛhaspati,131.17,18.15,128.72,0.08,172,1118581.49,-1650-06-21 23:47:58.557,67.84,7.54
ζ Hya,N09-Asl,9,rep,Minazal V,HIP 43813,आश्लेषा,Āśleṣā,Sarpa,133.85,5.95,134.58,-10.97,184,1118593.49,-1650-07-03 23:51:56.633,79.93,7.56
δ Hya,N09-Asl,9,other,Minazal I,HIP 42313,आश्लेषा,Āśleṣā,Sarpa,129.41,5.70,130.31,-12.39,181,1118590.49,-1650-06-30 23:50:30.060,81.83,7.51
ε Hya,N09-Asl,9,other,Ashlesha,HIP 43109,आश्लेषा,Āśleṣā,Sarpa,131.69,6.42,132.35,-11.10,182,1118591.49,-1650-07-01 23:51:13.347,80.20,7.50
η Hya,N09-Asl,9,other,Minazal II,HIP 42799,आश्लेषा,Āśleṣā,Sarpa,130.81,3.40,132.31,-14.25,184,1118593.49,-1650-07-03 23:51:56.633,83.92,7.76
ρ Hya,N09-Asl,9,other,Minazal IV,HIP 43234,आश्लेषा,Āśleṣā,Sarpa,132.11,5.84,132.91,-11.55,183,1118592.49,-1650-07-02 23:51:34.990,80.79,7.73
σ Hya,N09-Asl,9,other,Minchir,HIP 42402,आश्लेषा,Āśleṣā,Sarpa,129.69,3.34,131.21,-14.60,183,1118592.49,-1650-07-02 23:51:34.990,84.28,7.54
ζ Leo,N10-Mag,10,rep,Adhafera,HIP 50335,मघा,Maghā,Pitṛ,154.17,23.42,147.57,11.86,184,1118593.49,-1650-07-03 23:51:56.633,53.49,7.07
α Leo,N10-Mag,10,other,Regulus,HIP 49669,मघा,Maghā,Pitṛ,152.09,11.97,149.83,0.46,193,1118602.50,-1650-07-12 23:56:37.996,67.13,7.76
γ Leo,N10-Mag,10,other,Algieba,HIP 50583,मघा,Maghā,Pitṛ,154.99,19.84,149.61,8.81,188,1118597.50,-1650-07-07 23:53:44.850,57.17,7.08
ε Leo,N10-Mag,10,other,Algenubi,HIP 47908,मघा,Maghā,Pitṛ,146.46,23.77,140.71,9.71,178,1118587.49,-1650-06-27 23:49:25.130,55.92,7.27
η Leo,N10-Mag,10,other,Al Jabah,HIP 49583,मघा,Maghā,Pitṛ,151.83,16.76,147.91,4.87,189,1118598.50,-1650-07-08 23:54:28.136,61.99,7.79
μ Leo,N10-Mag,10,other,Rasalas,HIP 48455,मघा,Maghā,Pitṛ,148.19,26.01,141.43,12.35,177,1118586.49,-1650-06-26 23:49:25.130,52.86,7.27
δ Leo,N11-PPal,11,rep,Zosma,HIP 54872,पूर्वफल्गुनी,P Phalgunī,Bhaga,168.53,20.52,161.32,14.33,199,1118608.50,-1650-07-19 00:00:14.429,52.69,7.63
θ Leo,N11-PPal,11,other,Chertan,HIP 54879,पूर्वफल्गुनी,P Phalgunī,Bhaga,168.56,15.43,163.42,9.67,203,1118612.50,-1650-07-23 00:02:45.932,58.31,7.43
β Leo,N12-UPal,12,rep,Denebola,HIP 57632,उत्तरफल्गुनी,U Phalgunī,Aryaman,177.26,14.57,171.62,12.27,211,1118620.51,-1650-07-31 00:08:32.224,57.31,7.45
* 93 Leo,N12-UPal,12,other,93Leo,HIP 57565,उत्तरफल्गुनी,U Phalgunī,Aryaman,177.00,20.22,168.97,17.31,206,1118615.50,-1650-07-26 00:04:55.792,50.75,7.18
δ Crv,N13-Has,13,rep,Algorab,HIP 60965,हस्त,Hasta,Savitṛ,187.47,-16.52,193.45,-12.20,238,1118647.52,-1650-08-27 00:27:17.675,90.83,7.10
α Crv,N13-Has,13,other,Alchiba,HIP 59199,हस्त,Hasta,Savitṛ,182.10,-24.73,192.24,-21.75,239,1118648.52,-1650-08-28 00:28:00.962,101.08,7.44
β Crv,N13-Has,13,other,Kraz,HIP 61359,हस्त,Hasta,Savitṛ,188.60,-23.40,197.36,-18.04,243,1118652.52,-1650-09-01 00:30:32.465,98.77,7.37
γ Crv,N13-Has,13,other,Gienah,HIP 59803,हस्त,Hasta,Savitṛ,183.95,-17.54,190.72,-14.50,236,1118645.52,-1650-08-25 00:25:51.102,92.48,7.24
ε Crv,N13-Has,13,other,Minkar,HIP 59316,हस्त,Hasta,Savitṛ,182.53,-22.62,191.66,-19.67,238,1118647.52,-1650-08-27 00:27:17.675,98.56,7.38
α Vir,N14-Chi,14,rep,Spica,HIP 65474,चित्रा,Citrā,Tvaṣṭṛ,201.30,-11.16,203.84,-2.05,247,1118656.52,-1650-09-05 00:33:25.611,84.12,7.53
α Boo,N15-Swa,15,rep,Arcturus,HIP 69673,स्वाती,Svātī,Vāyu,213.92,19.18,204.23,30.73,244,1118653.52,-1650-09-02 00:31:15.752,49.63,7.37
α2 Lib,N16-Vis,16,rep,Zubenelgenubi,HIP 72622,विशाखे,Viśākhā,Indrāgnī,222.72,-16.04,225.08,0.33,268,1118677.53,-1650-09-26 00:47:08.056,91.03,7.79
α1 Lib,N16-Vis,16,other,Zubenelgenubi II,HIP 72603,विशाखे,Viśākhā,Indrāgnī,222.67,-16.00,225.02,0.36,268,1118677.53,-1650-09-26 00:47:08.056,91.00,7.85
δ Sco,N17-Anu,17,rep,Dschubba,HIP 78401,अनूराधा,Anūrādhā,Mitra,240.08,-22.62,242.56,-1.99,285,1118694.54,-1650-10-13 00:59:02.285,101.29,7.37
β1 Sco,N17-Anu,17,other,Acrab,HIP 78820,अनूराधा,Anūrādhā,Mitra,241.36,-19.81,243.18,1.01,285,1118694.54,-1650-10-13 00:59:02.285,98.23,7.10
π Sco,N17-Anu,17,other,Fang,HIP 78265,अनूराधा,Anūrādhā,Mitra,239.71,-26.11,242.93,-5.48,286,1118695.54,-1650-10-14 00:59:45.571,105.33,7.57
ω1 Sco,N17-Anu,17,other,Jabhat Acrabi I,HIP 78933,अनूराधा,Anūrādhā,Mitra,241.70,-20.67,243.66,0.22,286,1118695.54,-1650-10-14 00:59:45.571,99.54,7.54
ε Sco,N18-Jye,18,rep,Larawag,HIP 82396,ज्येष्ठा,Jyeṣṭhā,Indra,252.54,-34.29,255.33,-11.74,300,1118709.55,-1650-10-28 01:10:34.870,118.20,7.90
α Sco,N18-Jye,18,other,Antares,HIP 80763,ज्येष्ठा,Jyeṣṭhā,Indra,247.35,-26.43,249.75,-4.57,293,1118702.55,-1650-10-21 01:05:10.220,107.70,7.91
σ Sco,N18-Jye,18,other,Alniyat,HIP 80112,ज्येष्ठा,Jyeṣṭhā,Indra,245.30,-25.59,247.79,-4.04,291,1118700.54,-1650-10-19 01:03:22.004,106.21,7.89
κ Sco,N19-Mul,19,rep,Mula,HIP 86670,मूल,Mūla, Nirṛti,265.62,-39.03,266.46,-15.64,312,1118721.56,-1650-11-09 01:21:02.525,127.27,7.12
ζ2 Sco,N19-Mul,19,other,zet2Sco,HIP 82729,मूल,Mūla, Nirṛti,253.65,-42.36,257.23,-19.64,303,1118712.55,-1650-10-31 01:13:06.373,127.52,7.03
θ Sco,N19-Mul,19,other,Sargas,HIP 86228,मूल,Mūla, Nirṛti,264.33,-43.00,265.59,-19.64,313,1118722.56,-1650-11-10 01:21:45.812,132.02,7.55
ι1 Sco,N19-Mul,19,other,Girtab,HIP 87073,मूल,Mūla, Nirṛti,266.90,-40.13,267.51,-16.71,314,1118723.56,-1650-11-11 01:22:29.098,129.30,7.45
λ Sco,N19-Mul,19,other,Shaula,HIP 85927,मूल,Mūla, Nirṛti,263.40,-37.10,264.58,-13.79,310,1118719.56,-1650-11-07 01:19:14.309,124.64,7.65
ν Sco,N19-Mul,19,other,Lesath,HIP 85696,मूल,Mūla, Nirṛti,262.69,-37.30,264.00,-14.01,309,1118718.55,-1650-11-06 01:18:09.379,124.32,7.22
λ Sgr,N20-PAsh,20,rep,Kaus Borealis,HIP 90496,पूर्वाषाढा,P Aṣāḍhā,Ap,276.99,-25.42,276.31,-2.14,319,1118728.56,-1650-11-16 01:27:10.461,116.01,7.84
γ Sgr,N20-PAsh,20,other,Alnasl,HIP 88635,पूर्वाषाढा,P Aṣāḍhā,Ap,271.45,-30.42,271.25,-6.99,315,1118724.56,-1650-11-12 01:23:34.028,119.53,7.59
δ Sgr,N20-PAsh,20,other,Kaus Media,HIP 89931,पूर्वाषाढा,P Aṣāḍhā,Ap,275.25,-29.83,274.57,-6.47,318,1118727.56,-1650-11-15 01:26:05.531,120.03,7.30
ε Sgr,N20-PAsh,20,other,Kaus Australis,HIP 90185,पूर्वाषाढा,P Aṣāḍhā,Ap,276.04,-34.38,275.07,-11.05,320,1118729.56,-1650-11-17 01:27:53.747,125.60,7.25
τ Sgr,N21-UAsh,21,rep,Namalsadirah II,HIP 93864,उत्तराषाढा,U Aṣāḍhā,Viśvedevā,286.74,-27.67,284.82,-5.09,328,1118737.57,-1650-11-25 01:34:44.970,121.89,7.11
ζ Sgr,N21-UAsh,21,other,Ascella,HIP 93506,उत्तराषाढा,U Aṣāḍhā,Viśvedevā,285.65,-29.88,283.63,-7.18,328,1118737.57,-1650-11-25 01:34:44.970,124.29,7.49
σ Sgr,N21-UAsh,21,other,Nunki,HIP 92855,उत्तराषाढा,U Aṣāḍhā,Viśvedevā,283.82,-26.30,282.38,-3.45,325,1118734.56,-1650-11-22 01:32:13.467,119.25,7.25
φ Sgr,N21-UAsh,21,other,Namalsadirah I,HIP 92041,उत्तराषाढा,U Aṣāḍhā,Viśvedevā,281.41,-26.99,280.17,-3.95,323,1118732.56,-1650-11-20 01:30:25.251,119.14,7.32
α Aql,N22-Shr,22,rep,Altair,HIP 97649,श्रवण,Śravaṇa,Viṣṇu,297.70,8.87,301.77,29.30,332,1118741.57,-1650-11-29 01:38:21.403,86.16,7.46
β Aql,N22-Shr,22,other,Alshain,HIP 98036,श्रवण,Śravaṇa,Viṣṇu,298.83,6.41,302.41,26.66,333,1118742.57,-1650-11-30 01:39:04.689,89.01,7.02
γ Aql,N22-Shr,22,other,Tarazed,HIP 97278,श्रवण,Śravaṇa,Viṣṇu,296.56,10.61,300.93,31.24,331,1118740.57,-1650-11-28 01:37:38.116,84.03,7.78
β Del,N23-Dha,23,rep,Rotanev,HIP 101769,धनिष्ठा,Dhaniṣṭhā,Vasu,309.39,14.60,316.33,31.92,342,1118751.57,-1650-12-09 01:45:55.912,84.31,7.25
α Del,N23-Dha,23,other,Sualocin,HIP 101958,धनिष्ठा,Dhaniṣṭhā,Vasu,309.91,15.91,317.37,33.02,343,1118752.57,-1650-12-10 01:46:39.198,83.46,7.96
γ2 Del,N23-Dha,23,other,Al Salib,HIP 102532,धनिष्ठा,Dhaniṣṭhā,Vasu,311.66,16.12,319.36,32.70,344,1118753.57,-1650-12-11 01:47:22.485,83.54,7.34
δ Del,N23-Dha,23,other,Al Ukud,HIP 102281,धनिष्ठा,Dhaniṣṭhā,Vasu,310.86,15.07,318.11,31.95,344,1118753.57,-1650-12-11 01:47:22.485,84.70,7.94
α Aqr,N23-Dha,23,other,Sadalmelik,HIP 109074,धनिष्ठा,Dhaniṣṭhā,Vasu,331.45,-0.32,333.35,10.66,3,1118412.58,-1650-01-04 01:57:28.497,108.72,7.76
β Aqr,N23-Dha,23,other,Sadaldud,HIP 106278,धनिष्ठा,Dhaniṣṭhā,Vasu,322.89,-5.57,323.39,8.62,360,1118769.58,-1650-12-27 01:55:40.281,111.61,7.56
γ Aqr,N23-Dha,23,other,Sadachbia,HIP 110395,धनिष्ठा,Dhaniṣṭhā,Vasu,335.41,-1.39,336.71,8.24,8,1118417.58,-1650-01-09 01:57:28.497,111.19,7.71
ζ1 Aqr,N23-Dha,23,other,zetAqr,HR 8559,धनिष्ठा,Dhaniṣṭhā,Vasu,337.21,-0.02,338.90,8.85,9,1118418.58,-1650-01-10 01:57:28.497,109.85,7.21
η Aqr,N23-Dha,23,other,etaAqr,HIP 111497,धनिष्ठा,Dhaniṣṭhā,Vasu,338.84,-0.12,340.40,8.15,11,1118420.58,-1650-01-12 01:57:28.497,110.47,7.25
λ Aqr,N24-Sha,24,rep,Hydor,HIP 112961,शतभिषक्,Śatabhiṣak,Varuṇa,343.15,-7.58,341.57,-0.39,20,1118429.58,-1650-01-21 01:54:56.994,120.46,7.24
α Peg,N25-PBha,25,rep,Markab,HIP 113963,पूर्वाभाद्रपदा,P Proṣṭapada,Aja,346.19,15.21,353.48,19.41,14,1118423.58,-1650-01-15 01:56:45.210,94.94,7.23
β Peg,N25-PBha,25,other,Scheat,HIP 113881,पूर्वाभाद्रपदा,P Proṣṭapada,Aja,345.94,28.08,359.37,31.14,10,1118419.58,-1650-01-11 01:57:28.497,80.75,7.75
γ Peg,N26-UBha,26,other,Algenib,HIP 1067,उत्तराभाद्रपदा,U Proṣṭapada,Ahirbudhnya,3.31,15.18,9.15,12.60,35,1118444.57,-1650-02-05 01:46:17.555,98.21,7.45
α And,N26-UBha,26,rep,Alpheratz,HIP 677,उत्तराभाद्रपदा,U Proṣṭapada,Ahirbudhnya,2.10,29.09,14.31,25.68,26,1118435.58,-1650-01-27 01:52:25.491,82.07,7.17
ε Psc,N27-Rev,27,rep,epsPsc,HIP 4906,रेवती,Revatī,Pūṣan,15.74,7.89,17.52,1.09,57,1118466.56,-1650-02-27 01:25:00.601,107.78,7.29
μ Psc,N27-Rev,27,rep,muPsc,HIP 7007,रेवती,Revatī,Pūṣan,22.55,6.14,23.13,-3.06,69,1118478.55,-1650-03-11 01:10:56.513,110.17,7.46
ζ Psc,N27-Rev,27,rep,Revati,HIP 7007,रेवती,Revatī,Pūṣan,22.55,6.14,23.13,-3.06,69,1118478.55,-1650-03-11 01:10:56.513,110.17,7.46
