date	hhmm	dist	lon	lat
1982-Mar-31	00:00	5.30662163	190.5365004	3.0026447
1982-Apr-05	00:00	5.28219395	188.6028986	2.8616500
1982-Apr-10	00:00	5.30138941	186.7256699	2.6919127
1982-Apr-15	00:00	5.36232787	184.9893393	2.4989456
1982-Apr-20	00:00	5.46236978	183.4670329	2.2895161
1982-Apr-25	00:00	5.59810614	182.2171857	2.0706683
1982-Apr-30	00:00	5.76533374	181.2805581	1.8487418
1982-May-05	00:00	5.95938542	180.6748004	1.6287276
1982-May-10	00:00	6.17593729	180.3995894	1.4143730
1982-May-15	00:00	6.41125285	180.4444845	1.2084162
1982-May-20	00:00	6.66202534	180.7938476	1.0126798
1982-May-25	00:00	6.92515955	181.4303690	0.8281171
1982-May-30	00:00	7.19755396	182.3335305	0.6548117
1982-Jun-04	00:00	7.47647480	183.4786864	0.4923565
1982-Jun-09	00:00	7.75989198	184.8421584	0.3403202
1982-Jun-14	00:00	8.04627505	186.4028845	0.1982964
1982-Jun-19	00:00	8.33433369	188.1435159	0.0658199
1982-Jun-24	00:00	8.62273627	190.0498599	-0.0577719
1982-Jun-29	00:00	8.91004451	192.1066465	-0.1733483
1982-Jul-04	00:00	9.19521129	194.2988575	-0.2816050
1982-Jul-09	00:00	9.47764617	196.6134646	-0.3829739
1982-Jul-14	00:00	9.75699394	199.0399759	-0.4777709
1982-Jul-19	00:00	10.03290852	201.5710810	-0.5663475
1982-Jul-24	00:00	10.30480334	204.2002251	-0.6492297
1982-Jul-29	00:00	10.57202889	206.9194728	-0.7269494
1982-Aug-03	00:00	10.83431802	209.7213276	-0.7997736
1982-Aug-08	00:00	11.09170186	212.5992613	-0.8678014
1982-Aug-13	00:00	11.34432300	215.5488717	-0.9311102
1982-Aug-18	00:00	11.59219057	218.5676308	-0.9899015
1982-Aug-23	00:00	11.83501456	221.6520495	-1.0445158
1982-Aug-28	00:00	12.07256438	224.7979080	-1.0951642
1982-Sep-02	00:00	12.30495159	228.0007652	-1.1418512
1982-Sep-07	00:00	12.53250426	231.2570077	-1.1845150
1982-Sep-12	00:00	12.75558898	234.5650381	-1.2231584
1982-Sep-17	00:00	12.97432250	237.9235855	-1.2579476
1982-Sep-22	00:00	13.18856404	241.3304407	-1.2890753
1982-Sep-27	00:00	13.39832877	244.7826524	-1.3165585
1982-Oct-02	00:00	13.60391579	248.2768008	-1.3403019
1982-Oct-07	00:00	13.80580387	251.8106699	-1.3602197
1982-Oct-12	00:00	14.00442907	255.3834625	-1.3763577
1982-Oct-17	00:00	14.19989143	258.9939024	-1.3888819
1982-Oct-22	00:00	14.39213142	262.6402334	-1.3978756
1982-Oct-27	00:00	14.58128151	266.3194631	-1.4032861
1982-Nov-01	00:00	14.76770881	270.0285640	-1.4050290
1982-Nov-06	00:00	14.95193990	273.7659296	-1.4030926
1982-Nov-11	00:00	15.13435024	277.5304155	-1.3976181
1982-Nov-16	00:00	15.31494990	281.3207870	-1.3887627
1982-Nov-21	00:00	15.49369043	285.1349395	-1.3765639
1982-Nov-26	00:00	15.67070727	288.9696149	-1.3609933
1982-Dec-01	00:00	15.84634474	292.8221344	-1.3420498
1982-Dec-06	00:00	16.02107819	296.6908428	-1.3198507
1982-Dec-11	00:00	16.19511218	300.5743485	-1.2946144
1982-Dec-16	00:00	16.36832148	304.4714378	-1.2664810
1982-Dec-21	00:00	16.54059163	308.3794367	-1.2355004
1982-Dec-26	00:00	16.71197398	312.2952232	-1.2017161
1982-Dec-31	00:00	16.88272817	316.2165018	-1.1652398
1983-Jan-05	00:00	17.05318963	320.1413700	-1.1263039
1983-Jan-10	00:00	17.22333012	324.0689276	-1.0851384
1983-Jan-15	00:00	17.39286938	327.9977079	-1.0418653
1983-Jan-20	00:00	17.56157335	331.9249753	-0.9965671
1983-Jan-25	00:00	17.72937287	335.8482325	-0.9493597
1983-Jan-30	00:00	17.89642161	339.7654224	-0.9004487
1983-Feb-04	00:00	18.06286064	343.6750758	-0.8501015
1983-Feb-09	00:00	18.22843329	347.5769271	-0.7984956
1983-Feb-14	00:00	18.39271522	351.4693649	-0.7457295
1983-Feb-19	00:00	18.55534649	355.3502626	-0.6919059
1983-Feb-24	00:00	18.71616047	359.2178624	-0.6371876
1983-Mar-01	00:00	18.87521887	3.0703536	-0.5818149
1983-Mar-06	00:00	19.03246182	6.9074936	-0.5259965
1983-Mar-11	00:00	19.18746015	10.7292006	-0.4698302
1983-Mar-16	00:00	19.33968163	14.5342090	-0.4133841
1983-Mar-21	00:00	19.48867824	18.3213067	-0.3567637
1983-Mar-26	00:00	19.63424977	22.0891113	-0.3001492
1983-Mar-31	00:00	19.77638913	25.8366412	-0.2437423
1983-Apr-05	00:00	19.91486962	29.5646736	-0.1876446
1983-Apr-10	00:00	20.04916175	33.2731213	-0.1318833
1983-Apr-15	00:00	20.17867081	36.9614485	-0.0764986
1983-Apr-20	00:00	20.30292417	40.6290640	-0.0215953
1983-Apr-25	00:00	20.42175622	44.2747482	0.0326608
1983-Apr-30	00:00	20.53510308	47.8988440	0.0861588
1983-May-05	00:00	20.64262671	51.5023080	0.1388939
1983-May-10	00:00	20.74375671	55.0852870	0.1908837
1983-May-15	00:00	20.83787831	58.6479502	0.2421013
1983-May-20	00:00	20.92456684	62.1896535	0.2924392
1983-May-25	00:00	21.00372987	65.7098179	0.3417833
1983-May-30	00:00	21.07525175	69.2096302	0.3901322
1983-Jun-04	00:00	21.13873986	72.6896992	0.4376504
1983-Jun-09	00:00	21.19362079	76.1508785	0.4839640
1983-Jun-14	00:00	21.23930135	79.5934409	0.5294558
1983-Jun-19	00:00	21.27547327	83.0164003	0.5738994
1983-Jun-24	00:00	21.30211758	86.4202048	0.6172485
1983-Jun-29	00:00	21.31908182	89.8059655	0.6595591
1983-Jul-04	00:00	21.32596559	93.1744665	0.7009028
1983-Jul-09	00:00	21.32221755	96.5266452	0.7413057
1983-Jul-14	00:00	21.30731939	99.8623522	0.7807148
1983-Jul-19	00:00	21.28112888	103.1808685	0.8190621
1983-Jul-24	00:00	21.24368421	106.4831025	0.8563813
1983-Jul-29	00:00	21.19482975	109.7698228	0.8927584
1983-Aug-03	00:00	21.13419460	113.0420200	0.9282561
1983-Aug-08	00:00	21.06127895	116.3004773	0.9628745
1983-Aug-13	00:00	20.97571262	119.5442969	0.9965509
1983-Aug-18	00:00	20.87754095	122.7733895	1.0292758
1983-Aug-23	00:00	20.76685951	125.9883341	1.0611282
1983-Aug-28	00:00	20.64355806	129.1898032	1.0921896
1983-Sep-02	00:00	20.50733072	132.3788602	1.1224935
1983-Sep-07	00:00	20.35778228	135.5554319	1.1520060
1983-Sep-12	00:00	20.19477513	138.7184219	1.1806835
1983-Sep-17	00:00	20.01854608	141.8678193	1.2085748
1983-Sep-22	00:00	19.82928194	145.0037197	1.2357667
1983-Sep-27	00:00	19.62697272	148.1268520	1.2623115
1983-Oct-02	00:00	19.41141890	151.2377853	1.2881974
1983-Oct-07	00:00	19.18241470	154.3353867	1.3133692
1983-Oct-12	00:00	18.94012320	157.4186524	1.3378287
1983-Oct-17	00:00	18.68497774	160.4869111	1.3616539
1983-Oct-22	00:00	18.41731040	163.5400073	1.3849066
1983-Oct-27	00:00	18.13725751	166.5784761	1.4075872
