gname,nid,nnid,tag,sname,hip,naks,enaks,daivata,raJ2000,decJ2000,lonJ2000,latJ2000,hr_daynum_kuru,hr_jd_kuru,hr_utc_kuru,hr_az_kuru,hr_alt_kuru
δ Crv,N13-Has,13,rep,Algorab,HIP 60965,हस्त,Hasta,Savitṛ,187.47,-16.52,193.45,-12.20,239,1136910.52,-1600-08-27 00:28:00.962,91.22,7.35
α Crv,N13-Has,13,other,Alchiba,HIP 59199,हस्त,Hasta,Savitṛ,182.10,-24.73,192.24,-21.75,240,1136911.52,-1600-08-28 00:28:44.248,101.48,7.71
β Crv,N13-Has,13,other,Kraz,HIP 61359,हस्त,Hasta,Savitṛ,188.60,-23.40,197.36,-18.04,244,1136915.52,-1600-09-01 00:31:15.752,99.18,7.63
γ Crv,N13-Has,13,other,Gienah,HIP 59803,हस्त,Hasta,Savitṛ,183.95,-17.54,190.72,-14.50,237,1136908.52,-1600-08-25 00:26:34.389,92.86,7.50
ε Crv,N13-Has,13,other,Minkar,HIP 59316,हस्त,Hasta,Savitṛ,182.53,-22.62,191.66,-19.67,239,1136910.52,-1600-08-27 00:28:00.962,98.95,7.65
α Vir,N14-Chi,14,rep,Spica,HIP 65474,चित्रा,Citrā,Tvaṣṭṛ,201.30,-11.16,203.84,-2.05,248,1136919.52,-1600-09-05 00:33:47.255,84.49,7.68
α Boo,N15-Swa,15,rep,Arcturus,HIP 69673,स्वाती,Svātī,Vāyu,213.92,19.18,204.23,30.73,245,1136916.52,-1600-09-02 00:31:59.038,50.03,7.47
α2 Lib,N16-Vis,16,rep,Zubenelgenubi,HIP 72622,विशाखे,Viśākhā,Indrāgnī,222.72,-16.04,225.08,0.33,269,1136940.53,-1600-09-26 00:47:29.699,91.43,7.94
α1 Lib,N16-Vis,16,other,Zubenelgenubi II,HIP 72603,विशाखे,Viśākhā,Indrāgnī,222.67,-16.00,225.02,0.36,268,1136939.53,-1600-09-25 00:47:08.056,90.89,7.05
δ Sco,N17-Anu,17,rep,Dschubba,HIP 78401,अनूराधा,Anūrādhā,Mitra,240.08,-22.62,242.56,-1.99,286,1136957.54,-1600-10-13 00:59:23.928,101.70,7.50
