year	event	date	sun_lon	obj_lon	sun_lon_dms	obj_lon_dms	obj_rise_set	sun_rise_set	delta_rise_set	age	mag	sun_alt	obj_lat	az_diff	lon_diff	sun_sz	obj_az
-1273	morning_first_visibility	-1273-02-05	305.08	301.98	305° 05'	301° 59'	6:56	7:23	-0:27h	1d 12h	-3.2	-6° 22'	8° 25'	-3° 56'	-3° 06'	288° 40'	284° 44'
-1273	morning_last_visibility	-1273-10-17	192.23	184.33	192° 14'	184° 20'	5:56	6:21	-0:24h	-33d 03h	-3.4	-6° 14'	1° 10'	-0° 18'	-7° 53'	272° 06'	271° 48'
-1272	evening_last_visibility	-1272-08-21	136.47	157.60	136° 28'	157° 36'	19:30	19:07	0:22h	-14d 18h	-4	-5° 24'	-7° 56'	-21° 24'	21° 09'	112° 11'	90° 47'
-1272	morning_first_visibility	-1272-09-11	156.72	147.15	156° 43'	147° 09'	5:31	5:57	-0:25h	5d 16h	-3.5	-6° 16'	-8° 06'	9° 36'	-9° 34'	255° 35'	265° 11'
-1271	evening_first_visibility	-1271-07-28	112.75	122.23	112° 45'	122° 14'	19:48	19:21	0:26h	34d 02h	-3.4	-6° 02'	1° 26'	-5° 44'	9° 29'	119° 36'	113° 51'
-1271	morning_last_visibility	-1271-05-02	28.93	14.35	28° 56'	14° 21'	5:21	5:47	-0:25h	-53d 13h	-3.3	-6° 02'	-1° 11'	12° 23'	-14° 35'	253° 15'	265° 38'
-1270	evening_last_visibility	-1270-04-09	7.27	14.42	7° 16'	14° 25'	19:00	18:36	0:24h	-4d 22h	-3.2	-6° 03'	5° 40'	4° 47'	7° 08'	96° 55'	101° 42'
-1270	morning_first_visibility	-1270-04-19	16.32	8.57	16° 19'	8° 34'	5:39	6:02	-0:23h	4d 13h	-3.1	-5° 57'	3° 55'	3° 57'	-7° 44'	258° 56'	262° 53'
-1270	morning_last_visibility	-1270-12-28	265.95	256.75	265° 57'	256° 45'	6:53	7:21	-0:27h	-38d 06h	-3.4	-6° 12'	-0° 25'	4° 43'	-9° 12'	293° 56'	298° 39'
-1269	evening_first_visibility	-1269-03-07	335.13	343.15	335° 08'	343° 09'	18:44	18:19	0:24h	31d 06h	-3.4	-6° 04'	-1° 09'	-2° 12'	8° 02'	82° 11'	79° 59'
