year	mm	phase	lon	lat	ra	dec	sz
-1471	08	0.990634024143219	288.6670663119688	-0.20177162137566224	-69.6933898923375	-22.740470001079398	0.5381173686750549
-1471	09	0.9924014210700989	319.41126389167636	2.789680370224674	-38.98871151855493	-12.617383597081323	0.5545561370585244
-1471	10	0.9935603737831116	350.184640311848	3.9410615631464516	-10.56435504224087	-0.3416052715993987	0.5521090244653519
-1471	11	0.9904493689537048	18.307234906785297	5.013043936973976	14.851825138909744	11.918566246892324	0.5629486310029411
-1471	12	0.9935638904571533	49.99624686970685	3.40867511941674	46.45713264778243	21.331774020568865	0.5343137238446998
-1471	12	0.9905914664268494	77.38856202916713	2.0911850916058383	76.0297138036912	25.33870780979504	0.532739316954759
-1470	01	0.9915210604667664	107.60748022724259	-1.1775925822443118	108.9709192722425	21.517948404790356	0.5049491437415283
-1470	03	0.9908029437065125	136.95759607650626	-3.5076405449568715	138.3958389061645	12.691703397612073	0.502995207927067
-1470	03	0.9912205934524536	166.26291778660357	-4.494930737237969	165.62456921239985	1.3821307432900822	0.49070029202133325
-1470	04	0.9933103322982788	196.53186591362945	-4.806590443939943	-166.7241830514259	-11.031988758164761	0.4831956085438437
-1470	05	0.9912271499633789	222.89977497135416	-4.451212582432264	-141.10390597986503	-20.21702485540501	0.4997028072424705
-1470	06	0.9917304515838623	250.52350944537042	-1.7173310919213225	-111.41749245567755	-24.123493876479767	0.4970951397180453
-1470	07	0.9915889501571655	278.91686035707437	0.6276459998223541	-80.31121609316496	-22.935318644796908	0.517904324362389
-1470	08	0.993036687374115	309.13973954649737	2.749881827968576	-49.10088624109396	-15.64014604264881	0.5309949673421438
-1470	09	0.992519736289978	339.2434293108421	4.891451218271806	-20.9877075525227	-3.721056682199059	0.5419966083075186
-1470	10	0.9905490279197693	7.2327376778538435	4.3753655517004	4.849911735510924	6.924414892349731	0.5489677707335288
-1470	11	0.9923693537712097	38.43444408474576	3.7045040872034285	34.69337952734302	18.06411624393455	0.5596200571544657
-1470	12	0.9928711652755737	68.00504587336152	0.6941567212929016	66.04611911396934	22.71977320942072	0.5447048517785196
-1469	01	0.990973949432373	96.44196031601328	-1.139472386141564	96.9774016290441	22.569423180201834	0.5482909828832677
-1469	02	0.9920405745506287	127.3187564656562	-4.12960968142218	128.70894564717145	14.779273077526573	0.5174144726323833
-1469	03	0.9908950924873352	155.58479343449406	-4.876626893656021	155.62788360478837	5.1004940092411175	0.5186593905662473
-1469	04	0.9907233715057373	183.878301696532	-4.900877608269851	-178.4407300065907	-6.049862261848362	0.4912583923391225
-1469	05	0.9900972247123718	211.14622166120114	-3.897309320265965	-152.50524631144626	-15.720938293196086	0.498920882742151
-1469	06	0.9918882250785828	239.83100243131082	-1.0882748222620786	-122.69592305971979	-21.538112634080445	0.48493433306736
-1469	07	0.9902621507644653	267.36066234747483	1.337054608415075	-92.856271007884	-22.50375042220021	0.49071057296974313
-1469	08	0.9913689494132996	297.3486068065219	3.2141003947280677	-61.18090433764353	-17.912135529939437	0.51188923646325
-1469	09	0.9908317923545837	326.85565260316093	4.623632549774526	-32.46597710986338	-8.44096228125936	0.5116134085643624
-1469	10	0.9916532635688782	357.47586250968163	4.808740813856812	-4.254138106890651	3.3769167348795515	0.5313494016717671
-1469	11	0.9901720881462097	25.594906061541373	2.690164478088781	22.6345318688456	12.563836786481614	0.5416305530808376
-1469	12	0.9927515387535095	57.229284624379474	0.39537675197568917	54.758977030364015	20.274927481748968	0.553832034396163
-1468	01	0.9937341809272766	88.03594142300612	-2.4600168290653635	87.89249021549936	21.392735292617118	0.5546137909663099
-1468	02	0.9902491569519043	115.51311956339728	-4.059306139784692	116.76357402767428	17.42836817991694	0.5606936511826697
-1468	03	0.9928382635116577	146.90907014678186	-5.259623776193647	147.3645924411641	7.825151630197362	0.5304680098419076
-1468	04	0.9913354516029358	173.54385823665274	-4.383397095481326	172.32859203812	-1.4056445527561858	0.5258170706377001
-1468	05	0.9930502772331238	202.5171018768677	-3.0597848770200033	-160.41961441518362	-11.74436395653659	0.504173349913902
-1468	06	0.9929140210151672	229.84913172388158	-0.4445822263341635	-132.81958276468387	-18.442787379546836	0.497884964957806
-1468	07	0.9927398562431335	258.38908986179547	2.2239152999685152	-102.45164667430274	-21.134294876594787	0.48444374824687936
-1468	08	0.9904786348342896	285.8920713379144	3.580480320033131	-73.16312454630395	-19.346804177715597	0.4967499938676623
-1468	09	0.9917935132980347	316.42368234493824	4.531109142206158	-42.43957960026101	-11.876106983958572	0.49450893328594436
-1468	10	0.9921884536743164	346.3929344010757	4.192332426291139	-14.137151697598334	-1.6092884526992852	0.49800941306778324
-1468	10	0.991495668888092	15.56669593860214	2.744965270540653	13.203787456281336	8.757575142634872	0.52220727966093
-1468	11	0.9928835034370422	46.28362860728714	-0.4760822775290612	43.868759641893995	16.549157735269805	0.5362772097298846
-1468	12	0.9930760264396667	77.18351459840342	-3.260079521152915	76.36875865705142	19.99233378711743	0.5428960146227617
-1467	01	0.9904481768608093	105.3645894624672	-4.70877863054978	106.14748141093719	18.286548071493048	0.5526982875175872
-1467	02	0.9918809533119202	136.01975814878065	-5.480152255264706	136.87977578787215	11.090135531060078	0.557792629062961
-1467	03	0.9928242564201355	164.50096654377447	-4.324143361274386	164.07431965546823	2.227307856916959	0.5410119896741119
-1467	04	0.9930846691131592	191.8875158078698	-2.058635696406669	-169.9269825246815	-6.669633265773181	0.5374466287584951
-1467	05	0.9916387796401978	218.68368121209616	-0.30585937745354025	-143.89124743446285	-14.937952113931559	0.5303979792666359
-1467	06	0.9919219017028809	247.29783655314867	2.8177963648822897	-114.08100308259921	-19.139083810192595	0.5027429598609545
-1467	07	0.9910773038864136	275.72568249298484	4.174257405557948	-83.93816568237514	-19.570467066297233	0.5014407088393288
-1467	08	0.9913533329963684	305.0075681003399	4.655578296915238	-53.735201451803164	-14.83845203353196	0.48934657582572244
-1467	09	0.9903863072395325	333.7603516486349	4.115483199242707	-25.791093432370268	-6.476814170944647	0.4827732838001818
-1467	10	0.9928370118141174	4.992555805971955	1.9257779826808177	3.789212515212462	3.779887993469256	0.49012909639091246
-1467	11	0.9901765584945679	33.289460446032706	-0.6948307470544952	31.22988278229385	12.179550681067866	0.5140401770328215
-1467	12	0.9929741024971008	66.16326436368928	-3.5579444882474967	64.87216826788128	18.218361521827788	0.5241296117094721
-1466	01	0.9926612377166748	96.84557128884417	-5.3263462179344145	97.18361894595205	18.36732027169676	0.5307546247505879
-1466	02	0.9907009601593018	124.30425903807841	-4.976044516353249	125.48198726946606	14.693902331527282	0.5475429333583283
-1466	03	0.9900429844856262	152.2488527833533	-4.0932418203096645	152.8024305114109	7.044851911397526	0.5633793925552543
-1466	04	0.9928672313690186	181.65675150539371	-1.6990732755682771	-179.17252134122714	-2.2240714662120316	0.5468388736384805
