gname,nid,nnid,tag,sname,hip,naks,enaks,daivata,raJ2000,decJ2000,lonJ2000,latJ2000,hr_daynum_kuru,hr_jd_kuru,hr_utc_kuru,hr_az_kuru,hr_alt_kuru
δ Cnc,N08-Pus,8,rep,Asellus Australis,HIP 42911,पुष्य,Puṣya,Bṛhaspati,131.17,18.15,128.72,0.08,170,1082055.49,-1750-06-19 23:47:15.271,67.78,7.13
ζ Hya,N09-Asl,9,rep,Minazal V,HIP 43813,आश्लेषा,Āśleṣā,Sarpa,133.85,5.95,134.58,-10.97,183,1082068.49,-1750-07-02 23:51:13.347,80.19,7.92
δ Hya,N09-Asl,9,other,Minazal I,HIP 42313,आश्लेषा,Āśleṣā,Sarpa,129.41,5.70,130.31,-12.39,180,1082065.49,-1750-06-29 23:50:08.417,82.17,7.92
ε Hya,N09-Asl,9,other,Ashlesha,HIP 43109,आश्लेषा,Āśleṣā,Sarpa,131.69,6.42,132.35,-11.10,181,1082066.49,-1750-06-30 23:50:30.060,80.48,7.86
η Hya,N09-Asl,9,other,Minazal II,HIP 42799,आश्लेषा,Āśleṣā,Sarpa,130.81,3.40,132.31,-14.25,182,1082067.49,-1750-07-01 23:50:51.703,83.69,7.15
ρ Hya,N09-Asl,9,other,Minazal IV,HIP 43234,आश्लेषा,Āśleṣā,Sarpa,132.11,5.84,132.91,-11.55,181,1082066.49,-1750-06-30 23:50:30.060,80.57,7.15
σ Hya,N09-Asl,9,other,Minchir,HIP 42402,आश्लेषा,Āśleṣā,Sarpa,129.69,3.34,131.21,-14.60,182,1082067.49,-1750-07-01 23:50:51.703,84.56,7.86
ζ Leo,N10-Mag,10,rep,Adhafera,HIP 50335,मघा,Maghā,Pitṛ,154.17,23.42,147.57,11.86,183,1082068.49,-1750-07-02 23:51:13.347,53.72,7.62
α Leo,N10-Mag,10,other,Regulus,HIP 49669,मघा,Maghā,Pitṛ,152.09,11.97,149.83,0.46,191,1082076.50,-1750-07-10 23:55:33.066,66.83,7.41
γ Leo,N10-Mag,10,other,Algieba,HIP 50583,मघा,Maghā,Pitṛ,154.99,19.84,149.61,8.81,187,1082072.50,-1750-07-06 23:53:23.206,57.41,7.70
ε Leo,N10-Mag,10,other,Algenubi,HIP 47908,मघा,Maghā,Pitṛ,146.46,23.77,140.71,9.71,176,1082061.49,-1750-06-25 23:48:41.844,55.81,7.06
η Leo,N10-Mag,10,other,Al Jabah,HIP 49583,मघा,Maghā,Pitṛ,151.83,16.76,147.91,4.87,187,1082072.50,-1750-07-06 23:53:23.206,61.74,7.49
μ Leo,N10-Mag,10,other,Rasalas,HIP 48455,मघा,Maghā,Pitṛ,148.19,26.01,141.43,12.35,175,1082060.49,-1750-06-24 23:48:20.200,52.72,7.04
δ Leo,N11-PPal,11,rep,Zosma,HIP 54872,पूर्वफल्गुनी,P Phalgunī,Bhaga,168.53,20.52,161.32,14.33,197,1082082.50,-1750-07-16 23:59:09.499,52.34,7.49
θ Leo,N11-PPal,11,other,Chertan,HIP 54879,पूर्वफल्गुनी,P Phalgunī,Bhaga,168.56,15.43,163.42,9.67,201,1082086.50,-1750-07-21 00:01:41.002,57.91,7.23
β Leo,N12-UPal,12,rep,Denebola,HIP 57632,उत्तरफल्गुनी,U Phalgunī,Aryaman,177.26,14.57,171.62,12.27,209,1082094.50,-1750-07-29 00:07:05.651,56.80,7.21
* 93 Leo,N12-UPal,12,other,93Leo,HIP 57565,उत्तरफल्गुनी,U Phalgunī,Aryaman,177.00,20.22,168.97,17.31,204,1082089.50,-1750-07-24 00:03:29.218,50.28,7.02
δ Crv,N13-Has,13,rep,Algorab,HIP 60965,हस्त,Hasta,Savitṛ,187.47,-16.52,193.45,-12.20,237,1082122.52,-1750-08-26 00:26:56.032,90.66,7.69
α Crv,N13-Has,13,other,Alchiba,HIP 59199,हस्त,Hasta,Savitṛ,182.10,-24.73,192.24,-21.75,238,1082123.52,-1750-08-27 00:27:39.319,100.91,7.98
β Crv,N13-Has,13,other,Kraz,HIP 61359,हस्त,Hasta,Savitṛ,188.60,-23.40,197.36,-18.04,242,1082127.52,-1750-08-31 00:30:10.822,98.57,7.94
γ Crv,N13-Has,13,other,Gienah,HIP 59803,हस्त,Hasta,Savitṛ,183.95,-17.54,190.72,-14.50,235,1082120.52,-1750-08-24 00:25:29.459,92.32,7.82
ε Crv,N13-Has,13,other,Minkar,HIP 59316,हस्त,Hasta,Savitṛ,182.53,-22.62,191.66,-19.67,237,1082122.52,-1750-08-26 00:26:56.032,98.39,7.93
α Vir,N14-Chi,14,rep,Spica,HIP 65474,चित्रा,Citrā,Tvaṣṭṛ,201.30,-11.16,203.84,-2.05,245,1082130.52,-1750-09-03 00:32:20.681,83.34,7.15
α Boo,N15-Swa,15,rep,Arcturus,HIP 69673,स्वाती,Svātī,Vāyu,213.92,19.18,204.23,30.73,242,1082127.52,-1750-08-31 00:30:10.822,48.89,7.21
α2 Lib,N16-Vis,16,rep,Zubenelgenubi,HIP 72622,विशाखे,Viśākhā,Indrāgnī,222.72,-16.04,225.08,0.33,266,1082151.53,-1750-09-24 00:46:03.126,90.17,7.41
α1 Lib,N16-Vis,16,other,Zubenelgenubi II,HIP 72603,विशाखे,Viśākhā,Indrāgnī,222.67,-16.00,225.02,0.36,266,1082151.53,-1750-09-24 00:46:03.126,90.15,7.47
δ Sco,N17-Anu,17,rep,Dschubba,HIP 78401,अनूराधा,Anūrādhā,Mitra,240.08,-22.62,242.56,-1.99,283,1082168.54,-1750-10-11 00:57:57.355,100.44,7.02
β1 Sco,N17-Anu,17,other,Acrab,HIP 78820,अनूराधा,Anūrādhā,Mitra,241.36,-19.81,243.18,1.01,284,1082169.54,-1750-10-12 00:58:40.641,97.96,7.74
π Sco,N17-Anu,17,other,Fang,HIP 78265,अनूराधा,Anūrādhā,Mitra,239.71,-26.11,242.93,-5.48,284,1082169.54,-1750-10-12 00:58:40.641,104.48,7.24
ω1 Sco,N17-Anu,17,other,Jabhat Acrabi I,HIP 78933,अनूराधा,Anūrādhā,Mitra,241.70,-20.67,243.66,0.22,284,1082169.54,-1750-10-12 00:58:40.641,98.69,7.18
ε Sco,N18-Jye,18,rep,Larawag,HIP 82396,ज्येष्ठा,Jyeṣṭhā,Indra,252.54,-34.29,255.33,-11.74,298,1082183.55,-1750-10-26 01:09:29.940,117.39,7.68
α Sco,N18-Jye,18,other,Antares,HIP 80763,ज्येष्ठा,Jyeṣṭhā,Indra,247.35,-26.43,249.75,-4.57,291,1082176.54,-1750-10-19 01:04:05.291,106.87,7.60
σ Sco,N18-Jye,18,other,Alniyat,HIP 80112,ज्येष्ठा,Jyeṣṭhā,Indra,245.30,-25.59,247.79,-4.04,289,1082174.54,-1750-10-17 01:02:17.074,105.37,7.57
κ Sco,N19-Mul,19,rep,Mula,HIP 86670,मूल,Mūla, Nirṛti,265.62,-39.03,266.46,-15.64,311,1082196.56,-1750-11-08 01:20:19.238,127.13,7.76
ζ2 Sco,N19-Mul,19,other,zet2Sco,HIP 82729,मूल,Mūla, Nirṛti,253.65,-42.36,257.23,-19.64,302,1082187.55,-1750-10-30 01:12:44.729,127.37,7.71
θ Sco,N19-Mul,19,other,Sargas,HIP 86228,मूल,Mūla, Nirṛti,264.33,-43.00,265.59,-19.64,311,1082196.56,-1750-11-08 01:20:19.238,131.24,7.43
ι1 Sco,N19-Mul,19,other,Girtab,HIP 87073,मूल,Mūla, Nirṛti,266.90,-40.13,267.51,-16.71,312,1082197.56,-1750-11-09 01:21:24.168,128.58,7.35
λ Sco,N19-Mul,19,other,Shaula,HIP 85927,मूल,Mūla, Nirṛti,263.40,-37.10,264.58,-13.79,308,1082193.55,-1750-11-05 01:17:47.735,123.84,7.44
ν Sco,N19-Mul,19,other,Lesath,HIP 85696,मूल,Mūla, Nirṛti,262.69,-37.30,264.00,-14.01,307,1082192.55,-1750-11-04 01:17:04.449,123.57,7.07
λ Sgr,N20-PAsh,20,rep,Kaus Borealis,HIP 90496,पूर्वाषाढा,P Aṣāḍhā,Ap,276.99,-25.42,276.31,-2.14,317,1082202.56,-1750-11-14 01:25:43.888,115.29,7.52
γ Sgr,N20-PAsh,20,other,Alnasl,HIP 88635,पूर्वाषाढा,P Aṣāḍhā,Ap,271.45,-30.42,271.25,-6.99,313,1082198.56,-1750-11-10 01:22:07.455,118.77,7.31
δ Sgr,N20-PAsh,20,other,Kaus Media,HIP 89931,पूर्वाषाढा,P Aṣāḍhā,Ap,275.25,-29.83,274.57,-6.47,316,1082201.56,-1750-11-13 01:25:00.601,119.35,7.09
ε Sgr,N20-PAsh,20,other,Kaus Australis,HIP 90185,पूर्वाषाढा,P Aṣāḍhā,Ap,276.04,-34.38,275.07,-11.05,318,1082203.56,-1750-11-15 01:26:48.818,124.93,7.11
τ Sgr,N21-UAsh,21,rep,Namalsadirah II,HIP 93864,उत्तराषाढा,U Aṣāḍhā,Viśvedevā,286.74,-27.67,284.82,-5.09,327,1082212.57,-1750-11-24 01:34:23.327,121.93,7.78
ζ Sgr,N21-UAsh,21,other,Ascella,HIP 93506,उत्तराषाढा,U Aṣāḍhā,Viśvedevā,285.65,-29.88,283.63,-7.18,326,1082211.57,-1750-11-23 01:33:40.040,123.69,7.32
σ Sgr,N21-UAsh,21,other,Nunki,HIP 92855,उत्तराषाढा,U Aṣāḍhā,Viśvedevā,283.82,-26.30,282.38,-3.45,323,1082208.56,-1750-11-20 01:31:08.537,118.63,7.02
φ Sgr,N21-UAsh,21,other,Namalsadirah I,HIP 92041,उत्तराषाढा,U Aṣāḍhā,Viśvedevā,281.41,-26.99,280.17,-3.95,321,1082206.56,-1750-11-18 01:29:20.321,118.50,7.09
α Aql,N22-Shr,22,rep,Altair,HIP 97649,श्रवण,Śravaṇa,Viṣṇu,297.70,8.87,301.77,29.30,331,1082216.57,-1750-11-28 01:37:59.760,86.19,7.85
β Aql,N22-Shr,22,other,Alshain,HIP 98036,श्रवण,Śravaṇa,Viṣṇu,298.83,6.41,302.41,26.66,332,1082217.57,-1750-11-29 01:38:43.046,89.05,7.43
γ Aql,N22-Shr,22,other,Tarazed,HIP 97278,श्रवण,Śravaṇa,Viṣṇu,296.56,10.61,300.93,31.24,329,1082214.57,-1750-11-26 01:36:11.543,83.46,7.06
β Del,N23-Dha,23,rep,Rotanev,HIP 101769,धनिष्ठा,Dhaniṣṭhā,Vasu,309.39,14.60,316.33,31.92,341,1082226.57,-1750-12-08 01:45:55.912,84.47,7.64
α Del,N23-Dha,23,other,Sualocin,HIP 101958,धनिष्ठा,Dhaniṣṭhā,Vasu,309.91,15.91,317.37,33.02,341,1082226.57,-1750-12-08 01:45:55.912,83.09,7.32
γ2 Del,N23-Dha,23,other,Al Salib,HIP 102532,धनिष्ठा,Dhaniṣṭhā,Vasu,311.66,16.12,319.36,32.70,343,1082228.57,-1750-12-10 01:47:00.842,83.69,7.64
δ Del,N23-Dha,23,other,Al Ukud,HIP 102281,धनिष्ठा,Dhaniṣṭhā,Vasu,310.86,15.07,318.11,31.95,342,1082227.57,-1750-12-09 01:46:39.198,84.34,7.32
λ Aqr,N24-Sha,24,rep,Hydor,HIP 112961,शतभिषक्,Śatabhiṣak,Varuṇa,343.15,-7.58,341.57,-0.39,18,1081903.58,-1750-01-19 01:55:40.281,120.60,7.06
α Peg,N25-PBha,25,rep,Markab,HIP 113963,पूर्वाभाद्रपदा,P Proṣṭapada,Aja,346.19,15.21,353.48,19.41,13,1081898.58,-1750-01-14 01:57:06.854,95.49,7.63
β Peg,N25-PBha,25,other,Scheat,HIP 113881,पूर्वाभाद्रपदा,P Proṣṭapada,Aja,345.94,28.08,359.37,31.14,8,1081893.58,-1750-01-09 01:57:50.140,80.81,7.20
γ Peg,N26-UBha,26,other,Algenib,HIP 1067,उत्तराभाद्रपदा,U Proṣṭapada,Ahirbudhnya,3.31,15.18,9.15,12.60,33,1081918.57,-1750-02-03 01:47:44.128,98.53,7.17
α And,N26-UBha,26,rep,Alpheratz,HIP 677,उत्तराभाद्रपदा,U Proṣṭapada,Ahirbudhnya,2.10,29.09,14.31,25.68,25,1081910.58,-1750-01-26 01:52:47.134,82.68,7.44
ε Psc,N27-Rev,27,rep,epsPsc,HIP 4906,रेवती,Revatī,Pūṣan,15.74,7.89,17.52,1.09,55,1081940.56,-1750-02-25 01:27:10.461,108.27,7.15
