m	s	im	is	confidence	edit_dist	i_edit_dist
अभिवादेत्वा	अभिवाद्य	abhivadetva	abhivadya	0.6818181818181819	4	3
अभिविजिय	अभिविजिय?	abhivijiya	abhivijiya?	0.875	1	1
अमतमहानिब्बानं	अमृतमहानिर्वाणं	amatamahanibbanam	amrritamahanirvanam	0.6785714285714286	4	5
अम्बट्ठ	अम्भट्ट	ambattha	ambhatta	0.7142857142857143	2	2
अम्बट्ठं	अम्भट्टं	ambattham	ambhattam	0.75	2	2
अम्बट्ठसुत्तं	अम्भट्टसूक्तं	ambatthasuttam	ambhattasuktam	0.7307692307692308	4	3
अम्बट्ठो	अम्बट्ठो	ambattho	ambattho	1.0	0	0
अम्बपनसादीहि	आम्रपनसादिभिः	ambapanasadihi	amrapanasadibhih	0.6666666666666667	5	3
अम्बेहि	जम्बूभिः	ambehi	jambubhih	0.4285714285714286	4	4
अम्वलकुंचादीनं	आम्रलकुचादीनां	amvalakumchadinam	amralakuchadinam	0.7857142857142857	4	2
अम्हाकं	अस्माकं	amhakam	asmakam	0.7142857142857143	2	2
अयं	अयं	ayam	ayam	1.0	0	0
अयम्पि	अयमपि	ayampi	ayamapi	0.8333333333333334	1	1
अरहं	अर्हं	araham	arham	0.75	1	1
अरहतं	अर्हतं	arahatam	arhatam	0.8	1	1
अरहता	अर्हता	arahata	arhata	0.8	1	1
अरिमद्दननगरे	अरिमर्दननगरे	arimaddananagare	arimardananagare	0.9166666666666666	1	1
अलं	अलम्	alam	alam	0.6666666666666667	2	0
अलंकतपटियत्तं	अलङ्कृतपर्याप्तं	alamkatapatiyattam	ala~nkrritaparyaptam	0.42307692307692313	7	8
अवस्सं	अवश्यं	avassam	avashyam	0.6666666666666667	2	2
अविदूरे	अविदूरे	avidure	avidure	1.0	0	0
अवोच	अवोचयत्	avocha	avochayat	0.25	3	3
अव्याधि	अव्याधि	avyadhi	avyadhi	1.0	0	0
असक्कोन्ती	अशक्नुवती	asakkonti	ashaknuvati	0.5	5	5
असत्थेन	अशस्त्रेण	asatthena	ashastrena	0.5	4	3
असप्पुरिसं	असत्पुरुषं	asappurisam	asatpurusham	0.7	3	3
असप्पुरिसो	असत्पुरुषं	asappuriso	asatpurusham	0.55	4	5
असल्लक्खेत्वा	असंलक्ष्य	asallakkhetva	asamlakshya	0.5384615384615384	7	5
