planet,jd,date,elong
Venus,1501948.5006828704,-600-02-04T00:00:59.000,331.2278321344673
Venus,1501949.5006828704,-600-02-05T00:00:59.000,330.7721607549187
Venus,1501950.5006828704,-600-02-06T00:00:59.000,330.2836807485093
Venus,1501951.5006828704,-600-02-07T00:00:59.000,329.76496406689563
Venus,1501952.5006828704,-600-02-08T00:00:59.000,329.21890371035033
Venus,1501953.5006828704,-600-02-09T00:00:59.000,328.6486969615321
Venus,1501954.5006828704,-600-02-10T00:00:59.000,328.0578207141365
Venus,1501955.5006828704,-600-02-11T00:00:59.000,327.4499990354944
Venus,1501956.5006828704,-600-02-12T00:00:59.000,326.82916347457603
Venus,1501957.5006828704,-600-02-13T00:00:59.000,326.19940700300293
Venus,1501958.5006828704,-600-02-14T00:00:59.000,325.56493284598326
Venus,1501959.5006828704,-600-02-15T00:00:59.000,324.92999972513456
Venus,1501960.5006828704,-600-02-16T00:00:59.000,324.29886527745276
Venus,1501961.5006828704,-600-02-17T00:00:59.000,323.67572952615757
Venus,1501962.5006828704,-600-02-18T00:00:59.000,323.0646802483167
Venus,1501963.5006828704,-600-02-19T00:00:59.000,322.46964200026196
Venus,1501964.5006828704,-600-02-20T00:00:59.000,321.8943303266262
Venus,1501965.5006828704,-600-02-21T00:00:59.000,321.3422123807379
Venus,1501966.5006828704,-600-02-22T00:00:59.000,320.816474830632
Venus,1501967.5006828704,-600-02-23T00:00:59.000,320.31999954495177
Venus,1501968.5006828704,-600-02-24T00:00:59.000,319.85534717819297
Venus,1501969.5006828704,-600-02-25T00:00:59.000,319.42474844846333
Venus,1501970.5006828704,-600-02-26T00:00:59.000,319.03010258123993
Venus,1501971.5006828704,-600-02-27T00:00:59.000,318.67298219808555
Venus,1501972.5006828704,-600-02-28T00:00:59.000,318.35464375883134
Venus,1501973.5006828704,-600-03-01T00:00:59.000,318.0760425805783
Venus,1501974.5006828704,-600-03-02T00:00:59.000,317.83785143461074
Venus,1501975.5006828704,-600-03-03T00:00:59.000,317.6404817441469
Venus,1501976.5006828704,-600-03-04T00:00:59.000,317.48410648522287
Venus,1501977.5006828704,-600-03-05T00:00:59.000,317.36868397568696
Venus,1501978.5006828704,-600-03-06T00:00:59.000,317.29398185696937
Venus,1501979.5006828704,-600-03-07T00:00:59.000,317.2596006899107
Venus,1501980.5006828704,-600-03-08T00:00:59.000,317.26499671586794
Venus,1501981.5006828704,-600-03-09T00:00:59.000,317.30950342162726
Venus,1501982.5006828704,-600-03-10T00:00:59.000,317.3923516787583
Venus,1501983.5006828704,-600-03-11T00:00:59.000,317.5126882890312
Venus,1501984.5006828704,-600-03-12T00:00:59.000,317.66959286219304
Venus,1501985.5006828704,-600-03-13T00:00:59.000,317.86209300022574
Venus,1501986.5006828704,-600-03-14T00:00:59.000,318.08917781211244
Venus,1501987.5006828704,-600-03-15T00:00:59.000,318.34980982538883
Venus,1501988.5006828704,-600-03-16T00:00:59.000,318.64293537821595
Venus,1501989.5006828704,-600-03-17T00:00:59.000,318.96749359419243
Venus,1501990.5006828704,-600-03-18T00:00:59.000,319.3224240578447
Venus,1501991.5006828704,-600-03-19T00:00:59.000,319.70667330661877
Venus,1501992.5006828704,-600-03-20T00:00:59.000,320.11920025519925
Venus,1501993.5006828704,-600-03-21T00:00:59.000,320.5589806728879
Venus,1501994.5006828704,-600-03-22T00:00:59.000,321.02501081697176
Venus,1501995.5006828704,-600-03-23T00:00:59.000,321.51631033014286
Venus,1501996.5006828704,-600-03-24T00:00:59.000,322.03192449490666
Venus,1501997.5006828704,-600-03-25T00:00:59.000,322.5709259297653
Venus,1501998.5006828704,-600-03-26T00:00:59.000,323.13241580958953
Venus,1501999.5006828704,-600-03-27T00:00:59.000,323.715524678075
Venus,1502000.5006828704,-600-03-28T00:00:59.000,324.3194129138919
Venus,1502001.5006828704,-600-03-29T00:00:59.000,324.9432709090557
Venus,1502002.5006828704,-600-03-30T00:00:59.000,325.5863190057819
Venus,1502003.5006828704,-600-03-31T00:00:59.000,326.24780723342167
Venus,1502004.5006828704,-600-04-01T00:00:59.000,326.9270148861099
Venus,1502005.5006828704,-600-04-02T00:00:59.000,327.62324996713784
Venus,1502006.5006828704,-600-04-03T00:00:59.000,328.33584853424077
Venus,1502007.5006828704,-600-04-04T00:00:59.000,329.0641739627313
Venus,1502008.5006828704,-600-04-05T00:00:59.000,329.8076161497979
Venus,1502009.5006828704,-600-04-06T00:00:59.000,330.5655906769615
Venus,1502010.5006828704,-600-04-07T00:00:59.000,331.3375379432964
Venus,1502011.5006828704,-600-04-08T00:00:59.000,332.1229222810995
Venus,1502012.5006828704,-600-04-09T00:00:59.000,332.92123106608756
Venus,1502013.5006828704,-600-04-10T00:00:59.000,333.7319738269626
Venus,1502014.5006828704,-600-04-11T00:00:59.000,334.5546813640765
Venus,1502015.5006828704,-600-04-12T00:00:59.000,335.38890487989534
Venus,1502016.5006828704,-600-04-13T00:00:59.000,336.23421512629295
Venus,1502017.5006828704,-600-04-14T00:00:59.000,337.09020157394855
Venus,1502018.5006828704,-600-04-15T00:00:59.000,337.9564716029171
Venus,1502019.5006828704,-600-04-16T00:00:59.000,338.8326497182972
Venus,1502020.5006828704,-600-04-17T00:00:59.000,339.71837679310113
Venus,1502021.5006828704,-600-04-18T00:00:59.000,340.61330933645314
Venus,1502022.5006828704,-600-04-19T00:00:59.000,341.5171187908566
Venus,1502023.5006828704,-600-04-20T00:00:59.000,342.4294908559805
Venus,1502024.5006828704,-600-04-21T00:00:59.000,343.35012483990636
Venus,1502025.5006828704,-600-04-22T00:00:59.000,344.2787330389219
Venus,1502026.5006828704,-600-04-23T00:00:59.000,345.2150401428363
Venus,1502027.5006828704,-600-04-24T00:00:59.000,346.15878266661787
Venus,1502028.5006828704,-600-04-25T00:00:59.000,347.10970840871755
Venus,1502029.5006828704,-600-04-26T00:00:59.000,348.0675759330288
Venus,1502030.5006828704,-600-04-27T00:00:59.000,349.03215407491524
Venus,1502031.5006828704,-600-04-28T00:00:59.000,350.00322147151365
Venus,1502032.5006828704,-600-04-29T00:00:59.000,350.98056611259494
Venus,1502033.5006828704,-600-04-30T00:00:59.000,351.96398491451214
Venus,1502034.5006828704,-600-05-01T00:00:59.000,352.9532833135094
Venus,1502035.5006828704,-600-05-02T00:00:59.000,353.9482748787316
Venus,1502036.5006828704,-600-05-03T00:00:59.000,354.94878094483397
Venus,1502037.5006828704,-600-05-04T00:00:59.000,355.9546302616018
Venus,1502038.5006828704,-600-05-05T00:00:59.000,356.9656586606871
Venus,1502039.5006828704,-600-05-06T00:00:59.000,357.98170873946856
Venus,1502040.5006828704,-600-05-07T00:00:59.000,359.0026295589875
Venus,1502041.5006828704,-600-05-08T00:00:59.000,0.028276358030780102
Venus,1502042.5006828704,-600-05-09T00:00:59.000,1.0585102802986626
Venus,1502043.5006828704,-600-05-10T00:00:59.000,2.0931981146102316
Venus,1502044.5006828704,-600-05-11T00:00:59.000,3.132212048851443
Venus,1502045.5006828704,-600-05-12T00:00:59.000,4.175429434820217
Venus,1502046.5006828704,-600-05-13T00:00:59.000,5.222732564610453
Venus,1502047.5006828704,-600-05-14T00:00:59.000,6.274008458395656
Venus,1502048.5006828704,-600-05-15T00:00:59.000,7.329148661266231
Venus,1502049.5006828704,-600-05-16T00:00:59.000,8.388049050973393
Venus,1502050.5006828704,-600-05-17T00:00:59.000,9.45060965408021
Venus,1502051.5006828704,-600-05-18T00:00:59.000,10.516734470411905
Venus,1502052.5006828704,-600-05-19T00:00:59.000,11.586331306885313
Venus,1502053.5006828704,-600-05-20T00:00:59.000,12.659311618291554
Venus,1502054.5006828704,-600-05-21T00:00:59.000,13.735590355062413
Venus,1502055.5006828704,-600-05-22T00:00:59.000,14.815085819336275
Venus,1502056.5006828704,-600-05-23T00:00:59.000,15.89771952599449
Venus,1502057.5006828704,-600-05-24T00:00:59.000,16.983416071582724
Venus,1502058.5006828704,-600-05-25T00:00:59.000,18.072103007766714
Venus,1502059.5006828704,-600-05-26T00:00:59.000,19.163710720859058
Venus,1502060.5006828704,-600-05-27T00:00:59.000,20.258172317158653
Venus,1502061.5006828704,-600-05-28T00:00:59.000,21.35542351280617
Venus,1502062.5006828704,-600-05-29T00:00:59.000,22.455402527887486
Venus,1502063.5006828704,-600-05-30T00:00:59.000,23.558049986409856
Venus,1502064.5006828704,-600-05-31T00:00:59.000,24.663308818927305
Venus,1502065.5006828704,-600-06-01T00:00:59.000,25.77112417082151
Venus,1502066.5006828704,-600-06-02T00:00:59.000,26.881443312987813
Venus,1502067.5006828704,-600-06-03T00:00:59.000,27.99421555663838
Venus,1502068.5006828704,-600-06-04T00:00:59.000,29.10939217231379
Venus,1502069.5006828704,-600-06-05T00:00:59.000,30.22692631085272
Venus,1502070.5006828704,-600-06-06T00:00:59.000,31.346772928028656
Venus,1502071.5006828704,-600-06-07T00:00:59.000,32.468888712589035
Venus,1502072.5006828704,-600-06-08T00:00:59.000,33.5932320161819
Venus,1502073.5006828704,-600-06-09T00:00:59.000,34.719762786540514
Venus,1502074.5006828704,-600-06-10T00:00:59.000,35.84844250294526
Venus,1502075.5006828704,-600-06-11T00:00:59.000,36.97923411368902
Venus,1502076.5006828704,-600-06-12T00:00:59.000,38.11210197690815
Venus,1502077.5006828704,-600-06-13T00:00:59.000,39.24701180216971
Venus,1502078.5006828704,-600-06-14T00:00:59.000,40.38393059467114
Venus,1502079.5006828704,-600-06-15T00:00:59.000,41.522826602188104
Venus,1502080.5006828704,-600-06-16T00:00:59.000,42.663669262053645
Venus,1502081.5006828704,-600-06-17T00:00:59.000,43.80642915175383
Venus,1502082.5006828704,-600-06-18T00:00:59.000,44.95107793998852
