gname,nid,nnid,tag,sname,hip,naks,enaks,daivata,raJ2000,decJ2000,lonJ2000,latJ2000,hr_daynum_kuru,hr_jd_kuru,hr_utc_kuru,hr_az_kuru,hr_alt_kuru
α Boo,N15-Swa,15,rep,Arcturus,HIP 69673,स्वाती,Svātī,Vāyu,213.92,19.18,204.23,30.73,294,2460239.54,2023-10-22 01:00:07.214,72.30,7.45
α2 Lib,N16-Vis,16,rep,Zubenelgenubi,HIP 72622,विशाखे,Viśākhā,Indrāgnī,222.72,-16.04,225.08,0.33,319,2460264.55,2023-11-16 01:18:31.022,113.20,7.77
α1 Lib,N16-Vis,16,other,Zubenelgenubi II,HIP 72603,विशाखे,Viśākhā,Indrāgnī,222.67,-16.00,225.02,0.36,319,2460264.55,2023-11-16 01:18:31.022,113.19,7.84
δ Sco,N17-Anu,17,rep,Dschubba,HIP 78401,अनूराधा,Anūrādhā,Mitra,240.08,-22.62,242.56,-1.99,337,2460282.56,2023-12-04 01:32:56.754,120.79,7.22
β1 Sco,N17-Anu,17,other,Acrab,HIP 78820,अनूराधा,Anūrādhā,Mitra,241.36,-19.81,243.18,1.01,337,2460282.56,2023-12-04 01:32:56.754,117.78,7.85
π Sco,N17-Anu,17,other,Fang,HIP 78265,अनूराधा,Anūrādhā,Mitra,239.71,-26.11,242.93,-5.48,339,2460284.57,2023-12-06 01:34:23.327,125.09,7.16
ω1 Sco,N17-Anu,17,other,Jabhat Acrabi I,HIP 78933,अनूराधा,Anūrādhā,Mitra,241.70,-20.67,243.66,0.22,337,2460282.56,2023-12-04 01:32:56.754,118.31,7.10
ε Sco,N18-Jye,18,rep,Larawag,HIP 82396,ज्येष्ठा,Jyeṣṭhā,Indra,252.54,-34.29,255.33,-11.74,357,2460302.57,2023-12-24 01:45:34.269,135.68,7.12
α Sco,N18-Jye,18,other,Antares,HIP 80763,ज्येष्ठा,Jyeṣṭhā,Indra,247.35,-26.43,249.75,-4.57,346,2460291.57,2023-12-13 01:39:26.333,125.62,7.35
σ Sco,N18-Jye,18,other,Alniyat,HIP 80112,ज्येष्ठा,Jyeṣṭhā,Indra,245.30,-25.59,247.79,-4.04,344,2460289.57,2023-12-11 01:37:59.760,124.79,7.65
κ Sco,N19-Mul,19,rep,Mula,HIP 86670,मूल,Mūla, Nirṛti,265.62,-39.03,266.46,-15.64,10,2459955.58,2023-01-11 01:49:53.988,142.45,7.27
ζ2 Sco,N19-Mul,19,other,zet2Sco,HIP 82729,मूल,Mūla, Nirṛti,253.65,-42.36,257.23,-19.64,3,2459948.58,2023-01-04 01:49:10.701,147.48,7.23
θ Sco,N19-Mul,19,other,Sargas,HIP 86228,मूल,Mūla, Nirṛti,264.33,-43.00,265.59,-19.64,15,2459960.58,2023-01-16 01:49:32.345,148.58,7.32
ι1 Sco,N19-Mul,19,other,Girtab,HIP 87073,मूल,Mūla, Nirṛti,266.90,-40.13,267.51,-16.71,13,2459958.58,2023-01-14 01:49:53.988,144.15,7.35
λ Sco,N19-Mul,19,other,Shaula,HIP 85927,मूल,Mūla, Nirṛti,263.40,-37.10,264.58,-13.79,5,2459950.58,2023-01-06 01:49:32.345,139.51,7.10
ν Sco,N19-Mul,19,other,Lesath,HIP 85696,मूल,Mūla, Nirṛti,262.69,-37.30,264.00,-14.01,5,2459950.58,2023-01-06 01:49:32.345,140.05,7.36
λ Sgr,N20-PAsh,20,rep,Kaus Borealis,HIP 90496,पूर्वाषाढा,P Aṣāḍhā,Ap,276.99,-25.42,276.31,-2.14,7,2459952.58,2023-01-08 01:49:53.988,124.13,7.17
γ Sgr,N20-PAsh,20,other,Alnasl,HIP 88635,पूर्वाषाढा,P Aṣāḍhā,Ap,271.45,-30.42,271.25,-6.99,6,2459951.58,2023-01-07 01:49:32.345,130.55,7.20
