local,jd,alt,az,raJ2000,decJ2000,lon,lat,year,month,daynum,daynum_utryn,daynum_dksyn
-2050-04-26T05:43:35.230,972427.5094355377,0.01527689784793729,75.52098502109091,88.70095492667964,23.983638542793756,32.732068432209175,0.010543749270752582,-2050,4,116.0,128.0,307.0
-2050-04-27T05:42:30.301,972428.5086840347,0.009034577839799617,75.13765828742606,89.74062622001819,23.989545595444444,33.68203881313925,0.010468149846731016,-2050,4,117.0,129.0,308.0
-2050-04-28T05:41:25.371,972429.5079325318,-0.00026952673643931195,74.75613795563125,90.78025150283284,23.98843988031045,34.6319256353067,0.010384413664078643,-2050,4,118.0,130.0,309.0
-2050-04-29T05:40:20.441,972430.5071810287,-0.012703741562888697,74.37648090234681,91.81972095826683,23.980324949519055,35.58172573972088,0.010293955729765861,-2050,4,119.0,131.0,310.0
-2050-04-30T05:39:15.511,972431.5064295257,-0.028337044103670394,73.99874128266643,92.85892902488384,23.965207593160883,36.53144211610419,0.010198526245739132,-2050,4,120.0,132.0,311.0
-2050-05-01T05:38:32.224,972432.5059285237,0.028731889529435038,73.6661812077864,93.89803590061909,23.94309119653245,37.481324388079045,0.010100128036395248,-2050,5,121.0,133.0,312.0
-2050-05-02T05:37:27.295,972433.5051770207,0.006342254089756189,73.29243152815138,94.93642685337542,23.91399935440059,38.43091798702258,0.010001006859277404,-2050,5,122.0,134.0,313.0
-2050-05-03T05:36:22.365,972434.5044255177,-0.019460619186213425,72.92073651530775,95.97427524428824,23.87794222604938,39.38049191756902,0.009903336934816282,-2050,5,123.0,135.0,314.0
-2050-05-04T05:35:39.078,972435.5039245157,0.026789778055502665,72.59434641087023,97.01176021847417,23.83492490830493,40.3303213700332,0.009809090894804365,-2050,5,124.0,136.0,315.0
-2050-05-05T05:34:34.148,972436.5031730126,-0.006209030391239728,72.22688081009136,98.04828588470322,23.784987305211413,41.27996863330943,0.009719901268905977,-2050,5,125.0,137.0,316.0
-2050-05-06T05:33:50.862,972437.5026720107,0.032407442394812566,71.90478928870893,99.08429891614301,23.728124132040833,42.22994469609094,0.009636735080387487,-2050,5,126.0,138.0,317.0
-2050-05-07T05:32:45.932,972438.5019205076,-0.008080519429122827,71.54170165640285,100.11920753593435,23.664385042496196,43.17980189004471,0.009559991132518155,-2050,5,127.0,139.0,318.0
-2050-05-08T05:32:02.645,972439.5014195057,0.02260586096563766,71.2240759526353,101.1534566961679,23.59376080796218,44.13003842397318,0.009489349565525712,-2050,5,128.0,140.0,319.0
-2050-05-09T05:30:57.715,972440.5006680026,-0.025652670310098793,70.86554475163534,102.186451466682,23.51631138775932,45.08019488427351,0.009424022953561158,-2050,5,129.0,141.0,320.0
-2050-05-10T05:30:14.429,972441.5001670007,-0.003172978944729954,70.55258996863628,103.21863033501376,23.432024642906306,46.03076136728549,0.00936275569364187,-2050,5,130.0,142.0,321.0
-2050-05-11T05:29:31.142,972442.4996659986,0.015036989157990678,70.24205457632671,104.24965222938629,23.340948202972857,46.98151163184586,0.009304088875422523,-2050,5,131.0,143.0,322.0
-2050-05-12T05:28:47.856,972443.4991649967,0.028919681808050365,69.93400329288349,105.27943335205529,23.243113687383538,47.932456598974724,0.009246417141201503,-2050,5,132.0,144.0,323.0
-2050-05-13T05:27:42.926,972444.4984134936,-0.03577878508851994,69.58528901803852,106.30763128507836,23.138582418214195,48.883368041633496,0.00918811030349652,-2050,5,133.0,145.0,324.0
-2050-05-14T05:26:59.639,972445.4979124917,-0.030556873334829215,69.28241146118583,107.33467638286912,23.02733897596811,49.834732186142844,0.009127516641382234,-2050,5,134.0,146.0,325.0
-2050-05-15T05:26:16.353,972446.4974114896,-0.029806967738156432,68.98222310577606,108.3602257315842,22.90944848098141,50.78631932383888,0.009063095959553092,-2050,5,135.0,147.0,326.0
-2050-05-16T05:25:33.066,972447.4969104877,-0.03356917772578352,68.68479604422053,109.38419492877475,22.784953479774433,51.738137122850766,0.008993401530634503,-2050,5,136.0,148.0,327.0
-2050-05-17T05:25:11.423,972448.4966599867,0.0317255593170793,68.43342381179977,110.40675641452269,22.653865677223877,52.69043063482716,0.00891711215020959,-2050,5,137.0,149.0,328.0
-2050-05-18T05:24:28.136,972449.4961589846,0.01868506624766159,68.1417477713869,111.4273152031208,22.516298997997946,53.64272738329263,0.008833146259129503,-2050,5,138.0,150.0,329.0
-2050-05-19T05:23:44.850,972450.4956579827,0.001036904220818236,67.8530587885468,112.44604638932384,22.372272519304747,54.595268465487145,0.008740582721762175,-2050,5,139.0,151.0,330.0
-2050-05-20T05:23:01.563,972451.4951569806,-0.021242082108664174,67.56743349829406,113.46287008399261,22.22184023427873,55.54805353991069,0.008638771235267366,-2050,5,140.0,152.0,331.0
-2050-05-21T05:22:39.920,972452.4949064796,0.024853826414988033,67.32817650030933,114.47796229339322,22.065018926740244,56.50131773216421,0.008527322964229948,-2050,5,141.0,153.0,332.0
-2050-05-22T05:21:56.633,972453.4944054777,-0.006891425903289885,67.0489307579267,115.49073852691461,21.901946889335328,57.45457591799013,0.008406262358718308,-2050,5,142.0,154.0,333.0
-2050-05-23T05:21:34.990,972454.4941549766,0.029432183402287912,66.81621398412497,116.50163353998956,21.732604833999357,58.40829519129232,0.008275856660547446,-2050,5,143.0,155.0,334.0
-2050-05-24T05:20:51.703,972455.4936539746,-0.011829022862569968,66.54367803502376,117.510071519594,21.557142623746174,59.36198472393148,0.008136874453825202,-2050,5,144.0,156.0,335.0
-2050-05-25T05:20:30.060,972456.4934034736,0.014684071585262207,66.31784507629379,118.51649317733947,21.375539677967172,60.316109437936994,0.00799032120045271,-2050,5,145.0,157.0,336.0
-2050-05-26T05:19:46.774,972457.4929024716,-0.03612575626953746,66.05235239733484,119.52033477664483,21.18795640994511,61.27018035485355,0.007837691082329434,-2050,5,146.0,158.0,337.0
-2050-05-27T05:19:25.130,972458.4926519706,-0.019449046065928274,65.83374491560818,120.52204635300912,20.99436993483284,62.22466973485459,0.007680627986415134,-2050,5,147.0,159.0,338.0
-2050-05-28T05:19:03.487,972459.4924014696,-0.007760426998177781,65.61887042030837,121.5213300210908,20.794898981330586,63.17933956256095,0.007521120004148537,-2050,5,148.0,160.0,339.0
-2050-05-29T05:18:41.844,972460.4921509686,-0.001064112068494095,65.40780877414399,122.51814774237414,20.589616881867837,64.13419923139713,0.007361251368956818,-2050,5,149.0,161.0,340.0
-2050-05-30T05:18:20.200,972461.4919004675,0.0006357380203783007,65.2006351208732,123.51247008251053,20.378597362289486,65.0892664273252,0.007203113253121405,-2050,5,150.0,162.0,341.0
-2050-05-31T05:17:58.557,972462.4916499666,-0.00266510946386895,64.99741967130967,124.50427652478628,20.161914090769443,66.04456564506663,0.007048648931849375,-2050,5,151.0,163.0,342.0
-2050-06-01T05:17:36.914,972463.4913994656,-0.01097105709480797,64.79822828381133,125.49355527368914,19.939640318115938,67.00012546503413,0.006899485431517165,-2050,6,152.0,164.0,343.0
-2050-06-02T05:17:15.271,972464.4911489646,-0.024286694221629164,64.60312385092534,126.48030240347762,19.711848693139714,67.95597530606425,0.006756778325945686,-2050,6,153.0,165.0,344.0
-2050-06-03T05:17:15.271,972465.4911489646,0.028770037294657182,64.45540506054324,127.46476666912645,19.47855219091985,68.91238232504317,0.006621068298124646,-2050,6,154.0,166.0,345.0
-2050-06-04T05:16:53.627,972466.4908984636,0.0053087624099446605,64.2686758865784,128.44646180884342,19.23993951930332,69.8688916229971,0.0064923750253748636,-2050,6,155.0,167.0,346.0
-2050-06-05T05:16:31.984,972467.4906479625,-0.023171808290142266,64.08622600007686,129.42564427114124,18.99602487965503,70.82576376372191,0.00637003140177321,-2050,6,156.0,168.0,347.0
-2050-06-06T05:16:31.984,972468.4906479625,0.014407879632746931,63.95137159842774,130.40256897266724,18.74681779480239,71.7832573176044,0.006252896655587048,-2050,6,157.0,169.0,348.0
-2050-06-07T05:16:10.341,972469.4903974616,-0.024214874618105897,63.77770978191787,131.37675697981754,18.49251678975387,72.74090984475123,0.006139579060093039,-2050,6,158.0,170.0,349.0
-2050-06-08T05:16:10.341,972470.4903974616,0.0030511320844441455,63.65179802378357,132.34870661754462,18.23306947810657,73.69921767070191,0.006028378883594218,-2050,6,159.0,171.0,350.0
