jd	date	yr	season	rtu	sun_lon	sun_naks	moon_lat	moon_lon	moon_naks	moon_phase	moon_sun_diff	sun_न	moon_न
1582539.25	-380-09-28	-380	4	R4-śarat	185.57	N16-Vis/α1 Lib	-3.96	9.45	N02-Bha/* 35 Ari	1	176	N16-Vis	N02-Bha
1582552.75	-380-10-12	-380	4	R4-śarat	199.19	N16-Vis/α2 Lib	3.52	196.96	N16-Vis/α2 Lib	0	2	N16-Vis	N16-Vis
1582568.25	-380-10-27	-380	5	R5-hemanta	214.92	N18-Jye/σ Sco	-2.48	31.37	N04-Roh/γ Tau	1	176	N18-Jye	N04-Roh
1582582.75	-380-11-11	-380	5	R5-hemanta	229.70	N19-Mul/ν Sco	0.70	231.90	N19-Mul/λ Sco	0	2	N19-Mul	N19-Mul
1582598.25	-380-11-26	-380	5	R5-hemanta	245.53	N21-UAsh/φ Sgr	0.75	67.79	N06-Ard/γ Gem	1	177	N21-UAsh	N06-Ard
1582612.75	-380-12-11	-380	5	R5-hemanta	260.32	N22-Shr/α Aql	-2.29	265.32	N22-Shr/α Aql	0	4	N22-Shr	N22-Shr
1582627.25	-380-12-25	-380	6	R6-śiśira	275.08	N22-Shr/β Aql	2.73	90.60	N08-Pus/δ Cnc	1	175	N22-Shr	N08-Pus
1582641.75	-379-01-09	-379	6	R6-śiśira	289.77	N23-Dha/γ2 Del	-3.79	286.09	N23-Dha/δ Del	0	3	N23-Dha	N23-Dha
1582657.25	-379-01-24	-379	6	R6-śiśira	305.36	N24-Sha/λ Aqr	4.83	129.08	N11-PPal/δ Leo	1	176	N24-Sha	N11-PPal
1582671.75	-379-02-08	-379	6	R6-śiśira	319.83	N25-PBha/α Peg	-4.98	318.72	N25-PBha/α Peg	0	1	N25-PBha	N25-PBha
1582686.25	-379-02-22	-379	1	R1-vasanta	334.17	N26-UBha/γ Peg	4.97	152.54	N13-Has/γ Crv	1	178	N26-UBha	N13-Has
1582701.75	-379-03-10	-379	1	R1-vasanta	349.36	N27-Rev/ε Psc	-4.38	351.67	N27-Rev/ε Psc	0	2	N27-Rev	N27-Rev
1582715.25	-379-03-23	-379	1	R1-vasanta	2.48	N01-Ash/β Ari	4.19	175.98	N15-Swa/α Boo	1	173	N01-Ash	N15-Swa
1582730.75	-379-04-08	-379	1	R1-vasanta	17.44	N02-Bha/* 39 Ari	-3.14	12.89	N02-Bha/* 35 Ari	0	4	N02-Bha	N02-Bha
1582745.25	-379-04-22	-379	2	R2-grīṣma	31.34	N04-Roh/γ Tau	1.52	213.19	N18-Jye/σ Sco	1	178	N04-Roh	N18-Jye
1582760.75	-379-05-08	-379	2	R2-grīṣma	46.13	N05-Mrg/γ Ori	-0.23	47.55	N05-Mrg/γ Ori	0	1	N05-Mrg	N05-Mrg
1582774.25	-379-05-21	-379	2	R2-grīṣma	58.99	N05-Mrg/α Ori	-0.47	235.43	N19-Mul/ι1 Sco	1	176	N05-Mrg	N19-Mul
1582789.75	-379-06-06	-379	2	R2-grīṣma	73.74	N07-Pun/α Gem	1.76	69.90	N06-Ard/γ Gem	0	3	N07-Pun	N06-Ard
1582804.25	-379-06-20	-379	2	R2-grīṣma	87.56	N07-Pun/β Gem	-3.30	269.86	N22-Shr/β Aql	1	177	N07-Pun	N22-Shr
1582819.75	-379-07-06	-379	3	R3-varṣā	102.40	N09-Asl/ζ Hya	4.34	107.41	N10-Mag/ε Leo	0	5	N09-Asl	N10-Mag
1582833.25	-379-07-19	-379	3	R3-varṣā	115.39	N10-Mag/η Leo	-4.48	291.02	N23-Dha/γ2 Del	1	175	N10-Mag	N23-Dha
1582848.75	-379-08-04	-379	3	R3-varṣā	130.41	N11-PPal/θ Leo	5.01	130.97	N11-PPal/θ Leo	0	0	N11-PPal	N11-PPal
1582863.25	-379-08-18	-379	3	R3-varṣā	144.58	N12-UPal/β Leo	-4.96	323.89	N25-PBha/β Peg	1	179	N12-UPal	N25-PBha
1582877.75	-379-09-02	-379	4	R4-śarat	158.88	N13-Has/ε Crv	4.74	154.54	N13-Has/γ Crv	0	4	N13-Has	N13-Has
1582893.25	-379-09-17	-379	4	R4-śarat	174.30	N15-Swa/α Boo	-3.65	356.56	N27-Rev/ε Psc	1	177	N15-Swa	N27-Rev
1582907.75	-379-10-02	-379	4	R4-śarat	188.85	N16-Vis/α1 Lib	2.49	192.93	N16-Vis/α2 Lib	0	4	N16-Vis	N16-Vis
1582923.25	-379-10-17	-379	4	R4-śarat	204.52	N17-Anu/δ Sco	-1.02	29.73	N03-Kri/* 27 Tau	1	174	N17-Anu	N03-Kri
1582936.75	-379-10-31	-379	5	R5-hemanta	218.24	N18-Jye/α Sco	0.48	215.68	N18-Jye/σ Sco	0	2	N18-Jye	N18-Jye
1582952.25	-379-11-15	-379	5	R5-hemanta	234.04	N19-Mul/ι1 Sco	0.92	51.05	N05-Mrg/λ Ori	1	177	N19-Mul	N05-Mrg
1582966.75	-379-11-30	-379	5	R5-hemanta	248.85	N21-UAsh/σ Sgr	-2.68	251.78	N21-UAsh/τ Sgr	0	2	N21-UAsh	N21-UAsh
1582982.25	-379-12-15	-379	5	R5-hemanta	264.66	N22-Shr/α Aql	3.69	86.32	N07-Pun/β Gem	1	178	N22-Shr	N07-Pun
1582995.75	-379-12-29	-379	6	R6-śiśira	278.39	N23-Dha/β Del	-4.10	273.57	N22-Shr/β Aql	0	4	N23-Dha	N22-Shr
1583011.25	-378-01-13	-378	6	R6-śiśira	294.06	N23-Dha/γ2 Del	4.74	108.85	N10-Mag/μ Leo	1	174	N23-Dha	N10-Mag
1583025.75	-378-01-28	-378	6	R6-śiśira	308.62	N24-Sha/λ Aqr	-4.99	307.55	N24-Sha/λ Aqr	0	1	N24-Sha	N24-Sha
1583041.25	-378-02-12	-378	6	R6-śiśira	324.05	N25-PBha/β Peg	4.67	146.87	N12-UPal/β Leo	1	177	N25-PBha	N12-UPal
1583055.75	-378-02-27	-378	1	R1-vasanta	338.36	N26-UBha/γ Peg	-4.07	340.50	N26-UBha/α And	0	2	N26-UBha	N26-UBha
1583070.25	-378-03-13	-378	1	R1-vasanta	352.54	N27-Rev/ε Psc	3.46	170.34	N14-Chi/α Vir	1	177	N27-Rev	N14-Chi
1583084.75	-378-03-28	-378	1	R1-vasanta	6.60	N01-Ash/α Ari	-2.68	1.18	N01-Ash/β Ari	0	5	N01-Ash	N01-Ash
1583099.25	-378-04-11	-378	1	R1-vasanta	20.57	N02-Bha/* 39 Ari	1.61	193.85	N16-Vis/α2 Lib	1	173	N02-Bha	N16-Vis
1583114.75	-378-04-27	-378	2	R2-grīṣma	35.41	N04-Roh/ε Tau	0.21	33.80	N04-Roh/δ Tau	0	1	N04-Roh	N04-Roh
1583129.25	-378-05-11	-378	2	R2-grīṣma	49.24	N05-Mrg/γ Ori	-1.83	231.95	N19-Mul/λ Sco	1	177	N05-Mrg	N19-Mul
1583144.75	-378-05-27	-378	2	R2-grīṣma	63.99	N06-Ard/γ Gem	3.06	67.44	N06-Ard/γ Gem	0	3	N06-Ard	N06-Ard
1583158.25	-378-06-09	-378	2	R2-grīṣma	76.84	N07-Pun/α Gem	-3.55	254.79	N21-UAsh/τ Sgr	1	177	N07-Pun	N21-UAsh
1583173.75	-378-06-25	-378	3	R3-varṣā	91.63	N08-Pus/δ Cnc	4.34	89.37	N08-Pus/δ Cnc	0	2	N08-Pus	N08-Pus
1583188.25	-378-07-09	-378	3	R3-varṣā	105.52	N10-Mag/ε Leo	-4.94	290.57	N23-Dha/γ2 Del	1	174	N10-Mag	N23-Dha
1583203.75	-378-07-25	-378	3	R3-varṣā	120.47	N10-Mag/α Leo	4.94	125.88	N11-PPal/δ Leo	0	5	N10-Mag	N11-PPal
1583217.25	-378-08-07	-378	3	R3-varṣā	133.59	N12-UPal/* 93 Leo	-4.81	312.20	N24-Sha/λ Aqr	1	178	N12-UPal	N24-Sha
1583232.75	-378-08-23	-378	3	R3-varṣā	148.77	N13-Has/γ Crv	4.21	149.04	N13-Has/γ Crv	0	0	N13-Has	N13-Has
1583247.25	-378-09-06	-378	4	R4-śarat	163.10	N13-Has/β Crv	-3.19	345.52	N27-Rev/ε Psc	1	177	N13-Has	N27-Rev
1583261.75	-378-09-21	-378	4	R4-śarat	177.56	N15-Swa/α Boo	2.71	172.22	N15-Swa/α Boo	0	5	N15-Swa	N15-Swa
1583277.25	-378-10-06	-378	4	R4-śarat	193.14	N16-Vis/α2 Lib	-0.44	17.99	N02-Bha/* 39 Ari	1	175	N16-Vis	N02-Bha
1583291.75	-378-10-21	-378	4	R4-śarat	207.82	N17-Anu/δ Sco	-0.72	210.60	N17-Anu/ω1 Sco	0	2	N17-Anu	N17-Anu
1583306.25	-378-11-04	-378	5	R5-hemanta	222.57	N18-Jye/ε Sco	1.45	38.56	N04-Roh/α Tau	1	175	N18-Jye	N04-Roh
1583320.75	-378-11-19	-378	5	R5-hemanta	237.37	N20-PAsh/γ Sgr	-2.73	233.66	N19-Mul/κ Sco	0	3	N20-PAsh	N19-Mul
1583336.25	-378-12-04	-378	5	R5-hemanta	253.20	N21-UAsh/τ Sgr	3.92	71.53	N06-Ard/γ Gem	1	178	N21-UAsh	N06-Ard
1583350.75	-378-12-19	-378	5	R5-hemanta	267.98	N22-Shr/α Aql	-4.76	271.07	N22-Shr/β Aql	0	3	N22-Shr	N22-Shr
1583366.25	-377-01-03	-377	6	R6-śiśira	283.72	N23-Dha/β Del	4.97	105.87	N10-Mag/ε Leo	1	177	N23-Dha	N10-Mag
1583379.75	-377-01-17	-377	6	R6-śiśira	297.34	N23-Dha/γ2 Del	-4.95	293.51	N23-Dha/γ2 Del	0	3	N23-Dha	N23-Dha
1583395.25	-377-02-01	-377	6	R6-śiśira	312.87	N24-Sha/λ Aqr	4.65	127.96	N11-PPal/δ Leo	1	175	N24-Sha	N11-PPal
1583409.75	-377-02-16	-377	6	R6-śiśira	327.28	N25-PBha/β Peg	-3.67	328.54	N25-PBha/β Peg	0	1	N25-PBha	N25-PBha
1583425.25	-377-03-03	-377	1	R1-vasanta	342.53	N26-UBha/α And	2.52	164.86	N13-Has/β Crv	1	177	N26-UBha	N13-Has
1583438.75	-377-03-17	-377	1	R1-vasanta	355.71	N27-Rev/ε Psc	-2.13	349.84	N27-Rev/ε Psc	0	5	N27-Rev	N27-Rev
1583454.25	-377-04-01	-377	1	R1-vasanta	10.71	N02-Bha/* 35 Ari	0.50	188.01	N16-Vis/α1 Lib	1	177	N02-Bha	N16-Vis
1583468.75	-377-04-16	-377	1	R1-vasanta	24.65	N03-Kri/* 17 Tau	0.83	22.67	N03-Kri/* 17 Tau	0	1	N03-Kri	N03-Kri
1583484.25	-377-05-01	-377	2	R2-grīṣma	39.48	N04-Roh/α Tau	-2.90	226.63	N19-Mul/ζ2 Sco	1	172	N04-Roh	N19-Mul
1583498.75	-377-05-16	-377	2	R2-grīṣma	53.29	N05-Mrg/α Ori	3.49	55.15	N05-Mrg/α Ori	0	1	N05-Mrg	N05-Mrg
1583513.25	-377-05-30	-377	2	R2-grīṣma	67.09	N06-Ard/γ Gem	-4.35	250.19	N21-UAsh/ζ Sgr	1	176	N06-Ard	N21-UAsh
1583527.75	-377-06-14	-377	2	R2-grīṣma	80.90	N07-Pun/β Gem	4.57	76.02	N07-Pun/α Gem	0	4	N07-Pun	N07-Pun
1583542.25	-377-06-28	-377	3	R3-varṣā	94.75	N08-Pus/δ Cnc	-4.98	273.60	N22-Shr/β Aql	1	178	N08-Pus	N22-Shr
1583557.75	-377-07-14	-377	3	R3-varṣā	109.62	N10-Mag/μ Leo	4.88	109.76	N10-Mag/μ Leo	0	0	N10-Mag	N10-Mag
1583571.25	-377-07-27	-377	3	R3-varṣā	122.66	N11-PPal/δ Leo	-4.73	296.70	N23-Dha/γ2 Del	1	174	N11-PPal	N23-Dha
1583586.75	-377-08-12	-377	3	R3-varṣā	137.74	N12-UPal/β Leo	4.13	131.53	N11-PPal/θ Leo	0	6	N12-UPal	N11-PPal
1583601.25	-377-08-26	-377	4	R4-śarat	151.98	N13-Has/γ Crv	-2.77	332.61	N26-UBha/γ Peg	1	179	N13-Has	N26-UBha
1583616.75	-377-09-11	-377	4	R4-śarat	167.33	N13-Has/β Crv	1.57	167.46	N13-Has/β Crv	0	0	N13-Has	N13-Has
1583631.25	-377-09-25	-377	4	R4-śarat	181.83	N16-Vis/α1 Lib	0.17	6.61	N01-Ash/α Ari	1	175	N16-Vis	N01-Ash
1583645.75	-377-10-10	-377	4	R4-śarat	196.43	N16-Vis/α2 Lib	-0.49	190.08	N16-Vis/α1 Lib	0	6	N16-Vis	N16-Vis
1583660.25	-377-10-24	-377	5	R5-hemanta	211.13	N17-Anu/ω1 Sco	2.04	27.47	N03-Kri/* 27 Tau	1	176	N17-Anu	N03-Kri
1583675.75	-377-11-09	-377	5	R5-hemanta	226.91	N19-Mul/ζ2 Sco	-3.62	228.08	N19-Mul/ν Sco	0	1	N19-Mul	N19-Mul
1583690.25	-377-11-23	-377	5	R5-hemanta	241.72	N20-PAsh/δ Sgr	4.29	60.08	N05-Mrg/α Ori	1	178	N20-PAsh	N05-Mrg
1583704.75	-377-12-08	-377	5	R5-hemanta	256.52	N21-UAsh/τ Sgr	-4.75	251.37	N21-UAsh/τ Sgr	0	5	N21-UAsh	N21-UAsh
1583720.25	-377-12-23	-377	6	R6-śiśira	272.31	N22-Shr/β Aql	4.99	92.79	N08-Pus/δ Cnc	1	179	N22-Shr	N08-Pus
1583734.75	-376-01-07	-376	6	R6-śiśira	287.01	N23-Dha/γ2 Del	-4.67	289.73	N23-Dha/γ2 Del	0	2	N23-Dha	N23-Dha
1583750.25	-376-01-22	-376	6	R6-śiśira	302.62	N24-Sha/λ Aqr	3.89	126.23	N11-PPal/δ Leo	1	176	N24-Sha	N11-PPal
1583763.75	-376-02-05	-376	6	R6-śiśira	316.12	N25-PBha/α Peg	-3.50	312.62	N24-Sha/λ Aqr	0	3	N25-PBha	N24-Sha
1583779.25	-376-02-20	-376	1	R1-vasanta	331.48	N26-UBha/γ Peg	2.39	147.74	N12-UPal/β Leo	1	176	N26-UBha	N12-UPal
1583793.75	-376-03-06	-376	1	R1-vasanta	345.72	N27-Rev/ε Psc	-0.58	348.69	N27-Rev/ε Psc	0	2	N27-Rev	N27-Rev
1583809.25	-376-03-21	-376	1	R1-vasanta	0.81	N01-Ash/β Ari	-0.76	183.29	N16-Vis/α1 Lib	1	177	N01-Ash	N16-Vis
1583822.75	-376-04-04	-376	1	R1-vasanta	13.85	N02-Bha/* 35 Ari	1.37	10.42	N02-Bha/* 35 Ari	0	3	N02-Bha	N02-Bha
1583838.25	-376-04-19	-376	1	R1-vasanta	28.73	N03-Kri/* 27 Tau	-2.70	206.05	N17-Anu/δ Sco	1	177	N03-Kri	N17-Anu
1583852.75	-376-05-04	-376	2	R2-grīṣma	42.58	N05-Mrg/γ Ori	3.91	44.08	N05-Mrg/γ Ori	0	1	N05-Mrg	N05-Mrg
1583868.25	-376-05-19	-376	2	R2-grīṣma	57.34	N05-Mrg/α Ori	-4.81	244.39	N20-PAsh/λ Sgr	1	172	N05-Mrg	N20-PAsh
1583881.75	-376-06-02	-376	2	R2-grīṣma	70.19	N06-Ard/γ Gem	4.80	65.03	N06-Ard/γ Gem	0	5	N06-Ard	N06-Ard
1583897.25	-376-06-17	-376	2	R2-grīṣma	84.96	N07-Pun/β Gem	-4.98	268.18	N22-Shr/γ Aql	1	176	N07-Pun	N22-Shr
1583911.75	-376-07-02	-376	3	R3-varṣā	98.82	N09-Asl/σ Hya	4.76	97.74	N09-Asl/δ Hya	0	1	N09-Asl	N09-Asl
1583926.25	-376-07-16	-376	3	R3-varṣā	112.76	N10-Mag/ζ Leo	-4.23	291.83	N23-Dha/γ2 Del	1	179	N10-Mag	N23-Dha
1583941.75	-376-08-01	-376	3	R3-varṣā	127.76	N11-PPal/δ Leo	3.01	130.69	N11-PPal/θ Leo	0	2	N11-PPal	N11-PPal
1583955.25	-376-08-14	-376	3	R3-varṣā	140.93	N12-UPal/β Leo	-2.71	315.15	N25-PBha/α Peg	1	174	N12-UPal	N25-PBha
1583970.75	-376-08-30	-376	4	R4-śarat	156.18	N13-Has/γ Crv	1.28	151.86	N13-Has/γ Crv	0	4	N13-Has	N13-Has
1583985.25	-376-09-13	-376	4	R4-śarat	170.58	N14-Chi/α Vir	0.54	352.05	N27-Rev/ε Psc	1	178	N14-Chi	N27-Rev
1584000.75	-376-09-29	-376	4	R4-śarat	186.10	N16-Vis/α1 Lib	-1.82	186.47	N16-Vis/α1 Lib	0	0	N16-Vis	N16-Vis
1584014.25	-376-10-12	-376	4	R4-śarat	199.73	N16-Vis/α2 Lib	2.45	14.10	N02-Bha/* 35 Ari	1	174	N16-Vis	N02-Bha
1584029.75	-376-10-28	-376	5	R5-hemanta	215.46	N18-Jye/σ Sco	-3.51	208.61	N17-Anu/δ Sco	0	6	N18-Jye	N17-Anu
1584044.25	-376-11-11	-376	5	R5-hemanta	230.24	N19-Mul/ν Sco	4.54	48.51	N05-Mrg/γ Ori	1	178	N19-Mul	N05-Mrg
1584059.75	-376-11-27	-376	5	R5-hemanta	246.07	N21-UAsh/φ Sgr	-4.99	245.91	N21-UAsh/φ Sgr	0	0	N21-UAsh	N21-UAsh
1584074.25	-376-12-11	-376	5	R5-hemanta	260.86	N22-Shr/α Aql	4.92	81.77	N07-Pun/β Gem	1	179	N22-Shr	N07-Pun
1584088.75	-376-12-26	-376	6	R6-śiśira	275.62	N22-Shr/β Aql	-4.77	269.10	N22-Shr/β Aql	0	6	N22-Shr	N22-Shr
1584104.25	-375-01-10	-375	6	R6-śiśira	291.31	N23-Dha/γ2 Del	3.52	114.40	N10-Mag/ζ Leo	1	176	N23-Dha	N10-Mag
1584118.75	-375-01-25	-375	6	R6-śiśira	305.89	N24-Sha/λ Aqr	-2.54	307.67	N24-Sha/λ Aqr	0	1	N24-Sha	N24-Sha
1584134.25	-375-02-09	-375	6	R6-śiśira	321.35	N25-PBha/α Peg	0.86	147.05	N12-UPal/β Leo	1	174	N25-PBha	N12-UPal
1584147.75	-375-02-23	-375	1	R1-vasanta	334.69	N26-UBha/γ Peg	-0.50	330.84	N25-PBha/β Peg	0	3	N26-UBha	N25-PBha
1584163.25	-375-03-10	-375	1	R1-vasanta	349.88	N27-Rev/ε Psc	-1.07	168.07	N14-Chi/α Vir	1	178	N27-Rev	N14-Chi
1584177.75	-375-03-25	-375	1	R1-vasanta	3.97	N01-Ash/α Ari	2.75	8.07	N01-Ash/α Ari	0	4	N01-Ash	N01-Ash
1584193.25	-375-04-09	-375	1	R1-vasanta	18.91	N02-Bha/* 39 Ari	-3.73	202.54	N17-Anu/δ Sco	1	176	N02-Bha	N17-Anu
1584206.75	-375-04-23	-375	2	R2-grīṣma	31.85	N04-Roh/γ Tau	4.16	30.46	N04-Roh/γ Tau	0	1	N04-Roh	N04-Roh
1584222.25	-375-05-08	-375	2	R2-grīṣma	46.64	N05-Mrg/γ Ori	-4.74	224.94	N19-Mul/ζ2 Sco	1	178	N05-Mrg	N19-Mul
1584236.75	-375-05-23	-375	2	R2-grīṣma	60.45	N05-Mrg/α Ori	4.98	65.33	N06-Ard/γ Gem	0	4	N05-Mrg	N06-Ard
1584251.25	-375-06-06	-375	2	R2-grīṣma	74.25	N07-Pun/α Gem	-4.98	247.80	N21-UAsh/φ Sgr	1	173	N07-Pun	N21-UAsh
1584265.75	-375-06-21	-375	2	R2-grīṣma	88.07	N07-Pun/β Gem	4.52	86.62	N07-Pun/β Gem	0	1	N07-Pun	N07-Pun
1584281.25	-375-07-06	-375	3	R3-varṣā	102.91	N09-Asl/ζ Hya	-3.51	286.03	N23-Dha/δ Del	1	176	N09-Asl	N23-Dha
1584295.75	-375-07-21	-375	3	R3-varṣā	116.87	N10-Mag/α Leo	2.51	119.44	N10-Mag/α Leo	0	2	N10-Mag	N10-Mag
1584310.25	-375-08-04	-375	3	R3-varṣā	130.93	N11-PPal/θ Leo	-1.68	309.51	N24-Sha/λ Aqr	1	178	N11-PPal	N24-Sha
1584324.75	-375-08-19	-375	3	R3-varṣā	145.11	N12-UPal/β Leo	0.71	140.04	N12-UPal/β Leo	0	5	N12-UPal	N12-UPal
1584339.25	-375-09-02	-375	4	R4-śarat	159.41	N13-Has/α Crv	0.47	332.86	N26-UBha/γ Peg	1	173	N13-Has	N26-UBha
1584354.75	-375-09-18	-375	4	R4-śarat	174.83	N15-Swa/α Boo	-2.24	172.66	N15-Swa/α Boo	0	2	N15-Swa	N15-Swa
1584369.25	-375-10-02	-375	4	R4-śarat	189.38	N16-Vis/α1 Lib	3.57	10.75	N02-Bha/* 35 Ari	1	178	N16-Vis	N02-Bha
1584384.75	-375-10-18	-375	4	R4-śarat	205.05	N17-Anu/δ Sco	-4.40	206.37	N17-Anu/δ Sco	0	1	N17-Anu	N17-Anu
1584398.25	-375-10-31	-375	5	R5-hemanta	218.77	N18-Jye/α Sco	4.67	33.42	N04-Roh/δ Tau	1	174	N18-Jye	N04-Roh
1584413.75	-375-11-16	-375	5	R5-hemanta	234.58	N19-Mul/ι1 Sco	-4.96	228.12	N19-Mul/ν Sco	0	6	N19-Mul	N19-Mul
1584428.25	-375-11-30	-375	5	R5-hemanta	249.39	N21-UAsh/σ Sgr	4.76	69.12	N06-Ard/γ Gem	1	179	N21-UAsh	N06-Ard
1584443.75	-375-12-16	-375	5	R5-hemanta	265.20	N22-Shr/α Aql	-4.20	264.31	N22-Shr/α Aql	0	0	N22-Shr	N22-Shr
1584458.25	-375-12-30	-375	6	R6-śiśira	279.94	N23-Dha/β Del	3.04	103.12	N09-Asl/ζ Hya	1	176	N23-Dha	N09-Asl
1584473.75	-374-01-15	-374	6	R6-śiśira	295.60	N23-Dha/γ2 Del	-1.50	301.95	N24-Sha/λ Aqr	0	6	N23-Dha	N24-Sha
1584488.25	-374-01-29	-374	6	R6-śiśira	310.15	N24-Sha/λ Aqr	0.24	135.89	N12-UPal/* 93 Leo	1	174	N24-Sha	N12-UPal
1584502.75	-374-02-13	-374	6	R6-śiśira	324.58	N25-PBha/β Peg	0.65	325.17	N25-PBha/β Peg	0	0	N25-PBha	N25-PBha
1584517.25	-374-02-27	-374	1	R1-vasanta	338.88	N26-UBha/γ Peg	-1.65	156.46	N13-Has/γ Crv	1	177	N26-UBha	N13-Has
1584531.75	-374-03-14	-374	1	R1-vasanta	353.06	N27-Rev/ε Psc	2.68	348.55	N27-Rev/ε Psc	0	4	N27-Rev	N27-Rev
