year	event	date	sun_lon	obj_lon	sun_lon_dms	obj_lon_dms	obj_rise_set	sun_rise_set	delta_rise_set	age	mag	sun_alt	obj_lat	az_diff	lon_diff	sun_sz	obj_az
-494	morning_last_visibility	-494-04-18	21.22	6.12	21° 13'	6° 07'	5:33	5:57	-0:24h	-55d 17h	-3.3	-6° 04'	-1° 23'	13° 00'	-15° 06'	256° 40'	269° 39'
-494	evening_first_visibility	-494-07-16	106.75	116.18	106° 45'	116° 11'	19:50	19:22	0:27h	33d 21h	-3.4	-6° 09'	1° 23'	-5° 28'	9° 27'	120° 41'	115° 13'
-493	evening_last_visibility	-493-03-28	1.28	8.07	1° 17'	8° 04'	18:57	18:33	0:23h	-4d 11h	-3.3	-5° 47'	6° 55'	6° 07'	6° 47'	93° 57'	100° 04'
-493	morning_first_visibility	-493-04-05	8.48	3.40	8° 29'	3° 24'	5:50	6:14	-0:23h	3d 00h	-3.1	-5° 57'	5° 50'	0° 41'	-5° 05'	262° 35'	263° 16'
-493	morning_last_visibility	-493-12-16	258.90	250.32	258° 54'	250° 19'	6:47	7:14	-0:26h	-36d 00h	-3.4	-6° 00'	-0° 06'	3° 45'	-8° 34'	293° 28'	297° 13'
-492	evening_first_visibility	-492-02-22	327.78	335.87	327° 47'	335° 52'	18:38	18:14	0:24h	32d 12h	-3.4	-6° 01'	-1° 20'	-2° 34'	8° 05'	79° 09'	76° 34'
-492	evening_last_visibility	-492-10-23	205.10	223.50	205° 06'	223° 30'	18:14	17:51	0:23h	-12d 05h	-3.9	-5° 52'	-5° 05'	-17° 30'	18° 25'	82° 00'	64° 30'
-492	morning_first_visibility	-492-11-10	222.90	214.12	222° 54'	214° 07'	6:15	6:43	-0:27h	5d 07h	-3.4	-6° 41'	-1° 19'	3° 02'	-8° 47'	284° 33'	287° 35'
-491	morning_last_visibility	-491-07-19	109.30	100.78	109° 18'	100° 47'	4:55	5:24	-0:28h	-31d 13h	-3.4	-6° 12'	0° 48'	3° 15'	-8° 31'	239° 43'	242° 58'
-491	evening_first_visibility	-491-10-06	187.67	200.12	187° 40'	200° 07'	18:34	18:10	0:24h	48d 01h	-3.4	-6° 04'	0° 26'	-9° 42'	12° 27'	89° 56'	80° 14'
-490	evening_last_visibility	-490-06-04	66.63	75.50	66° 38'	75° 30'	19:37	19:11	0:25h	-5d 21h	-3.2	-5° 48'	-1° 15'	-4° 57'	8° 52'	119° 12'	114° 15'
-490	morning_first_visibility	-490-06-20	81.28	66.60	81° 17'	66° 36'	4:43	5:14	-0:31h	9d 12h	-3.5	-6° 38'	-4° 24'	12° 53'	-14° 41'	237° 59'	250° 53'
-489	morning_last_visibility	-489-02-13	318.67	305.95	318° 40'	305° 57'	6:48	7:13	-0:24h	-49d 17h	-3.3	-6° 00'	-1° 11'	10° 12'	-12° 43'	284° 22'	294° 34'
-489	evening_first_visibility	-489-05-03	35.92	44.00	35° 55'	44° 00'	19:18	18:52	0:26h	29d 20h	-3.4	-6° 13'	0° 01'	-1° 50'	8° 05'	109° 43'	107° 52'
-488	evening_last_visibility	-488-01-15	289.85	294.97	289° 51'	294° 58'	18:09	17:45	0:23h	-3d 08h	-3.3	-5° 37'	7° 04'	4° 41'	5° 07'	67° 29'	72° 11'
-488	morning_first_visibility	-488-01-21	295.43	291.53	295° 26'	291° 32'	6:57	7:25	-0:27h	2d 05h	-3.3	-6° 18'	7° 47'	-3° 24'	-3° 53'	291° 02'	287° 38'
-488	morning_last_visibility	-488-09-30	181.38	173.55	181° 23'	173° 33'	5:48	6:12	-0:24h	-31d 17h	-3.4	-6° 09'	1° 22'	-0° 29'	-7° 50'	267° 05'	266° 35'
-488	evening_first_visibility	-488-12-14	258.13	268.55	258° 08'	268° 33'	17:55	17:27	0:27h	43d 19h	-3.4	-6° 13'	-1° 06'	-6° 53'	10° 25'	66° 44'	59° 51'
-487	evening_last_visibility	-487-08-06	127.35	147.40	127° 21'	147° 24'	19:39	19:14	0:25h	-13d 19h	-3.9	-5° 55'	-7° 14'	-19° 53'	20° 03'	115° 34'	95° 40'
-487	morning_first_visibility	-487-08-27	147.32	136.65	147° 19'	136° 39'	5:21	5:50	-0:28h	6d 15h	-3.5	-6° 46'	-8° 33'	10° 39'	-10° 40'	251° 15'	261° 54'
-486	morning_last_visibility	-486-04-15	18.40	3.12	18° 24'	3° 07'	5:36	6:01	-0:24h	-56d 12h	-3.3	-6° 08'	-1° 25'	13° 11'	-15° 17'	257° 54'	271° 05'
-486	evening_first_visibility	-486-07-13	103.93	113.17	103° 56'	113° 10'	19:50	19:23	0:27h	33d 02h	-3.4	-6° 05'	1° 21'	-5° 12'	9° 14'	121° 02'	115° 50'
-485	evening_last_visibility	-485-03-26	359.42	5.72	359° 25'	5° 43'	18:53	18:32	0:20h	-4d 04h	-3.2	-5° 18'	7° 04'	6° 20'	6° 18'	92° 47'	99° 07'
-485	morning_first_visibility	-485-04-03	6.62	1.03	6° 37'	1° 02'	5:51	6:16	-0:25h	3d 07h	-3.1	-6° 23'	6° 01'	0° 59'	-5° 35'	263° 11'	264° 11'
-485	morning_last_visibility	-485-12-13	255.90	247.23	255° 54'	247° 14'	6:44	7:12	-0:27h	-36d 11h	-3.4	-6° 13'	-0° 01'	3° 31'	-8° 40'	293° 00'	296° 31'
-484	evening_first_visibility	-484-02-20	325.88	334.07	325° 53'	334° 04'	18:38	18:12	0:25h	33d 01h	-3.4	-6° 07'	-1° 21'	-2° 40'	8° 11'	78° 26'	75° 46'
-484	evening_last_visibility	-484-10-20	202.12	221.18	202° 07'	221° 11'	18:17	17:54	0:23h	-12d 17h	-3.9	-5° 50'	-5° 27'	-18° 19'	19° 04'	83° 17'	64° 58'
-484	morning_first_visibility	-484-11-07	219.92	211.92	219° 55'	211° 55'	6:17	6:41	-0:23h	4d 19h	-3.3	-5° 50'	-1° 50'	3° 19'	-8° 00'	283° 56'	287° 15'
-483	morning_last_visibility	-483-07-17	107.45	99.00	107° 27'	99° 00'	4:55	5:22	-0:27h	-31d 05h	-3.4	-6° 04'	0° 46'	3° 21'	-8° 27'	239° 29'	242° 51'
-483	evening_first_visibility	-483-10-03	184.72	197.03	184° 43'	197° 02'	18:37	18:13	0:24h	47d 08h	-3.4	-6° 01'	0° 31'	-9° 35'	12° 19'	91° 17'	81° 42'
-482	evening_last_visibility	-482-06-02	64.80	73.17	64° 48'	73° 10'	19:34	19:10	0:24h	-5d 14h	-3.1	-5° 33'	-1° 00'	-4° 24'	8° 23'	118° 37'	114° 13'
-482	morning_first_visibility	-482-06-17	78.50	64.77	78° 30'	64° 46'	4:46	5:14	-0:27h	8d 19h	-3.5	-6° 00'	-4° 02'	12° 04'	-13° 43'	238° 45'	250° 49'
-481	morning_last_visibility	-481-02-11	316.73	304.13	316° 44'	304° 08'	6:49	7:14	-0:25h	-49d 09h	-3.3	-6° 02'	-1° 10'	10° 02'	-12° 36'	285° 02'	295° 04'
-481	evening_first_visibility	-481-04-30	33.12	41.00	33° 07'	41° 00'	19:16	18:51	0:25h	29d 04h	-3.4	-6° 01'	-0° 04'	-1° 45'	7° 53'	108° 26'	106° 42'
-480	evening_last_visibility	-480-01-12	286.88	292.93	286° 53'	292° 56'	18:11	17:42	0:28h	-3d 22h	-3.3	-6° 25'	6° 45'	3° 55'	6° 04'	67° 29'	71° 24'
-480	morning_first_visibility	-480-01-19	293.47	288.90	293° 28'	288° 54'	6:56	7:25	-0:29h	2d 15h	-3.3	-6° 41'	7° 40'	-3° 00'	-4° 34'	291° 13'	288° 13'
-480	morning_last_visibility	-480-09-28	179.43	171.72	179° 26'	171° 43'	5:47	6:11	-0:23h	-31d 04h	-3.4	-6° 03'	1° 23'	-0° 30'	-7° 43'	266° 14'	265° 43'
-480	evening_first_visibility	-480-12-11	255.13	265.47	255° 08'	265° 28'	17:53	17:27	0:26h	43d 08h	-3.4	-6° 02'	-1° 02'	-6° 58'	10° 20'	66° 59'	60° 00'
-479	evening_last_visibility	-479-08-04	125.47	144.98	125° 28'	144° 59'	19:40	19:15	0:25h	-13d 09h	-3.8	-5° 48'	-7° 09'	-19° 22'	19° 31'	116° 04'	96° 42'
-479	morning_first_visibility	-479-08-24	144.42	134.67	144° 25'	134° 40'	5:24	5:48	-0:24h	6d 01h	-3.5	-5° 46'	-8° 37'	10° 35'	-9° 45'	250° 43'	261° 19'
-478	morning_last_visibility	-478-04-13	16.53	1.33	16° 32'	1° 20'	5:39	6:03	-0:24h	-56d 07h	-3.3	-6° 04'	-1° 26'	13° 08'	-15° 13'	258° 47'	271° 55'
-478	evening_first_visibility	-478-07-11	102.07	111.37	102° 04'	111° 22'	19:51	19:23	0:28h	33d 08h	-3.4	-6° 10'	1° 20'	-5° 10'	9° 18'	121° 20'	116° 10'
-477	evening_last_visibility	-477-03-23	356.55	3.93	356° 33'	3° 56'	18:57	18:31	0:25h	-4d 20h	-3.3	-6° 23'	7° 18'	6° 27'	7° 22'	92° 06'	98° 33'
-477	morning_first_visibility	-477-03-31	3.78	359.27	3° 47'	359° 16'	5:56	6:20	-0:23h	2d 15h	-3.1	-6° 03'	6° 21'	-0° 05'	-4° 31'	264° 43'	264° 37'
-477	morning_last_visibility	-477-12-11	253.90	245.38	253° 54'	245° 23'	6:43	7:10	-0:27h	-35d 22h	-3.4	-6° 10'	0° 01'	3° 19'	-8° 32'	292° 47'	296° 05'
-476	evening_first_visibility	-476-02-18	323.95	332.25	323° 57'	332° 15'	18:37	18:11	0:25h	33d 14h	-3.4	-6° 12'	-1° 22'	-2° 45'	8° 18'	77° 44'	74° 58'
-476	evening_last_visibility	-476-10-17	199.13	218.85	199° 08'	218° 51'	18:20	17:57	0:23h	-13d 05h	-3.9	-5° 49'	-5° 47'	-19° 05'	19° 43'	84° 35'	65° 30'
-476	morning_first_visibility	-476-11-05	217.92	209.15	217° 55'	209° 09'	6:12	6:39	-0:27h	5d 07h	-3.4	-6° 35'	-2° 06'	3° 37'	-8° 46'	282° 46'	286° 24'
-475	morning_last_visibility	-475-07-14	104.62	95.97	104° 37'	95° 58'	4:53	5:21	-0:28h	-31d 22h	-3.4	-6° 08'	0° 41'	3° 43'	-8° 39'	239° 01'	242° 44'
-475	evening_first_visibility	-475-10-01	182.77	195.20	182° 46'	195° 12'	18:40	18:15	0:24h	47d 16h	-3.4	-6° 06'	0° 34'	-9° 40'	12° 26'	92° 15'	82° 34'
-474	evening_last_visibility	-474-05-31	62.95	70.85	62° 57'	70° 51'	19:32	19:09	0:22h	-5d 06h	-3.1	-5° 17'	-0° 45'	-3° 51'	7° 54'	117° 59'	114° 08'
-474	morning_first_visibility	-474-06-15	76.63	62.47	76° 38'	62° 28'	4:45	5:14	-0:29h	9d 03h	-3.5	-6° 18'	-3° 48'	12° 20'	-14° 11'	238° 44'	251° 04'
-473	morning_last_visibility	-473-02-09	314.80	302.32	314° 48'	302° 19'	6:50	7:16	-0:25h	-49d 01h	-3.3	-6° 04'	-1° 08'	9° 52'	-12° 29'	285° 42'	295° 33'
-473	evening_first_visibility	-473-04-28	31.25	39.20	31° 15'	39° 12'	19:15	18:50	0:25h	29d 11h	-3.4	-6° 05'	-0° 06'	-1° 44'	7° 57'	107° 43'	105° 59'
-472	evening_last_visibility	-472-01-10	284.92	290.32	284° 55'	290° 19'	18:06	17:41	0:25h	-3d 12h	-3.3	-5° 51'	6° 36'	3° 53'	5° 24'	66° 53'	70° 46'
-472	morning_first_visibility	-472-01-16	290.50	286.87	290° 30'	286° 52'	7:00	7:25	-0:25h	2d 01h	-3.3	-5° 46'	7° 26'	-3° 30'	-3° 38'	292° 18'	288° 48'
-472	morning_last_visibility	-472-09-25	176.48	168.62	176° 29'	168° 37'	5:44	6:09	-0:24h	-31d 15h	-3.4	-6° 11'	1° 24'	-0° 29'	-7° 51'	264° 46'	264° 17'
-472	evening_first_visibility	-472-12-09	253.13	263.62	253° 08'	263° 37'	17:53	17:27	0:26h	43d 21h	-3.4	-6° 04'	-1° 00'	-7° 08'	10° 29'	67° 17'	60° 08'
-471	evening_last_visibility	-471-08-02	123.58	142.57	123° 35'	142° 34'	19:41	19:16	0:24h	-12d 23h	-3.8	-5° 41'	-7° 03'	-18° 50'	18° 59'	116° 33'	97° 42'
-471	morning_first_visibility	-471-08-22	142.52	132.17	142° 31'	132° 10'	5:20	5:46	-0:26h	6d 10h	-3.5	-6° 12'	-8° 35'	10° 49'	-10° 21'	249° 40'	260° 29'
-470	morning_last_visibility	-470-04-10	13.72	358.33	13° 43'	358° 20'	5:42	6:07	-0:24h	-57d 01h	-3.3	-6° 08'	-1° 27'	13° 18'	-15° 24'	260° 02'	273° 20'
-470	evening_first_visibility	-470-07-08	99.25	108.33	99° 15'	108° 20'	19:51	19:23	0:27h	32d 13h	-3.4	-6° 06'	1° 18'	-4° 53'	9° 05'	121° 33'	116° 40'
-469	evening_last_visibility	-469-03-21	354.68	1.57	354° 41'	1° 34'	18:54	18:30	0:23h	-4d 12h	-3.3	-5° 55'	7° 26'	6° 39'	6° 53'	90° 56'	97° 35'
-469	morning_first_visibility	-469-03-28	0.95	357.52	0° 57'	357° 31'	6:02	6:24	-0:22h	1d 23h	-3.1	-5° 43'	6° 41'	-1° 10'	-3° 26'	266° 15'	265° 04'
-469	morning_last_visibility	-469-12-09	251.92	243.55	251° 55'	243° 33'	6:42	7:09	-0:26h	-35d 08h	-3.4	-6° 06'	0° 04'	3° 06'	-8° 23'	292° 31'	295° 37'
-468	evening_first_visibility	-468-02-15	321.03	329.20	321° 02'	329° 12'	18:34	18:09	0:24h	33d 03h	-3.4	-6° 01'	-1° 23'	-2° 52'	8° 10'	76° 31'	73° 39'
-468	evening_last_visibility	-468-10-14	196.17	216.52	196° 10'	216° 31'	18:23	18:00	0:23h	-13d 17h	-4	-5° 50'	-6° 05'	-19° 50'	20° 22'	85° 55'	66° 06'
-468	morning_first_visibility	-468-11-02	214.93	206.95	214° 56'	206° 57'	6:13	6:36	-0:23h	4d 19h	-3.3	-5° 45'	-2° 38'	3° 56'	-7° 58'	282° 05'	286° 01'
-467	morning_last_visibility	-467-07-12	102.77	94.18	102° 46'	94° 11'	4:52	5:20	-0:27h	-31d 15h	-3.4	-6° 01'	0° 39'	3° 49'	-8° 35'	238° 53'	242° 41'
-467	evening_first_visibility	-467-09-28	179.82	192.12	179° 49'	192° 07'	18:43	18:19	0:24h	46d 23h	-3.4	-6° 04'	0° 38'	-9° 33'	12° 18'	93° 36'	84° 03'
-466	evening_last_visibility	-466-05-28	60.17	69.10	60° 10'	69° 06'	19:36	19:07	0:28h	-5d 22h	-3.2	-6° 28'	-0° 16'	-3° 44'	8° 56'	118° 07'	114° 23'
-466	morning_first_visibility	-466-06-13	74.80	60.17	74° 48'	60° 10'	4:44	5:14	-0:30h	9d 11h	-3.5	-6° 36'	-3° 34'	12° 35'	-14° 38'	238° 45'	251° 20'
-465	morning_last_visibility	-465-02-07	312.87	300.50	312° 52'	300° 30'	6:51	7:17	-0:25h	-48d 17h	-3.3	-6° 06'	-1° 06'	9° 40'	-12° 22'	286° 20'	296° 00'
-465	evening_first_visibility	-465-04-26	29.40	37.43	29° 24'	37° 26'	19:14	18:48	0:25h	29d 19h	-3.4	-6° 10'	-0° 09'	-1° 43'	8° 01'	106° 59'	105° 15'
-464	evening_last_visibility	-464-01-08	282.95	287.67	282° 57'	287° 40'	18:02	17:40	0:22h	-3d 02h	-3.3	-5° 14'	6° 26'	3° 52'	4° 43'	66° 17'	70° 09'
-464	morning_first_visibility	-464-01-14	288.55	284.22	288° 33'	284° 13'	6:58	7:26	-0:27h	2d 11h	-3.3	-6° 10'	7° 17'	-3° 06'	-4° 20'	292° 24'	289° 19'
-464	morning_last_visibility	-464-09-23	174.55	166.80	174° 33'	166° 48'	5:43	6:07	-0:24h	-31d 02h	-3.4	-6° 05'	1° 24'	-0° 29'	-7° 45'	263° 55'	263° 26'
-464	evening_first_visibility	-464-12-07	251.17	261.78	251° 10'	261° 47'	17:53	17:27	0:26h	44d 11h	-3.4	-6° 06'	-0° 58'	-7° 18'	10° 38'	67° 37'	60° 18'
-463	evening_last_visibility	-463-07-31	121.72	140.15	121° 43'	140° 09'	19:41	19:17	0:24h	-12d 14h	-3.8	-5° 35'	-6° 58'	-18° 19'	18° 27'	117° 00'	98° 41'
-463	morning_first_visibility	-463-08-20	140.62	129.67	140° 37'	129° 40'	5:16	5:45	-0:28h	6d 20h	-3.5	-6° 39'	-8° 33'	11° 03'	-10° 57'	248° 38'	259° 40'
-462	morning_last_visibility	-462-04-08	11.87	356.55	11° 52'	356° 33'	5:45	6:09	-0:24h	-56d 20h	-3.3	-6° 05'	-1° 28'	13° 15'	-15° 19'	260° 56'	274° 11'
-462	evening_first_visibility	-462-07-05	96.43	105.30	96° 26'	105° 18'	19:50	19:23	0:27h	31d 18h	-3.4	-6° 00'	1° 16'	-4° 37'	8° 52'	121° 42'	117° 04'
-461	evening_last_visibility	-461-03-19	352.78	359.17	352° 47'	359° 10'	18:50	18:29	0:21h	-4d 05h	-3.3	-5° 25'	7° 34'	6° 50'	6° 23'	89° 47'	96° 37'
-461	morning_first_visibility	-461-03-26	359.07	355.12	359° 04'	355° 07'	6:02	6:26	-0:24h	2d 07h	-3.1	-6° 08'	6° 50'	-0° 52'	-3° 57'	266° 53'	266° 01'
-461	morning_last_visibility	-461-12-07	249.93	241.70	249° 56'	241° 42'	6:41	7:07	-0:26h	-34d 19h	-3.4	-6° 01'	0° 06'	2° 54'	-8° 14'	292° 14'	295° 08'
-460	evening_first_visibility	-460-02-13	319.12	327.40	319° 07'	327° 24'	18:33	18:08	0:25h	33d 17h	-3.4	-6° 06'	-1° 24'	-2° 58'	8° 17'	75° 51'	72° 54'
-460	evening_last_visibility	-460-10-11	193.18	214.17	193° 11'	214° 10'	18:27	18:03	0:23h	-14d 05h	-4	-5° 52'	-6° 21'	-20° 32'	20° 59'	87° 17'	66° 45'
-460	morning_first_visibility	-460-10-31	212.93	204.18	212° 56'	204° 11'	6:08	6:35	-0:26h	5d 07h	-3.4	-6° 30'	-2° 53'	4° 13'	-8° 45'	280° 53'	285° 06'
-459	morning_last_visibility	-459-07-09	99.93	91.15	99° 56'	91° 09'	4:51	5:19	-0:27h	-32d 08h	-3.4	-6° 03'	0° 35'	4° 10'	-8° 47'	238° 32'	242° 42'
-459	evening_first_visibility	-459-09-25	176.87	189.03	176° 52'	189° 02'	18:47	18:22	0:24h	46d 06h	-3.4	-6° 02'	0° 43'	-9° 24'	12° 10'	94° 58'	85° 34'
-458	evening_last_visibility	-458-05-26	58.32	66.78	58° 19'	66° 47'	19:33	19:06	0:27h	-5d 15h	-3.2	-6° 11'	-0° 01'	-3° 11'	8° 28'	117° 26'	114° 14'
-458	morning_first_visibility	-458-06-10	72.00	58.35	72° 00'	58° 21'	4:47	5:15	-0:27h	8d 18h	-3.4	-6° 01'	-3° 10'	11° 43'	-13° 39'	239° 37'	251° 20'
-457	morning_last_visibility	-457-02-05	310.93	298.68	310° 56'	298° 41'	6:52	7:18	-0:25h	-48d 09h	-3.3	-6° 07'	-1° 05'	9° 30'	-12° 15'	286° 57'	296° 27'
-457	evening_first_visibility	-457-04-24	27.55	35.63	27° 33'	35° 38'	19:13	18:47	0:25h	30d 03h	-3.4	-6° 14'	-0° 11'	-1° 42'	8° 05'	106° 14'	104° 31'
-456	evening_last_visibility	-456-01-05	279.95	285.58	279° 57'	285° 35'	18:03	17:37	0:25h	-3d 15h	-3.3	-5° 58'	6° 04'	3° 01'	5° 38'	66° 24'	69° 26'
-456	morning_first_visibility	-456-01-12	286.57	281.55	286° 34'	281° 33'	6:56	7:25	-0:29h	2d 21h	-3.3	-6° 35'	7° 08'	-2° 41'	-5° 01'	292° 28'	289° 47'
-456	morning_last_visibility	-456-09-20	171.58	163.70	171° 35'	163° 42'	5:41	6:06	-0:24h	-31d 13h	-3.4	-6° 13'	1° 25'	-0° 26'	-7° 54'	262° 27'	262° 01'
-456	evening_first_visibility	-456-12-05	249.17	259.93	249° 10'	259° 56'	17:53	17:26	0:26h	44d 23h	-3.4	-6° 09'	-0° 56'	-7° 28'	10° 47'	67° 58'	60° 30'
-455	evening_last_visibility	-455-07-29	119.83	137.75	119° 50'	137° 45'	19:42	19:18	0:23h	-12d 04h	-3.8	-5° 29'	-6° 51'	-17° 47'	17° 55'	117° 26'	99° 39'
-455	morning_first_visibility	-455-08-18	138.72	127.20	138° 43'	127° 12'	5:13	5:44	-0:30h	7d 05h	-3.5	-7° 03'	-8° 31'	11° 17'	-11° 31'	247° 38'	258° 54'
-454	morning_last_visibility	-454-04-06	9.98	354.75	9° 59'	354° 45'	5:48	6:12	-0:23h	-56d 14h	-3.3	-6° 02'	-1° 28'	13° 11'	-15° 14'	261° 50'	275° 01'
-454	evening_first_visibility	-454-07-03	94.58	103.52	94° 35'	103° 31'	19:50	19:22	0:27h	32d 00h	-3.4	-6° 06'	1° 15'	-4° 35'	8° 56'	121° 52'	117° 17'
-453	evening_last_visibility	-453-03-16	349.92	357.37	349° 55'	357° 22'	18:54	18:27	0:26h	-4d 21h	-3.3	-6° 31'	7° 45'	6° 53'	7° 27'	89° 05'	95° 58'
-453	morning_first_visibility	-453-03-23	356.22	353.33	356° 13'	353° 20'	6:08	6:30	-0:22h	1d 14h	-3.1	-5° 46'	7° 08'	-1° 54'	-2° 53'	268° 26'	266° 32'
-453	morning_last_visibility	-453-12-04	246.92	238.58	246° 55'	238° 35'	6:37	7:04	-0:27h	-35d 05h	-3.4	-6° 13'	0° 11'	2° 41'	-8° 20'	291° 34'	294° 15'
-452	evening_first_visibility	-452-02-11	317.18	325.58	317° 11'	325° 35'	18:32	18:06	0:25h	34d 07h	-3.4	-6° 11'	-1° 25'	-3° 04'	8° 24'	75° 12'	72° 09'
-452	evening_last_visibility	-452-10-09	191.23	211.57	191° 14'	211° 34'	18:26	18:06	0:20h	-13d 17h	-4	-5° 13'	-6° 33'	-20° 10'	20° 20'	87° 48'	67° 38'
-452	morning_first_visibility	-452-10-29	210.97	201.45	210° 58'	201° 27'	6:03	6:33	-0:29h	5d 18h	-3.4	-7° 14'	-3° 08'	4° 31'	-9° 30'	279° 40'	284° 10'
-451	morning_last_visibility	-451-07-06	97.12	88.13	97° 07'	88° 08'	4:49	5:17	-0:28h	-33d 01h	-3.4	-6° 05'	0° 30'	4° 31'	-9° 00'	238° 17'	242° 48'
-451	evening_first_visibility	-451-09-23	174.93	187.20	174° 56'	187° 12'	18:49	18:25	0:24h	46d 13h	-3.4	-6° 07'	0° 45'	-9° 29'	12° 17'	95° 56'	86° 27'
-450	evening_last_visibility	-450-05-24	56.47	64.47	56° 28'	64° 28'	19:31	19:05	0:25h	-5d 07h	-3.1	-5° 52'	0° 14'	-2° 39'	8° 00'	116° 41'	114° 02'
-450	morning_first_visibility	-450-06-08	70.17	56.05	70° 10'	56° 03'	4:46	5:15	-0:29h	9d 02h	-3.5	-6° 21'	-2° 56'	11° 59'	-14° 07'	239° 42'	251° 41'
-449	morning_last_visibility	-449-02-03	309.00	296.87	309° 00'	296° 52'	6:53	7:19	-0:26h	-48d 01h	-3.4	-6° 09'	-1° 03'	9° 19'	-12° 08'	287° 32'	296° 51'
-449	evening_first_visibility	-449-04-21	24.73	32.63	24° 44'	32° 38'	19:11	18:46	0:24h	29d 11h	-3.4	-6° 03'	-0° 16'	-1° 39'	7° 54'	104° 53'	103° 14'
-448	evening_last_visibility	-448-01-03	278.00	282.93	278° 00'	282° 56'	17:59	17:36	0:22h	-3d 05h	-3.3	-5° 20'	5° 53'	3° 01'	4° 56'	65° 53'	68° 54'
-448	morning_first_visibility	-448-01-10	284.62	278.90	284° 37'	278° 54'	6:54	7:25	-0:31h	3d 08h	-3.3	-7° 00'	6° 58'	-2° 18'	-5° 43'	292° 29'	290° 11'
-448	morning_last_visibility	-448-09-18	169.65	161.87	169° 39'	161° 52'	5:40	6:04	-0:24h	-31d 00h	-3.4	-6° 07'	1° 26'	-0° 25'	-7° 47'	261° 37'	261° 12'
-448	evening_first_visibility	-448-12-03	247.18	258.12	247° 11'	258° 07'	17:53	17:27	0:26h	45d 12h	-3.4	-6° 11'	-0° 54'	-7° 38'	10° 55'	68° 22'	60° 44'
-447	evening_last_visibility	-447-07-27	117.97	135.35	117° 58'	135° 21'	19:42	19:19	0:23h	-11d 19h	-3.7	-5° 23'	-6° 44'	-17° 15'	17° 23'	117° 50'	100° 35'
-447	morning_first_visibility	-447-08-15	135.85	125.25	135° 51'	125° 15'	5:16	5:42	-0:26h	6d 15h	-3.5	-6° 02'	-8° 30'	11° 07'	-10° 36'	247° 14'	258° 21'
-446	morning_last_visibility	-446-04-03	7.17	351.75	7° 10'	351° 45'	5:51	6:16	-0:24h	-57d 09h	-3.3	-6° 09'	-1° 29'	13° 20'	-15° 25'	263° 05'	276° 25'
-446	evening_first_visibility	-446-07-01	92.73	101.73	92° 44'	101° 44'	19:51	19:22	0:28h	32d 05h	-3.4	-6° 11'	1° 14'	-4° 32'	8° 59'	122° 00'	117° 28'
