Epoch	City	Location	GeoLat	GetLat°	lat	lon	ra	decl	rise-hr	jd	date	year
-3150	Ujjain	Ujjain(23.18°)	23.18	23.18°	66.1	84.93	-6.09	87.93	-5	570512.25	-3151-12-23T22:59:14	-3151
-3150	Kurukshetra	Kurukshetra(29.97°)	29.97	29.97°	66.1	84.93	-6.09	87.93	-5	570512.25	-3151-12-23T22:59:14	-3151
-3150	Srinagar	Srinagar(34.09°)	34.09	34.09°	66.1	84.93	-6.09	87.93	-5	570512.25	-3151-12-23T22:59:14	-3151
-3100	Madurai	Madurai(9.92°)	9.92	9.92°	66.1	85.62	-6.23	88.22	-5	588775.25	-3101-12-24T22:59:14	-3101
-3100	Ujjain	Ujjain(23.18°)	23.18	23.18°	66.1	85.62	-6.23	88.22	-5	588775.25	-3101-12-24T22:59:14	-3101
-3100	Kurukshetra	Kurukshetra(29.97°)	29.97	29.97°	66.1	85.62	-6.23	88.22	-5	588775.25	-3101-12-24T22:59:14	-3101
-3100	Srinagar	Srinagar(34.09°)	34.09	34.09°	66.1	85.62	-6.23	88.22	-5	588775.25	-3101-12-24T22:59:14	-3101
-3050	Madurai	Madurai(9.92°)	9.92	9.92°	66.11	86.32	-6.7	88.5	-5	607037.25	-3051-12-23T22:59:14	-3051
-3050	Ujjain	Ujjain(23.18°)	23.18	23.18°	66.11	86.32	-6.7	88.5	-5	607037.25	-3051-12-23T22:59:14	-3051
-3050	Kurukshetra	Kurukshetra(29.97°)	29.97	29.97°	66.11	86.32	-6.7	88.5	-5	607037.25	-3051-12-23T22:59:14	-3051
-3050	Srinagar	Srinagar(34.09°)	34.09	34.09°	66.11	86.32	-6.7	88.5	-5	607037.25	-3051-12-23T22:59:14	-3051
-3000	Madurai	Madurai(9.92°)	9.92	9.92°	66.11	87.02	-7.7	88.78	-5	625300.25	-3001-12-24T22:59:14	-3001
-3000	Ujjain	Ujjain(23.18°)	23.18	23.18°	66.11	87.02	-7.7	88.78	-5	625300.25	-3001-12-24T22:59:14	-3001
-3000	Kurukshetra	Kurukshetra(29.97°)	29.97	29.97°	66.11	87.02	-7.7	88.78	-5	625300.25	-3001-12-24T22:59:14	-3001
-3000	Srinagar	Srinagar(34.09°)	34.09	34.09°	66.11	87.02	-7.7	88.78	-5	625300.25	-3001-12-24T22:59:14	-3001
-2950	Madurai	Madurai(9.92°)	9.92	9.92°	66.11	87.71	-9.05	89.06	-5	643563.25	-2951-12-24T22:59:14	-2951
-2950	Ujjain	Ujjain(23.18°)	23.18	23.18°	66.11	87.71	-9.05	89.06	-5	643563.25	-2951-12-24T22:59:14	-2951
-2950	Kurukshetra	Kurukshetra(29.97°)	29.97	29.97°	66.11	87.71	-9.05	89.06	-5	643563.25	-2951-12-24T22:59:14	-2951
-2950	Srinagar	Srinagar(34.09°)	34.09	34.09°	66.11	87.71	-9.05	89.06	-5	643563.25	-2951-12-24T22:59:14	-2951
-2900	Madurai	Madurai(9.92°)	9.92	9.92°	66.12	88.41	-12.01	89.34	-5	661825.25	-2901-12-24T22:59:14	-2901
-2900	Ujjain	Ujjain(23.18°)	23.18	23.18°	66.12	88.41	-12.01	89.34	-5	661825.25	-2901-12-24T22:59:14	-2901
-2900	Kurukshetra	Kurukshetra(29.97°)	29.97	29.97°	66.12	88.41	-12.01	89.34	-5	661825.25	-2901-12-24T22:59:14	-2901
-2900	Srinagar	Srinagar(34.09°)	34.09	34.09°	66.12	88.41	-12.01	89.34	-5	661825.25	-2901-12-24T22:59:14	-2901
-2850	Madurai	Madurai(9.92°)	9.92	9.92°	66.12	88.41	-11.94	89.34	-5	680088.25	-2851-12-24T22:59:14	-2851
-2850	Ujjain	Ujjain(23.18°)	23.18	23.18°	66.12	88.41	-11.94	89.34	-5	680088.25	-2851-12-24T22:59:14	-2851
-2850	Kurukshetra	Kurukshetra(29.97°)	29.97	29.97°	66.12	88.41	-11.94	89.34	-5	680088.25	-2851-12-24T22:59:14	-2851
-2850	Srinagar	Srinagar(34.09°)	34.09	34.09°	66.12	88.41	-11.94	89.34	-5	680088.25	-2851-12-24T22:59:14	-2851
-2800	Madurai	Madurai(9.92°)	9.92	9.92°	66.12	88.41	-11.86	89.34	-5	698351.25	-2801-12-25T22:59:14	-2801
-2800	Ujjain	Ujjain(23.18°)	23.18	23.18°	66.12	88.41	-11.86	89.34	-5	698351.25	-2801-12-25T22:59:14	-2801
-2800	Kurukshetra	Kurukshetra(29.97°)	29.97	29.97°	66.12	88.41	-11.86	89.34	-5	698351.25	-2801-12-25T22:59:14	-2801
-2800	Srinagar	Srinagar(34.09°)	34.09	34.09°	66.12	88.41	-11.86	89.34	-5	698351.25	-2801-12-25T22:59:14	-2801
-2750	Madurai	Madurai(9.92°)	9.92	9.92°	66.13	88.41	-11.79	89.34	-5	716613.25	-2751-12-24T22:59:14	-2751
-2750	Ujjain	Ujjain(23.18°)	23.18	23.18°	66.13	88.41	-11.79	89.34	-5	716613.25	-2751-12-24T22:59:14	-2751
-2750	Kurukshetra	Kurukshetra(29.97°)	29.97	29.97°	66.13	88.41	-11.79	89.34	-5	716613.25	-2751-12-24T22:59:14	-2751
