az	alt	naks	yr	JD	DT
105.49	0.22	Shatayam	-500	1538431.64	-0501-12-31T08:25:47
86.7	0.34	Poorattadi	-500	1538431.65	-0501-12-31T08:45:50
73.9	0.83	Uttiratadi	-500	1538431.69	-0501-12-31T09:40:24
100.83	0.3	Revati	-500	1538431.78	-0501-12-31T11:51:54
49.4	-0.92	Abhijit	-500	1538432.46	-0500-01-01T04:06:47
76.68	0.59	Ashwini	0	1721056.77	-0001-12-31T11:40:56
72.03	0.76	Bharani	0	1721056.8	-0001-12-31T12:16:08
73.65	0.63	Krittika	0	1721056.83	-0001-12-31T13:12:23
79.45	0.39	Rohini	0	1721056.87	-0001-12-31T14:07:15
83.59	0.21	Mrigashirisham	0	1721056.92	-0001-12-31T15:12:12
85.33	0.64	Thiruvadarai	0	1721056.94	-0001-12-31T15:37:00
58.68	-0.21	Punarpasu	0	1721056.98	-0001-12-31T16:37:31
66.05	0.29	Pushyam	0	1721057.03	-0001-12-31T17:55:27
78.09	0.34	Ayilyam	0	1721057.05	-0001-12-31T18:27:39
69.25	0.63	Makam	0	1721057.1	-0001-12-31T19:30:58
58.47	0.35	Pooram	0	1721057.13	-0001-12-31T20:21:39
63.87	0.83	Uttiram	0	1721057.14	-0001-12-31T20:33:02
95.45	0.18	Hastam	0	1721057.22	-0001-12-31T22:23:25
90.22	0.64	Chitrai	0	1721057.25	-0001-12-31T23:14:12
58.57	0.82	Swati	0	1721057.27	-0001-12-31T23:45:15
96.4	0.25	Vishakam	0	1721057.31	0000-01-01T00:39:48
104.98	-0.56	Anusham	0	1721057.36	0000-01-01T01:46:30
110.01	-0.23	Kettai	0	1721057.38	0000-01-01T02:17:43
123.37	-0.57	Moolam	0	1721057.42	0000-01-01T03:20:50
122.88	-0.82	Pooradam	0	1721057.46	0000-01-01T04:09:25
116.44	-0.24	Uttiradam	0	1721057.48	0000-01-01T04:42:56
84.03	0.13	Thiruvonam	0	1721057.52	0000-01-01T05:35:33
79.19	0.96	Avittam	0	1721056.56	-0001-12-31T06:32:27
103.67	0.2	Shatayam	0	1721056.64	-0001-12-31T08:36:20
84.57	0.4	Poorattadi	0	1721056.66	-0001-12-31T08:53:54
71.37	1	Uttiratadi	0	1721056.69	-0001-12-31T09:47:31
97.91	0.13	Revati	0	1721056.78	-0001-12-31T11:58:35
49.86	-0.87	Abhijit	0	1721057.46	0000-01-01T04:09:14
73.88	0.7	Ashwini	500	1903681.78	0499-12-31T11:49:30
69.34	0.91	Bharani	500	1903681.8	0499-12-31T12:25:36
71.24	0.74	Krittika	500	1903681.84	0499-12-31T13:22:34
77.45	0.46	Rohini	500	1903681.88	0499-12-31T14:17:28
82.17	0.27	Mrigashirisham	500	1903681.93	0499-12-31T15:22:31
84	0.17	Thiruvadarai	500	1903681.94	0499-12-31T15:44:47
58.63	-0.33	Punarpasu	500	1903681.99	0499-12-31T16:53:08
66.85	0.24	Pushyam	500	1903682.04	0499-12-31T18:10:47
79.09	0.33	Ayilyam	500	1903682.06	0499-12-31T18:40:42
71	0.52	Makam	500	1903682.11	0499-12-31T19:45:21
60.81	0.27	Pooram	500	1903682.14	0499-12-31T20:37:59
66.19	0.65	Uttiram	500	1903682.15	0499-12-31T20:47:43
98.26	0.19	Hastam	500	1903682.23	0499-12-31T22:35:44
93.08	0.57	Chitrai	500	1903682.26	0499-12-31T23:26:37
61.55	0.35	Swati	500	1903682.28	0499-12-31T23:54:17
99.09	0.12	Vishakam	500	1903682.32	0500-01-01T00:52:17
107.24	-0.91	Anusham	500	1903682.37	0500-01-01T01:59:03
112.18	-0.19	Kettai	500	1903682.39	0500-01-01T02:33:05
124.96	-0.88	Moolam	500	1903682.44	0500-01-01T03:37:22
124.16	-0.32	Pooradam	500	1903682.47	0500-01-01T04:30:27
117.08	-0.38	Uttiradam	500	1903682.49	0500-01-01T04:58:28
83.65	0.05	Thiruvonam	500	1903682.52	0500-01-01T05:44:14
78.24	0.99	Avittam	500	1903681.56	0499-12-31T06:39:53
101.59	0.16	Shatayam	500	1903681.65	0499-12-31T08:46:01
82.25	0.48	Poorattadi	500	1903681.66	0499-12-31T09:01:38
68.47	0.25	Uttiratadi	500	1903681.69	0499-12-31T09:50:00
94.98	-0.16	Revati	500	1903681.79	0499-12-31T12:04:35
50.1	-0.86	Abhijit	500	1903682.46	0500-01-01T04:11:12
71.15	0.83	Ashwini	1000	2086306.78	0999-12-31T11:58:41
66.55	0.24	Bharani	1000	2086306.81	0999-12-31T12:31:34
69.03	0.84	Krittika	1000	2086306.85	0999-12-31T13:33:31
75.7	0.51	Rohini	1000	2086306.89	0999-12-31T14:28:21
81.05	0.3	Mrigashirisham	1000	2086306.93	0999-12-31T15:33:19
83.12	0.2	Thiruvadarai	1000	2086306.95	0999-12-31T15:55:31
59.05	-0.23	Punarpasu	1000	2086307	0999-12-31T17:10:24
68.19	0.87	Pushyam	1000	2086307.06	0999-12-31T18:29:35
80.39	0.31	Ayilyam	1000	2086307.07	0999-12-31T18:53:43
73.01	0.42	Makam	1000	2086307.12	0999-12-31T19:59:25
63.52	0.79	Pooram	1000	2086307.16	0999-12-31T20:56:42
68.7	0.51	Uttiram	1000	2086307.16	0999-12-31T21:01:56
101.12	0.2	Hastam	1000	2086307.23	0999-12-31T22:48:13
95.92	0.47	Chitrai	1000	2086307.27	0999-12-31T23:39:00
64.42	-0.17	Swati	1000	2086307.29	1000-01-01T00:02:34
101.63	-0.04	Vishakam	1000	2086307.33	1000-01-01T01:04:51
109.57	-0.22	Anusham	1000	2086307.38	1000-01-01T02:17:12
114.11	-0.1	Kettai	1000	2086307.4	1000-01-01T02:49:15
126.46	-0.36	Moolam	1000	2086307.45	1000-01-01T03:59:14
124.89	-0.37	Pooradam	1000	2086307.48	1000-01-01T04:48:26
117.33	-0.51	Uttiradam	1000	2086307.5	1000-01-01T05:13:54
83.22	0.88	Thiruvonam	1000	2086306.54	0999-12-31T06:00:51
76.79	0.19	Avittam	1000	2086306.56	0999-12-31T06:42:54
99.28	0.04	Shatayam	1000	2086306.66	0999-12-31T08:54:43
79.78	0.56	Poorattadi	1000	2086306.67	0999-12-31T09:09:10
65.71	0.32	Uttiratadi	1000	2086306.7	0999-12-31T09:56:38
92.08	-0.63	Revati	1000	2086306.79	0999-12-31T12:09:53
50.11	-0.88	Abhijit	1000	2086307.46	1000-01-01T04:12:39
68.54	0.99	Ashwini	1500	2268931.79	1499-12-31T12:08:35
64.13	0.29	Bharani	1500	2268931.81	1499-12-31T12:42:02
67.07	0.93	Krittika	1500	2268931.86	1499-12-31T13:45:19
74.23	0.55	Rohini	1500	2268931.9	1499-12-31T14:39:53
80.24	0.33	Mrigashirisham	1500	2268931.94	1499-12-31T15:44:35
82.56	0.22	Thiruvadarai	1500	2268931.96	1499-12-31T16:06:38
59.71	-0.56	Punarpasu	1500	2268932.01	1499-12-31T17:25:22
69.63	0.7	Pushyam	1500	2268932.07	1499-12-31T18:44:02
81.99	0.3	Ayilyam	1500	2268932.08	1499-12-31T19:06:40
75.24	0.35	Makam	1500	2268932.13	1499-12-31T20:13:09
66.16	0.61	Pooram	1500	2268932.17	1499-12-31T21:10:48
71.35	0.4	Uttiram	1500	2268932.17	1499-12-31T21:15:40
104.01	0.2	Hastam	1500	2268932.24	1499-12-31T23:00:57
98.68	0.3	Chitrai	1500	2268932.28	1499-12-31T23:51:10
67.37	-0.05	Swati	1500	2268932.29	1500-01-01T00:13:52
104	-0.25	Vishakam	1500	2268932.34	1500-01-01T01:17:30
111.45	-0.2	Anusham	1500	2268932.39	1500-01-01T02:32:28
115.73	-0.07	Kettai	1500	2268932.41	1500-01-01T03:05:28
127.4	-0.41	Moolam	1500	2268932.46	1500-01-01T04:18:01
125.22	-0.39	Pooradam	1500	2268932.5	1500-01-01T05:06:25
117.2	-0.61	Uttiradam	1500	2268932.51	1500-01-01T05:29:03
82.25	0.88	Thiruvonam	1500	2268931.54	1499-12-31T06:09:11
75.31	0.21	Avittam	1500	2268931.57	1499-12-31T06:49:32
96.77	-0.15	Shatayam	1500	2268931.66	1499-12-31T09:02:30
77.17	0.67	Poorattadi	1500	2268931.67	1499-12-31T09:16:37
62.9	0.41	Uttiratadi	1500	2268931.7	1499-12-31T10:03:37
89.63	0.2	Revati	1500	2268931.8	1499-12-31T12:21:42
49.9	-0.93	Abhijit	1500	2268932.46	1500-01-01T04:13:34
65.82	0.26	Ashwini	2000	2451556.79	2000-01-13T12:14:43
61.92	0.33	Bharani	2000	2451556.82	2000-01-13T12:53:29
65.15	0.23	Krittika	2000	2451556.86	2000-01-13T13:53:55
73.08	0.59	Rohini	2000	2451556.9	2000-01-13T14:52:03
79.77	0.34	Mrigashirisham	2000	2451556.95	2000-01-13T15:56:16
82.33	0.22	Thiruvadarai	2000	2451556.96	2000-01-13T16:18:03
61.19	0.52	Punarpasu	2000	2451557.03	2000-01-13T17:48:08
71.38	0.56	Pushyam	2000	2451557.07	2000-01-13T18:58:21
83.85	0.29	Ayilyam	2000	2451557.09	2000-01-13T19:19:30
77.66	0.29	Makam	2000	2451557.14	2000-01-13T20:26:34
68.91	0.47	Pooram	2000	2451557.18	2000-01-13T21:24:25
74.11	0.31	Uttiram	2000	2451557.18	2000-01-13T21:28:59
106.88	0.2	Hastam	2000	2451557.25	2000-01-13T23:14:00
101.29	-0.12	Chitrai	2000	2451557.29	2000-01-14T00:02:22
70.17	0.03	Swati	2000	2451557.3	2000-01-14T00:24:38
106.15	-0.51	Vishakam	2000	2451557.35	2000-01-14T01:30:16
113.07	-0.12	Anusham	2000	2451557.4	2000-01-14T02:48:25
117.02	-0.06	Kettai	2000	2451557.42	2000-01-14T03:21:55
127.94	-0.43	Moolam	2000	2451557.48	2000-01-14T04:37:01
125.13	-0.38	Pooradam	2000	2451557.51	2000-01-14T05:24:06
116.69	-0.68	Uttiradam	2000	2451557.52	2000-01-14T05:43:48
81.01	0.91	Thiruvonam	2000	2451556.55	2000-01-13T06:17:14
73.59	0.23	Avittam	2000	2451556.57	2000-01-13T06:55:51
94.03	-0.65	Shatayam	2000	2451556.67	2000-01-13T09:08:18
74.48	0.82	Poorattadi	2000	2451556.68	2000-01-13T09:24:10
60.08	0.52	Uttiratadi	2000	2451556.71	2000-01-13T10:11:07
87.08	0.17	Revati	2000	2451556.81	2000-01-13T12:29:36
49.45	-1.01	Abhijit	2000	2451557.46	2000-01-14T04:13:55
