jd	date	yr	season	rtu	sun_lon	sun_naks	sun_naks_by_angle	moon_lat	moon_lon	moon_naks	moon_naks_by_angle	moon_phase	moon_sun_diff	sun_न	moon_न	sun_न_by_angle	moon_न_by_angle	sun_naks_angle	moon_naks_angle
1195244.25	-1440-05-13	-1440	2	R2-grīṣma	50.70	N06-Ard/γ Gem	N06-Ard/γ Gem	0.49	225.55	N20-PAsh/δ Sgr	N20-PAsh/λ Sgr	1	174	N06-Ard	N20-PAsh	N06-Ard	N20-PAsh	7.19	3.77
1195259.75	-1440-05-29	-1440	2	R2-grīṣma	65.46	N07-Pun/β Gem	N07-Pun/β Gem	0.92	60.90	N07-Pun/α Gem	N07-Pun/β Gem	0	4	N07-Pun	N07-Pun	N07-Pun	N07-Pun	6.57	7.77
1195274.25	-1440-06-12	-1440	2	R2-grīṣma	79.31	N08-Pus/δ Cnc	N08-Pus/δ Cnc	-2.67	261.91	N23-Dha/ε Αqr	N21-UAsh/τ Sgr	1	177	N08-Pus	N23-Dha	N08-Pus	N21-UAsh	1.71	24.55
1195289.75	-1440-06-28	-1440	3	R3-varṣā	94.19	N10-Mag/μ Leo	N10-Mag/η Leo	3.69	96.40	N10-Mag/μ Leo	N10-Mag/η Leo	0	2	N10-Mag	N10-Mag	N10-Mag	N10-Mag	7.59	3.93
1195303.25	-1440-07-11	-1440	3	R3-varṣā	107.24	N10-Mag/α Leo	N10-Mag/α Leo	-4.10	283.81	N23-Dha/α Αqr	N24-Sha/λ Aqr	1	176	N10-Mag	N23-Dha	N10-Mag	N24-Sha	4.74	10.79
1195318.75	-1440-07-27	-1440	3	R3-varṣā	122.34	N12-UPal/* 93 Leo	N11-PPal/θ Leo	4.74	119.20	N12-UPal/* 93 Leo	N11-PPal/θ Leo	0	3	N12-UPal	N12-UPal	N11-PPal	N11-PPal	11.66	5.97
1195333.25	-1440-08-10	-1440	3	R3-varṣā	136.60	N13-Has/γ Crv	N13-Has/δ Crv	-4.99	317.74	N26-UBha/γ Peg	N27-Rev/ε Psc	1	178	N13-Has	N26-UBha	N13-Has	N27-Rev	15.18	13.58
1195348.75	-1440-08-26	-1440	4	R4-śarat	151.99	N13-Has/β Crv	N14-Chi/α Vir	4.68	157.34	N15-Swa/α Boo	N14-Chi/α Vir	0	5	N13-Has	N15-Swa	N14-Chi	N14-Chi	4.64	6.61
1195363.25	-1440-09-09	-1440	4	R4-śarat	166.51	N15-Swa/α Boo	N14-Chi/α Vir	-4.06	350.62	N01-Ash/α Ari	N01-Ash/γ Ari	1	175	N15-Swa	N01-Ash	N14-Chi	N01-Ash	10.42	12.21
1195377.75	-1440-09-24	-1440	4	R4-śarat	181.15	N16-Vis/α2 Lib	N16-Vis/α2 Lib	3.47	180.71	N16-Vis/α2 Lib	N16-Vis/α1 Lib	0	0	N16-Vis	N16-Vis	N16-Vis	N16-Vis	3.68	4.18
1195392.25	-1440-10-08	-1440	4	R4-śarat	195.87	N17-Anu/ω1 Sco	N17-Anu/ω1 Sco	-2.68	11.25	N03-Kri/* 17 Tau	N03-Kri/* 23 Tau	1	175	N17-Anu	N03-Kri	N17-Anu	N03-Kri	0.67	6.35
1195406.75	-1440-10-23	-1440	5	R5-hemanta	210.66	N19-Mul/ζ2 Sco	N18-Jye/α Sco	1.62	203.92	N18-Jye/α Sco	N18-Jye/α Sco	0	6	N19-Mul	N18-Jye	N18-Jye	N18-Jye	9.45	6.00
1195422.25	-1440-11-07	-1440	5	R5-hemanta	226.50	N20-PAsh/δ Sgr	N20-PAsh/λ Sgr	0.21	43.84	N05-Mrg/α Ori	N06-Ard/γ Gem	1	177	N20-PAsh	N05-Mrg	N20-PAsh	N06-Ard	2.71	10.57
1195436.75	-1440-11-22	-1440	5	R5-hemanta	241.31	N21-UAsh/τ Sgr	N21-UAsh/τ Sgr	-1.82	241.68	N21-UAsh/τ Sgr	N21-UAsh/τ Sgr	0	0	N21-UAsh	N21-UAsh	N21-UAsh	N21-UAsh	5.93	5.03
1195452.25	-1440-12-07	-1440	5	R5-hemanta	257.10	N22-Shr/β Aql	N21-UAsh/τ Sgr	3.06	77.36	N08-Pus/δ Cnc	N08-Pus/δ Cnc	1	179	N22-Shr	N08-Pus	N21-UAsh	N08-Pus	20.20	4.82
1195465.75	-1440-12-21	-1440	6	R6-śiśira	270.79	N23-Dha/δ Del	N24-Sha/λ Aqr	-3.54	264.31	N23-Dha/ε Αqr	N21-UAsh/τ Sgr	0	6	N23-Dha	N23-Dha	N24-Sha	N21-UAsh	23.11	26.89
1195481.25	-1439-01-05	-1439	6	R6-śiśira	286.39	N23-Dha/α Αqr	N24-Sha/λ Aqr	4.34	98.99	N10-Mag/ζ Leo	N10-Mag/η Leo	1	172	N23-Dha	N10-Mag	N24-Sha	N10-Mag	7.51	1.26
1195495.75	-1439-01-20	-1439	6	R6-śiśira	300.87	N25-PBha/α Peg	N24-Sha/λ Aqr	-4.94	300.08	N25-PBha/α Peg	N24-Sha/λ Aqr	0	0	N25-PBha	N25-PBha	N24-Sha	N24-Sha	6.98	7.76
1195511.25	-1439-02-04	-1439	6	R6-śiśira	316.21	N25-PBha/β Peg	N26-UBha/γ Peg	4.94	135.23	N13-Has/γ Crv	N12-UPal/β Leo	1	179	N25-PBha	N13-Has	N26-UBha	N12-UPal	13.67	13.11
1195525.75	-1439-02-19	-1439	1	R1-vasanta	330.42	N27-Rev/ε Psc	N27-Rev/ε Psc	-4.39	334.27	N27-Rev/ε Psc	N27-Rev/ε Psc	0	3	N27-Rev	N27-Rev	N27-Rev	N27-Rev	1.02	6.83
1195540.25	-1439-03-05	-1439	1	R1-vasanta	344.51	N01-Ash/γ Ari	N01-Ash/γ Ari	4.22	158.22	N15-Swa/α Boo	N14-Chi/α Vir	1	173	N01-Ash	N15-Swa	N01-Ash	N14-Chi	7.12	6.37
1195554.75	-1439-03-20	-1439	1	R1-vasanta	358.49	N02-Bha/* 35 Ari	N02-Bha/* 41 Ari	-3.19	355.28	N02-Bha/* 35 Ari	N01-Ash/γ Ari	0	3	N02-Bha	N02-Bha	N02-Bha	N01-Ash	10.46	14.11
1195570.25	-1439-04-04	-1439	1	R1-vasanta	13.35	N03-Kri/* 27 Tau	N03-Kri/* 27 Tau	1.45	196.67	N17-Anu/ω1 Sco	N17-Anu/ω1 Sco	1	176	N03-Kri	N17-Anu	N03-Kri	N17-Anu	3.63	1.02
1195584.75	-1439-04-19	-1439	1	R1-vasanta	27.17	N04-Roh/α Tau	N04-Roh/ε Tau	-0.44	27.81	N05-Mrg/γ Ori	N04-Roh/ε Tau	0	0	N04-Roh	N05-Mrg	N04-Roh	N04-Roh	7.12	7.55
1195599.25	-1439-05-03	-1439	2	R2-grīṣma	40.97	N05-Mrg/α Ori	N06-Ard/γ Gem	-0.71	220.20	N19-Mul/ι1 Sco	N20-PAsh/γ Sgr	1	179	N05-Mrg	N19-Mul	N06-Ard	N20-PAsh	12.66	6.63
1195614.75	-1439-05-19	-1439	2	R2-grīṣma	55.71	N06-Ard/γ Gem	N06-Ard/γ Gem	2.48	60.40	N07-Pun/α Gem	N07-Pun/β Gem	0	4	N06-Ard	N07-Pun	N06-Ard	N07-Pun	8.32	7.14
1195628.25	-1439-06-01	-1439	2	R2-grīṣma	68.56	N07-Pun/β Gem	N07-Pun/β Gem	-2.72	243.68	N21-UAsh/τ Sgr	N21-UAsh/τ Sgr	1	175	N07-Pun	N21-UAsh	N07-Pun	N21-UAsh	6.90	6.52
1195643.75	-1439-06-17	-1439	2	R2-grīṣma	83.38	N09-Asl/σ Hya	N08-Pus/δ Cnc	3.92	81.50	N08-Pus/δ Cnc	N08-Pus/δ Cnc	0	1	N09-Asl	N08-Pus	N08-Pus	N08-Pus	2.37	4.03
1195658.25	-1439-07-01	-1439	3	R3-varṣā	97.33	N10-Mag/ζ Leo	N10-Mag/α Leo	-4.76	281.34	N23-Dha/α Αqr	N24-Sha/λ Aqr	1	175	N10-Mag	N23-Dha	N10-Mag	N24-Sha	5.19	13.33
1195673.75	-1439-07-17	-1439	3	R3-varṣā	112.35	N11-PPal/δ Leo	N10-Mag/α Leo	4.97	116.03	N11-PPal/θ Leo	N11-PPal/θ Leo	0	3	N11-PPal	N11-PPal	N10-Mag	N11-PPal	9.84	4.65
1195687.25	-1439-07-30	-1439	3	R3-varṣā	125.54	N12-UPal/β Leo	N12-UPal/β Leo	-4.95	303.85	N25-PBha/α Peg	N24-Sha/λ Aqr	1	178	N12-UPal	N25-PBha	N12-UPal	N24-Sha	12.54	11.00
1195702.75	-1439-08-15	-1439	3	R3-varṣā	140.82	N13-Has/γ Crv	N13-Has/δ Crv	4.66	138.31	N13-Has/γ Crv	N12-UPal/β Leo	0	2	N13-Has	N13-Has	N13-Has	N12-UPal	13.00	15.85
1195717.25	-1439-08-29	-1439	4	R4-śarat	155.24	N14-Chi/α Vir	N14-Chi/α Vir	-3.67	338.77	N01-Ash/γ Ari	N27-Rev/ε Psc	1	176	N14-Chi	N01-Ash	N14-Chi	N27-Rev	2.10	9.92
1195732.75	-1439-09-14	-1439	4	R4-śarat	170.80	N16-Vis/α1 Lib	N16-Vis/α1 Lib	2.52	175.28	N16-Vis/α1 Lib	N16-Vis/α1 Lib	0	4	N16-Vis	N16-Vis	N16-Vis	N16-Vis	6.77	2.85
1195746.25	-1439-09-27	-1439	4	R4-śarat	184.45	N16-Vis/α2 Lib	N16-Vis/α2 Lib	-2.13	-0.07	N02-Bha/* 41 Ari	N02-Bha/* 41 Ari	1	175	N16-Vis	N02-Bha	N16-Vis	N02-Bha	6.95	12.40
1195761.75	-1439-10-13	-1439	4	R4-śarat	200.21	N18-Jye/σ Sco	N18-Jye/σ Sco	0.51	198.25	N18-Jye/σ Sco	N17-Anu/ω1 Sco	0	1	N18-Jye	N18-Jye	N18-Jye	N17-Anu	3.60	2.23
1195776.25	-1439-10-27	-1439	5	R5-hemanta	215.01	N19-Mul/ν Sco	N20-PAsh/γ Sgr	0.84	32.67	N05-Mrg/γ Ori	N04-Roh/α Tau	1	177	N19-Mul	N05-Mrg	N20-PAsh	N04-Roh	10.77	12.43
1195791.75	-1439-11-12	-1439	5	R5-hemanta	230.85	N21-UAsh/φ Sgr	N20-PAsh/λ Sgr	-2.89	236.55	N21-UAsh/ζ Sgr	N21-UAsh/τ Sgr	0	5	N21-UAsh	N21-UAsh	N20-PAsh	N21-UAsh	2.55	1.74
1195806.25	-1439-11-26	-1439	5	R5-hemanta	245.66	N22-Shr/α Aql	N21-UAsh/τ Sgr	3.49	65.09	N07-Pun/β Gem	N07-Pun/β Gem	1	179	N22-Shr	N07-Pun	N21-UAsh	N07-Pun	9.39	3.26
1195820.75	-1439-12-11	-1439	5	R5-hemanta	260.41	N23-Dha/ε Αqr	N21-UAsh/τ Sgr	-4.34	259.72	N23-Dha/ε Αqr	N21-UAsh/τ Sgr	0	0	N23-Dha	N23-Dha	N21-UAsh	N21-UAsh	23.44	22.29
1195836.25	-1439-12-26	-1439	6	R6-śiśira	276.09	N23-Dha/β Αqr	N24-Sha/λ Aqr	4.90	98.08	N10-Mag/ζ Leo	N10-Mag/η Leo	1	178	N23-Dha	N10-Mag	N24-Sha	N10-Mag	17.80	2.16
1195849.75	-1438-01-09	-1438	6	R6-śiśira	289.66	N23-Dha/α Αqr	N24-Sha/λ Aqr	-4.98	282.93	N23-Dha/α Αqr	N24-Sha/λ Aqr	0	6	N23-Dha	N23-Dha	N24-Sha	N24-Sha	4.25	11.93
1195865.25	-1438-01-24	-1438	6	R6-śiśira	305.10	N25-PBha/α Peg	N24-Sha/λ Aqr	4.88	119.39	N12-UPal/* 93 Leo	N11-PPal/θ Leo	1	174	N25-PBha	N12-UPal	N24-Sha	N11-PPal	11.20	5.97
1195879.75	-1438-02-08	-1438	6	R6-śiśira	319.41	N26-UBha/γ Peg	N27-Rev/ε Psc	-4.17	319.97	N26-UBha/γ Peg	N27-Rev/ε Psc	0	0	N26-UBha	N26-UBha	N27-Rev	N27-Rev	10.60	11.21
1195895.25	-1438-02-23	-1438	1	R1-vasanta	334.57	N27-Rev/ε Psc	N27-Rev/ε Psc	3.32	154.39	N14-Chi/α Vir	N14-Chi/α Vir	1	179	N27-Rev	N14-Chi	N27-Rev	N14-Chi	4.69	5.49
1195908.75	-1438-03-09	-1438	1	R1-vasanta	347.66	N01-Ash/β Ari	N01-Ash/γ Ari	-2.77	342.18	N01-Ash/γ Ari	N01-Ash/γ Ari	0	5	N01-Ash	N01-Ash	N01-Ash	N01-Ash	7.35	10.38
1195924.25	-1438-03-24	-1438	1	R1-vasanta	2.58	N02-Bha/* 39 Ari	N03-Kri/* 17 Tau	1.58	176.78	N16-Vis/α1 Lib	N16-Vis/α1 Lib	1	174	N02-Bha	N16-Vis	N03-Kri	N16-Vis	9.97	1.10
1195938.75	-1438-04-08	-1438	1	R1-vasanta	16.46	N04-Roh/γ Tau	N04-Roh/δ Tau	0.17	16.38	N04-Roh/γ Tau	N03-Kri/* 27 Tau	0	0	N04-Roh	N04-Roh	N04-Roh	N03-Kri	5.07	4.99
1195954.25	-1438-04-23	-1438	2	R2-grīṣma	31.23	N05-Mrg/γ Ori	N04-Roh/α Tau	-1.81	214.33	N19-Mul/ν Sco	N20-PAsh/γ Sgr	1	176	N05-Mrg	N19-Mul	N04-Roh	N20-PAsh	10.76	10.42
1195968.75	-1438-05-08	-1438	2	R2-grīṣma	45.02	N05-Mrg/α Ori	N06-Ard/γ Gem	3.01	49.33	N06-Ard/γ Gem	N06-Ard/γ Gem	0	4	N05-Mrg	N06-Ard	N06-Ard	N06-Ard	9.60	10.38
1195983.25	-1438-05-22	-1438	2	R2-grīṣma	58.81	N07-Pun/α Gem	N07-Pun/β Gem	-3.61	237.86	N21-UAsh/τ Sgr	N21-UAsh/τ Sgr	1	179	N07-Pun	N21-UAsh	N07-Pun	N21-UAsh	9.92	0.95
1195997.75	-1438-06-06	-1438	2	R2-grīṣma	72.63	N07-Pun/β Gem	N08-Pus/δ Cnc	4.29	70.07	N07-Pun/β Gem	N07-Pun/β Gem	0	2	N07-Pun	N07-Pun	N08-Pus	N07-Pun	8.39	4.36
1196012.25	-1438-06-20	-1438	2	R2-grīṣma	86.51	N09-Asl/ζ Hya	N08-Pus/δ Cnc	-4.75	261.54	N23-Dha/ε Αqr	N21-UAsh/τ Sgr	1	175	N09-Asl	N23-Dha	N08-Pus	N21-UAsh	5.49	24.09
1196027.75	-1438-07-06	-1438	3	R3-varṣā	101.44	N10-Mag/γ Leo	N10-Mag/α Leo	4.99	102.85	N10-Mag/α Leo	N10-Mag/η Leo	0	1	N10-Mag	N10-Mag	N10-Mag	N10-Mag	1.09	2.64
1196042.25	-1438-07-20	-1438	3	R3-varṣā	115.52	N11-PPal/θ Leo	N11-PPal/θ Leo	-4.67	300.12	N25-PBha/α Peg	N24-Sha/λ Aqr	1	175	N11-PPal	N25-PBha	N11-PPal	N24-Sha	9.61	7.63
1196056.75	-1438-08-04	-1438	3	R3-varṣā	129.72	N12-UPal/β Leo	N12-UPal/β Leo	4.51	123.92	N12-UPal/β Leo	N12-UPal/β Leo	0	5	N12-UPal	N12-UPal	N12-UPal	N12-UPal	13.56	7.99
1196071.25	-1438-08-18	-1438	3	R3-varṣā	144.05	N13-Has/ε Crv	N13-Has/δ Crv	-3.50	323.02	N26-UBha/γ Peg	N27-Rev/ε Psc	1	178	N13-Has	N26-UBha	N13-Has	N27-Rev	12.07	8.23
1196086.75	-1438-09-03	-1438	4	R4-śarat	159.50	N15-Swa/α Boo	N14-Chi/α Vir	2.39	158.03	N15-Swa/α Boo	N14-Chi/α Vir	0	1	N15-Swa	N15-Swa	N14-Chi	N14-Chi	3.74	4.59
1196101.25	-1438-09-17	-1438	4	R4-śarat	174.08	N16-Vis/α1 Lib	N16-Vis/α1 Lib	-0.58	-1.09	N02-Bha/* 41 Ari	N02-Bha/* 41 Ari	1	175	N16-Vis	N02-Bha	N16-Vis	N02-Bha	3.52	10.96
1196116.75	-1438-10-03	-1438	4	R4-śarat	189.78	N17-Anu/δ Sco	N17-Anu/δ Sco	-0.75	193.60	N17-Anu/δ Sco	N17-Anu/δ Sco	0	3	N17-Anu	N17-Anu	N17-Anu	N17-Anu	5.38	1.55
1196130.25	-1438-10-16	-1438	4	R4-śarat	203.53	N18-Jye/α Sco	N18-Jye/α Sco	1.37	20.43	N04-Roh/θ2 Tau	N04-Roh/ε Tau	1	176	N18-Jye	N04-Roh	N18-Jye	N04-Roh	4.34	4.32
1196145.75	-1438-11-01	-1438	5	R5-hemanta	219.36	N19-Mul/κ Sco	N20-PAsh/γ Sgr	-2.69	216.15	N19-Mul/ν Sco	N20-PAsh/γ Sgr	0	3	N19-Mul	N19-Mul	N20-PAsh	N20-PAsh	7.69	8.40
1196160.25	-1438-11-15	-1438	5	R5-hemanta	234.18	N21-UAsh/σ Sgr	N21-UAsh/σ Sgr	3.91	53.97	N06-Ard/γ Gem	N07-Pun/α Gem	1	179	N21-UAsh	N06-Ard	N21-UAsh	N07-Pun	2.98	10.56
1196175.75	-1438-12-01	-1438	5	R5-hemanta	250.00	N22-Shr/α Aql	N21-UAsh/τ Sgr	-4.81	254.15	N22-Shr/γ Aql	N21-UAsh/τ Sgr	0	4	N22-Shr	N22-Shr	N21-UAsh	N21-UAsh	13.37	16.73
1196190.25	-1438-12-15	-1438	5	R5-hemanta	264.73	N23-Dha/ε Αqr	N23-Dha/ε Αqr	5.00	86.78	N09-Asl/ζ Hya	N10-Mag/ε Leo	1	177	N23-Dha	N09-Asl	N23-Dha	N10-Mag	27.56	7.63
1196204.75	-1438-12-30	-1438	6	R6-śiśira	279.37	N23-Dha/β Αqr	N24-Sha/λ Aqr	-4.99	277.54	N23-Dha/β Αqr	N24-Sha/λ Aqr	0	1	N23-Dha	N23-Dha	N24-Sha	N24-Sha	14.52	17.01
1196220.25	-1437-01-14	-1437	6	R6-śiśira	294.91	N24-Sha/λ Aqr	N24-Sha/λ Aqr	4.30	119.46	N12-UPal/* 93 Leo	N11-PPal/θ Leo	1	175	N24-Sha	N12-UPal	N24-Sha	N11-PPal	1.04	6.49
1196234.75	-1437-01-29	-1437	6	R6-śiśira	309.31	N25-PBha/β Peg	N24-Sha/λ Aqr	-3.33	316.01	N25-PBha/β Peg	N27-Rev/ε Psc	0	6	N25-PBha	N25-PBha	N24-Sha	N27-Rev	15.42	14.59
1196249.25	-1437-02-12	-1437	6	R6-śiśira	323.59	N26-UBha/γ Peg	N27-Rev/ε Psc	3.01	140.37	N13-Has/γ Crv	N13-Has/δ Crv	1	176	N26-UBha	N13-Has	N27-Rev	N13-Has	6.45	15.96
1196263.75	-1437-02-27	-1437	1	R1-vasanta	337.74	N27-Rev/ε Psc	N27-Rev/ε Psc	-1.50	338.93	N01-Ash/γ Ari	N27-Rev/ε Psc	0	1	N27-Rev	N01-Ash	N27-Rev	N27-Rev	7.82	9.27
1196279.25	-1437-03-14	-1437	1	R1-vasanta	352.74	N01-Ash/α Ari	N01-Ash/γ Ari	0.13	174.14	N16-Vis/α1 Lib	N16-Vis/α1 Lib	1	178	N01-Ash	N16-Vis	N01-Ash	N16-Vis	10.05	3.44
1196292.75	-1437-03-28	-1437	1	R1-vasanta	5.71	N02-Bha/* 39 Ari	N03-Kri/* 17 Tau	0.54	1.59	N02-Bha/* 39 Ari	N02-Bha/* 41 Ari	0	4	N02-Bha	N02-Bha	N03-Kri	N02-Bha	7.20	9.76
1196308.25	-1437-04-12	-1437	1	R1-vasanta	20.52	N04-Roh/ε Tau	N04-Roh/ε Tau	-1.81	195.97	N17-Anu/ω1 Sco	N17-Anu/δ Sco	1	175	N04-Roh	N17-Anu	N04-Roh	N17-Anu	2.94	1.07
1196322.75	-1437-04-27	-1437	2	R2-grīṣma	34.33	N05-Mrg/γ Ori	N04-Roh/α Tau	3.41	36.99	N05-Mrg/λ Ori	N05-Mrg/λ Ori	0	2	N05-Mrg	N05-Mrg	N04-Roh	N05-Mrg	13.49	17.26
1196338.25	-1437-05-12	-1437	2	R2-grīṣma	49.06	N06-Ard/γ Gem	N06-Ard/γ Gem	-4.31	232.54	N21-UAsh/φ Sgr	N21-UAsh/φ Sgr	1	176	N06-Ard	N21-UAsh	N06-Ard	N21-UAsh	7.54	0.83
1196351.75	-1437-05-26	-1437	2	R2-grīṣma	61.91	N07-Pun/α Gem	N07-Pun/β Gem	4.54	58.54	N07-Pun/α Gem	N07-Pun/α Gem	0	3	N07-Pun	N07-Pun	N07-Pun	N07-Pun	7.86	6.76
1196367.25	-1437-06-10	-1437	2	R2-grīṣma	76.70	N08-Pus/δ Cnc	N08-Pus/δ Cnc	-4.99	255.88	N22-Shr/β Aql	N21-UAsh/τ Sgr	1	179	N08-Pus	N22-Shr	N08-Pus	N21-UAsh	4.32	18.46
1196381.75	-1437-06-25	-1437	3	R3-varṣā	90.60	N10-Mag/ε Leo	N08-Pus/δ Cnc	4.92	91.86	N10-Mag/ε Leo	N10-Mag/ε Leo	0	1	N10-Mag	N10-Mag	N08-Pus	N10-Mag	9.58	4.65
1196396.25	-1437-07-09	-1437	3	R3-varṣā	104.60	N10-Mag/α Leo	N10-Mag/α Leo	-4.77	279.41	N23-Dha/β Αqr	N24-Sha/λ Aqr	1	174	N10-Mag	N23-Dha	N10-Mag	N24-Sha	2.10	15.17
1196411.75	-1437-07-25	-1437	3	R3-varṣā	119.68	N12-UPal/* 93 Leo	N11-PPal/θ Leo	3.52	124.50	N12-UPal/β Leo	N12-UPal/β Leo	0	4	N12-UPal	N12-UPal	N11-PPal	N12-UPal	10.39	8.96
1196426.25	-1437-08-08	-1437	3	R3-varṣā	133.91	N12-UPal/β Leo	N12-UPal/β Leo	-2.55	318.14	N26-UBha/γ Peg	N27-Rev/ε Psc	1	175	N12-UPal	N26-UBha	N12-UPal	N27-Rev	15.67	12.33
1196440.75	-1437-08-23	-1437	3	R3-varṣā	148.28	N13-Has/β Crv	N14-Chi/α Vir	1.93	145.21	N13-Has/α Crv	N14-Chi/α Vir	0	3	N13-Has	N13-Has	N14-Chi	N14-Chi	8.18	11.67
1196455.25	-1437-09-06	-1437	4	R4-śarat	162.77	N15-Swa/α Boo	N14-Chi/α Vir	-0.51	341.24	N01-Ash/γ Ari	N01-Ash/γ Ari	1	178	N15-Swa	N01-Ash	N14-Chi	N01-Ash	6.77	8.69
1196470.75	-1437-09-22	-1437	4	R4-śarat	178.39	N16-Vis/α2 Lib	N16-Vis/α2 Lib	-1.07	178.28	N16-Vis/α2 Lib	N16-Vis/α2 Lib	0	0	N16-Vis	N16-Vis	N16-Vis	N16-Vis	1.12	1.95
1196485.25	-1437-10-06	-1437	4	R4-śarat	193.10	N17-Anu/δ Sco	N17-Anu/δ Sco	2.74	18.23	N04-Roh/γ Tau	N03-Kri/* 27 Tau	1	174	N17-Anu	N04-Roh	N17-Anu	N03-Kri	2.40	5.55
1196500.75	-1437-10-22	-1437	4	R4-śarat	208.89	N18-Jye/ε Sco	N18-Jye/α Sco	-3.73	212.73	N19-Mul/ζ2 Sco	N18-Jye/ε Sco	0	3	N18-Jye	N19-Mul	N18-Jye	N18-Jye	7.90	8.29
1196514.25	-1437-11-04	-1437	5	R5-hemanta	222.69	N20-PAsh/γ Sgr	N20-PAsh/λ Sgr	4.16	40.35	N05-Mrg/α Ori	N06-Ard/γ Gem	1	177	N20-PAsh	N05-Mrg	N20-PAsh	N06-Ard	6.26	15.82
1196529.75	-1437-11-20	-1437	5	R5-hemanta	238.53	N21-UAsh/τ Sgr	N21-UAsh/τ Sgr	-4.74	234.90	N21-UAsh/σ Sgr	N21-UAsh/σ Sgr	0	3	N21-UAsh	N21-UAsh	N21-UAsh	N21-UAsh	4.57	1.81
1196544.25	-1437-12-04	-1437	5	R5-hemanta	253.31	N22-Shr/α Aql	N21-UAsh/τ Sgr	4.98	75.08	N08-Pus/δ Cnc	N08-Pus/δ Cnc	1	178	N22-Shr	N08-Pus	N21-UAsh	N08-Pus	16.53	7.79
1196559.75	-1437-12-20	-1437	5	R5-hemanta	269.04	N23-Dha/β Del	N24-Sha/λ Aqr	-4.68	272.09	N23-Dha/γ2 Del	N24-Sha/λ Aqr	0	3	N23-Dha	N23-Dha	N24-Sha	N24-Sha	24.86	22.23
1196574.25	-1436-01-03	-1436	6	R6-śiśira	283.66	N23-Dha/α Αqr	N24-Sha/λ Aqr	3.94	108.45	N11-PPal/δ Leo	N10-Mag/α Leo	1	175	N23-Dha	N11-PPal	N24-Sha	N10-Mag	10.24	6.99
1196588.75	-1436-01-18	-1436	6	R6-śiśira	298.16	N24-Sha/λ Aqr	N24-Sha/λ Aqr	-3.52	295.28	N24-Sha/λ Aqr	N24-Sha/λ Aqr	0	2	N24-Sha	N24-Sha	N24-Sha	N24-Sha	4.27	3.56
