jd,elati_Moon,elong_Moon,elong_Sun,r_Moon,sun_moon_angle,naks_Moon,naks_Sun
1355838.0,0.6859999999999999,193.403,301.693,62.523999999999994,108.29,N16-Vis,N25-Sha
1355838.167,0.865,195.442,301.86,62.611000000000004,106.41799999999999,N16-Vis,N25-Sha
1355838.333,1.041,197.47400000000002,302.026,62.695,104.552,N16-Vis,N25-Sha
1355838.5,1.217,199.49900000000002,302.192,62.776,102.693,N16-Vis,N25-Sha
1355838.667,1.39,201.518,302.35900000000004,62.853,100.84100000000001,N16-Vis,N25-Sha
1355838.833,1.561,203.53099999999998,302.525,62.926,98.994,N17-Anu,N25-Sha
1355839.0,1.73,205.53799999999998,302.691,62.996,97.15299999999999,N17-Anu,N25-Sha
1355839.167,1.896,207.54,302.857,63.062,95.31700000000001,N17-Anu,N25-Sha
1355839.333,2.06,209.53799999999998,303.024,63.123999999999995,93.486,N17-Anu,N25-Sha
1355839.5,2.221,211.53099999999998,303.19,63.183,91.65899999999999,N17-Anu,N25-Sha
1355839.667,2.379,213.52,303.356,63.238,89.836,N17-Anu,N25-Sha
1355839.833,2.5340000000000003,215.505,303.522,63.288000000000004,88.01700000000001,N17-Anu,N25-Sha
1355840.0,2.6860000000000004,217.487,303.688,63.335,86.20100000000001,N18-Jye,N25-Sha
1355840.167,2.8339999999999996,219.467,303.85400000000004,63.378,84.387,N18-Jye,N25-Sha
1355840.333,2.9789999999999996,221.44400000000002,304.02099999999996,63.416000000000004,82.57700000000001,N18-Jye,N25-Sha
1355840.5,3.12,223.419,304.187,63.451,80.768,N19-Mul,N25-Sha
1355840.667,3.258,225.392,304.353,63.481,78.961,N19-Mul,N25-Sha
1355840.833,3.391,227.364,304.519,63.507,77.155,N19-Mul,N25-Sha
1355841.0,3.5210000000000004,229.33599999999998,304.685,63.528999999999996,75.34899999999999,N19-Mul,N25-Sha
1355841.167,3.6460000000000004,231.30700000000002,304.851,63.547,73.544,N19-Mul,N25-Sha
1355841.333,3.767,233.278,305.017,63.56,71.73899999999999,N19-Mul,N25-Sha
1355841.5,3.883,235.24900000000002,305.183,63.57,69.934,N19-Mul,N25-Sha
1355841.667,3.995,237.22,305.349,63.574,68.12899999999999,N20-PAsh,N25-Sha
1355841.833,4.101,239.19299999999998,305.515,63.575,66.322,N20-PAsh,N25-Sha
1355842.0,4.203,241.167,305.681,63.571000000000005,64.514,N20-PAsh,N25-Sha
1355842.167,4.3,243.143,305.847,63.563,62.70399999999999,N20-PAsh,N25-Sha
1355842.333,4.3919999999999995,245.12099999999998,306.013,63.551,60.891999999999996,N20-PAsh,N26-PBha
1355842.5,4.478,247.101,306.17900000000003,63.534,59.078,N20-PAsh,N26-PBha
1355842.667,4.559,249.084,306.345,63.513000000000005,57.261,N21-UAsh,N26-PBha
1355842.833,4.635,251.06900000000002,306.51,63.488,55.441,N21-UAsh,N26-PBha
1355843.0,4.705,253.058,306.676,63.458999999999996,53.618,N21-UAsh,N26-PBha
1355843.167,4.769,255.051,306.842,63.426,51.791000000000004,N21-UAsh,N26-PBha
1355843.333,4.827,257.048,307.008,63.388000000000005,49.96,N21-UAsh,N26-PBha
1355843.5,4.879,259.048,307.17400000000004,63.346000000000004,48.126000000000005,N21-UAsh,N26-PBha
1355843.667,4.925,261.053,307.34,63.301,46.287,N21-UAsh,N26-PBha
