date	index	jd	lati_Jupiter	lati_Mars	lati_Mercury	lati_Moon	lati_Saturn	lati_Sun	lati_Venus	long_Jupiter	long_Mars	long_Mercury	long_Moon	long_Saturn	long_Sun	long_Venus	long_N01_Ashwini	long_N02_Bharani	long_N03_Krittika	long_N04_Rohini	long_N05_Mrigashirisham	long_N06_Thiruvadarai	long_N07_Punarpasu	long_N08_Pushyam	long_N09_Ayilyam	long_N10_Makam	long_N11_Pooram	long_N12_Uttiram	long_N13_Hastam	long_N14_Chitrai	long_N15_Swati	long_N16_Vishakam	long_N17_Anusham	long_N18_Kettai	long_N19_Moolam	long_N20_Pooradam	long_N21_Uttiradam	long_N22_Thiruvonam	long_N23_Avittam	long_N24_Shatayam	long_N25_Poorattadi	long_N26_Uttiratadi	long_N27_Revati	long_N28_Abhijit
-501-04-26	130408	1538188.5	-0.0559561371547507	1.6291587757434645	-2.141171045054389	2.2351090532809184	-1.3688962895966397	0.0	0.3015617075593534	66.58227730506985	95.47088476166729	14.870303031057972	276.4345303464703	53.8300563488765	33.95235732456746	359.822402122463	2.8615346848792775	13.479557369810456	25.257549808167454	35.01053468487885	48.95554224652139	53.98653468486788	78.87567079446033	93.94353468486611	99.93358005472852	115.26460273964973	126.35748175337217	128.6395346848749	158.86959517802765	169.12755736980785	169.3404968766322	190.3605724930864	207.8325498081543	215.03154980815344	229.8475498081679	240.40157249309866	247.63554980814993	266.6364212601861	282.7405724930864	304.7765800547316	318.82657249309824	339.6855876163882	354.56652712323717	250.52351199992964
-501-05-03	130409	1538195.5	-0.043046976721286136	1.567506434467608	-1.0528889174156717	4.632644745894381	-1.3554196504846214	0.0	-0.8159580025174121	68.03860082367804	99.45676509921587	27.76986728698131	6.234478149137317	54.72336366344194	40.63084059643529	2.159211331898064	2.861800109536812	13.479822219125525	25.257814849263347	35.01080010953638	48.9558074793981	53.98680010952541	78.87593276706308	93.94380010952364	99.93384432870113	115.26486643827987	126.35774852049545	128.63980010953242	158.86985906843861	169.12782221912292	169.34076326019382	190.36083695883983	207.83281484925018	215.03181484924934	229.84781484926378	240.40183695885207	247.63581484924583	266.63668956155595	282.7408369588398	304.7768443287042	318.82683695885163	339.68585169857994	354.5667927396755	250.52377799992965
-501-05-10	130410	1538202.5	-0.03041677079535192	1.5059778393272465	0.2062848145324101	-1.7634500026655051	-1.3435341597774912	0.0	-1.67688545545672	69.52958656119893	103.50072481165056	42.356188265124786	90.00029508025723	55.63109524713502	47.300054421984214	5.798982208369923	2.8620655341943464	13.480087068440593	25.258079890359237	35.01106553419392	48.95607271227482	53.987065534182946	78.8761947396658	93.94406553418118	99.93410860267373	115.26513013691	126.35801528761874	128.64006553418994	158.87012295884958	169.12808706843796	169.34102964375546	190.36110142459324	207.83307989034608	215.03207989034524	229.84807989035968	240.4021014246055	247.6360798903417	266.63695786292584	282.74110142459324	304.77710860267683	318.8271014246051	339.68611578077173	354.5670583561139	250.52404399992963
-501-05-17	130411	1538209.5	-0.018006584159564458	1.4444448470786715	1.2871346697187458	-4.662352666352133	-1.3332137732098108	0.0	-2.3084627887104885	71.0481938518177	107.59937896742657	57.6151643584825	184.7208849705735	56.547284705261184	53.96314664055011	10.439428353079675	2.8623309588518806	13.480351917755662	25.258344931455127	35.011330958851445	48.95633794515153	53.98733095884048	78.87645671226855	93.9443309588387	99.93437287664634	115.26539383554014	126.35828205474203	128.64033095884747	158.8703868492605	169.12835191775304	169.34129602731713	190.36136589034666	207.83334493144199	215.03234493144112	229.84834493145559	240.4023658903589	247.6363449314376	266.6372261642957	282.7413658903467	304.77737287664945	318.8273658903585	339.6863798629635	354.56732397255223	250.52430999992964
-501-05-24	130412	1538216.5	-0.005758517980692546	1.3827865883509771	1.886877128468544	3.0561046084998598	-1.3244294817860036	0.0	-2.741567350437069	72.58763791923309	111.75007217198231	72.17294003440384	285.6297227566252	57.46600453184783	60.62333192227027	15.843180089799773	2.862596383509415	13.48061676707073	25.258609972551017	35.01159638350898	48.95660317802824	53.987596383498015	78.87671868487129	93.94459638349625	99.93463715061894	115.26565753417029	126.35854882186531	128.64059638350503	158.87065073967148	169.1286167670681	169.34156241087877	190.3616303561001	207.83360997253786	215.03260997253702	229.84860997255146	240.40263035611235	247.6366099725335	266.63749446566555	282.7416303561001	304.777637150622	318.8276303561119	339.6866439451553	354.5675895889906	250.52457599992962
-501-05-31	130413	1538223.5	0.006384488314795276	1.3208899694810945	1.928159476870972	4.179526323409925	-1.3171497611118521	0.0	-3.0044013494518063	74.14132452834924	115.95076026213064	85.26840459015978	14.648407468299355	58.38134356886343	67.28385648647003	21.83279972372298	2.862861808166949	13.4808816163858	25.258875013646907	35.011861808166515	48.95686841090495	53.98786180815555	78.87698065747404	93.94486180815377	99.93490142459154	115.26592123280042	126.3588155889886	128.64086180816255	158.87091463008244	169.12888161638318	169.3418287944404	190.36189482185353	207.83387501363376	215.03287501363292	229.84887501364736	240.40289482186577	247.63687501362938	266.63776276703544	282.7418948218535	304.77790142459463	318.82789482186536	339.6869080273471	354.56785520542894	250.52484199992963
-501-06-07	130414	1538230.5	0.018478916925789124	1.2586499579637729	1.4741314231025069	-2.5849033580747367	-1.3113406462274655	0.0	-3.1213648224516137	75.70278280457579	120.19991014444487	96.73832640919487	98.61438175233185	59.287383559618036	73.94796287264866	28.2779034424392	2.8631272328244832	13.481146465700867	25.259140054742797	35.01212723282405	48.95713364378167	53.988127232813085	78.87724263007676	93.94512723281132	99.93516569856415	115.26618493143056	126.35908235611188	128.64112723282008	158.8711785204934	169.12914646569826	169.34209517800204	190.36215928760694	207.83414005472966	215.0331400547288	229.84914005474326	240.4031592876192	247.63714005472528	266.63803106840527	282.74215928760697	304.77816569856725	318.82815928761875	339.6871721095389	354.5681208218673	250.52510799992965
-501-06-14	130415	1538237.5	0.030580967782603462	1.1959697544727554	0.6147965806397472	-4.159132965238033	-1.3069654493522758	0.0	-3.1135966927033403	77.26559715493171	124.49641427585756	106.53488838310808	194.2948975647373	60.17817662311245	80.61885470603147	35.082924407536375	2.8633926574820174	13.481411315015936	25.259405095838687	35.012392657481584	48.95739887665838	53.98839265747062	78.87750460267951	93.94539265746884	99.93542997253675	115.2664486300607	126.35934912323518	128.6413926574776	158.87144241090436	169.12941131501333	169.3423615615637	190.36242375336036	207.83440509582553	215.0334050958247	229.84940509583913	240.4034237533726	247.63740509582115	266.63829936977515	282.74242375336036	304.77842997253987	318.8284237533722	339.6874361917306	354.56838643830565	250.52537399992963
-501-06-21	130416	1538244.5	0.04274686927363724	1.1327609237360712	-0.56354883204897	3.7673285820867872	-1.3039841298687052	0.0	-2.999840610165132	78.82333895368255	128.83951696389522	114.45500467356408	294.7750022879967	61.04772552064593	87.29966139798687	42.17752325054909	2.863658082139552	13.481676164331004	25.259670136934577	35.01265808213912	48.95766410953509	53.988658082128154	78.87776657528225	93.94565808212639	99.93569424650934	115.26671232869083	126.35961589035847	128.64165808213517	158.87170630131533	169.12967616432837	169.34262794512534	190.3626882191138	207.83467013692143	215.0336701369206	229.84967013693503	240.40368821912602	247.63767013691705	266.63856767114504	282.7426882191138	304.77869424651243	318.82868821912564	339.6877002739224	354.568652054744	250.52563999992964
-501-06-28	130417	1538251.5	0.05503318381940856	1.0689435357997366	-1.9600419677738208	3.6039328219190403	-1.3023523191817694	0.0	-2.7972041460103645	80.36949853199553	133.22875021094978	119.99789782271614	23.028820263588837	61.88996872364794	93.99340274544797	49.50955440516292	2.863923506797086	13.481941013646072	25.259935178030467	35.01292350679665	48.9579293424118	53.98892350678569	78.878028547885	93.94592350678391	99.93595852048195	115.26697602732096	126.35988265748175	128.6419235067927	158.8719701917263	169.12994101364345	169.34289432868698	190.36295268486722	207.83493517801733	215.03393517801646	229.84993517803093	240.40395268487947	247.63793517801295	266.63883597251487	282.7429526848672	304.77895852048505	318.828952684879	339.6879643561142	354.56891767118236	250.52590599992965
