gname,nid,nnid,tag,sname,hip,naks,enaks,daivata,raJ2000,decJ2000,lonJ2000,latJ2000,hr_daynum_kuru,hr_jd_kuru,hr_utc_kuru,hr_az_kuru,hr_alt_kuru
δ Crv,N13-Has,13,rep,Algorab,HIP 60965,हस्त,Hasta,Savitṛ,187.47,-16.52,193.45,-12.20,241,1209961.52,-1400-08-30 00:29:27.535,92.16,7.18
α Crv,N13-Has,13,other,Alchiba,HIP 59199,हस्त,Hasta,Savitṛ,182.10,-24.73,192.24,-21.75,242,1209962.52,-1400-08-31 00:30:10.822,102.43,7.63
β Crv,N13-Has,13,other,Kraz,HIP 61359,हस्त,Hasta,Savitṛ,188.60,-23.40,197.36,-18.04,246,1209966.52,-1400-09-04 00:32:42.325,100.17,7.50
γ Crv,N13-Has,13,other,Gienah,HIP 59803,हस्त,Hasta,Savitṛ,183.95,-17.54,190.72,-14.50,239,1209959.52,-1400-08-28 00:28:00.962,93.78,7.35
ε Crv,N13-Has,13,other,Minkar,HIP 59316,हस्त,Hasta,Savitṛ,182.53,-22.62,191.66,-19.67,241,1209961.52,-1400-08-30 00:29:27.535,99.89,7.56
α Vir,N14-Chi,14,rep,Spica,HIP 65474,चित्रा,Citrā,Tvaṣṭṛ,201.30,-11.16,203.84,-2.05,250,1209970.52,-1400-09-08 00:35:13.828,85.53,7.42
α Boo,N15-Swa,15,rep,Arcturus,HIP 69673,स्वाती,Svātī,Vāyu,213.92,19.18,204.23,30.73,247,1209967.52,-1400-09-05 00:33:25.611,51.07,7.03
α2 Lib,N16-Vis,16,rep,Zubenelgenubi,HIP 72622,विशाखे,Viśākhā,Indrāgnī,222.72,-16.04,225.08,0.33,271,1209991.53,-1400-09-29 00:48:56.273,92.59,7.68
α1 Lib,N16-Vis,16,other,Zubenelgenubi II,HIP 72603,विशाखे,Viśākhā,Indrāgnī,222.67,-16.00,225.02,0.36,271,1209991.53,-1400-09-29 00:48:56.273,92.56,7.74
δ Sco,N17-Anu,17,rep,Dschubba,HIP 78401,अनूराधा,Anūrādhā,Mitra,240.08,-22.62,242.56,-1.99,288,1210008.54,-1400-10-16 01:00:50.501,102.81,7.20
β1 Sco,N17-Anu,17,other,Acrab,HIP 78820,अनूराधा,Anūrādhā,Mitra,241.36,-19.81,243.18,1.01,289,1210009.54,-1400-10-17 01:01:33.788,100.32,7.96
π Sco,N17-Anu,17,other,Fang,HIP 78265,अनूराधा,Anūrādhā,Mitra,239.71,-26.11,242.93,-5.48,289,1210009.54,-1400-10-17 01:01:33.788,106.84,7.36
ω1 Sco,N17-Anu,17,other,Jabhat Acrabi I,HIP 78933,अनूराधा,Anūrādhā,Mitra,241.70,-20.67,243.66,0.22,289,1210009.54,-1400-10-17 01:01:33.788,101.05,7.39
ε Sco,N18-Jye,18,rep,Larawag,HIP 82396,ज्येष्ठा,Jyeṣṭhā,Indra,252.54,-34.29,255.33,-11.74,303,1210023.55,-1400-10-31 01:12:44.729,119.60,7.57
α Sco,N18-Jye,18,other,Antares,HIP 80763,ज्येष्ठा,Jyeṣṭhā,Indra,247.35,-26.43,249.75,-4.57,296,1210016.55,-1400-10-24 01:06:58.437,109.15,7.67
σ Sco,N18-Jye,18,other,Alniyat,HIP 80112,ज्येष्ठा,Jyeṣṭhā,Indra,245.30,-25.59,247.79,-4.04,294,1210014.55,-1400-10-22 01:05:31.864,107.73,7.74
κ Sco,N19-Mul,19,rep,Mula,HIP 86670,मूल,Mūla, Nirṛti,265.62,-39.03,266.46,-15.64,316,1210036.56,-1400-11-13 01:23:55.671,129.09,7.41
ζ2 Sco,N19-Mul,19,other,zet2Sco,HIP 82729,मूल,Mūla, Nirṛti,253.65,-42.36,257.23,-19.64,307,1210027.55,-1400-11-04 01:16:21.162,129.54,7.39
θ Sco,N19-Mul,19,other,Sargas,HIP 86228,मूल,Mūla, Nirṛti,264.33,-43.00,265.59,-19.64,317,1210037.56,-1400-11-14 01:25:00.601,133.88,7.75
ι1 Sco,N19-Mul,19,other,Girtab,HIP 87073,मूल,Mūla, Nirṛti,266.90,-40.13,267.51,-16.71,318,1210038.56,-1400-11-15 01:25:43.888,131.13,7.74
λ Sco,N19-Mul,19,other,Shaula,HIP 85927,मूल,Mūla, Nirṛti,263.40,-37.10,264.58,-13.79,313,1210033.56,-1400-11-10 01:21:24.168,125.87,7.19
ν Sco,N19-Mul,19,other,Lesath,HIP 85696,मूल,Mūla, Nirṛti,262.69,-37.30,264.00,-14.01,313,1210033.56,-1400-11-10 01:21:24.168,126.24,7.67
