iter	fits	jd	sun_ra	sun_dec	sun_lon	sun_lat	moon_ra	moon_dec	moon_lon	moon_lat	phase	jd_diff	yr	stel_jd	sun_naks	moon_naks	eqnx_1_tol	eqnx_2_tol	eqnx_3_tol	eqnx_4_tol	sun_न	moon_न	moon_phase	_season	season
3	-01880-01-19T16:01:58.148	1034422.1680341176	353.92290219445687	-2.732477003501281	299.59163368733886	0.0023867080819521	172.82008321628768	2.370878225351789	118.73273618601544	-0.777474630817387	179.1376198420189	29.608024200075302	-1879	1034406.1680324074	N25-PBha/α Peg	N12-UPal/β Leo	False	False	False	False	N25-PBha	N12-UPal	1	0	0
3	-01880-02-18T06:37:31.439	1034451.7760583176	20.65143199255044	8.874380457083273	328.6573032104096	0.0064071225053674	199.10606400663843	-11.72984863911168	148.34149802508267	-3.225830071988172	179.6865693285616	29.45201565034222	-1879	1034435.7760532408	N27-Rev/ε Psc	N14-Chi/α Vir	False	False	False	False	N27-Rev	N14-Chi	1	0	0
3	-01880-03-18T17:28:25.591	1034481.228073968	48.28705176572081	18.33362374166997	357.0899343303857	0.0089306091864059	226.9171422446147	-22.86174273698188	177.0930975310449	-4.714606558631927	180.01068270435724	29.35072848794516	-1879	1034465.2280671296	N02-Bha/* 39 Ari	N16-Vis/α2 Lib	False	False	True	True	N02-Bha	N16-Vis	1	1	1
2	-01880-04-17T01:53:28.532	1034510.578802456	77.81792218943757	23.478077941781795	25.10238411231522	0.0094606840554257	257.6765901751342	-28.406432554010525	205.3938566288795	-4.930008772887944	180.3022737751741	29.2492197988322	-1879	1034494.5787962964	N05-Mrg/γ Ori	N19-Mul/ζ2 Sco	False	False	False	False	N05-Mrg	N19-Mul	1	1	1
3	-01880-05-16T07:52:21.123	1034539.8280222547	108.12626834597546	22.912105011465528	52.91630010922627	0.007965043655823	288.4514511386267	-26.801059686254128	232.70382441476045	-3.902957132508318	179.79903344364482	29.2852735100314	-1879	1034523.8280208332	N07-Pun/α Gem	N21-UAsh/τ Sgr	False	False	False	False	N07-Pun	N21-UAsh	1	2	2
3	-01880-06-14T14:43:08.754	1034569.1132957648	137.22522530635564	16.824424109761814	80.90100121921253	0.0047748153700089	317.5311699456424	-18.672120286885765	260.61814997372267	-1.8553358409229024	179.72673608029078	29.343602643697523	-1879	1034553.113287037	N09-Asl/ζ Hya	N23-Dha/β Del	False	False	False	False	N09-Asl	N23-Dha	1	2	2
3	-01880-07-13T22:57:56.023	1034598.4568984086	164.43009033033402	6.841836302748162	109.29094265406262	0.0005854895607025	343.9896656249988	-6.233509970374692	289.12037009944714	0.7303933483715547	179.83476742085202	29.42201265867334	-1879	1034582.4568981482	N11-PPal/θ Leo	N24-Sha/λ Aqr	False	False	False	False	N11-PPal	N24-Sha	1	3	3
3	-01880-08-12T09:05:37.916	1034627.8789110671	190.99363556257103	-4.805969950717703	138.24842179588646	-0.0036031727628581	9.70840219788212	7.689598775440126	318.23050918837293	3.1578020019920623	179.98177199268122	29.448726265109144	-1879	1034611.878900463	N13-Has/ε Crv	N26-UBha/α And	False	False	False	False	N13-Has	N26-UBha	1	3	3
2	-01880-09-10T19:51:47.866	1034657.3276373324	218.95407520605423	-15.583940047817292	167.7509479992107	-0.0067133611367879	36.6186876663984	19.76452279373357	346.99428330290334	4.681040258172288	179.23741616312205	29.651093853404745	-1879	1034641.3276273148	N16-Vis/α1 Lib	N01-Ash/α Ari	False	False	False	False	N16-Vis	N01-Ash	1	4	4
3	-01880-10-10T11:29:22.374	1034686.9787311858	250.0085510493547	-22.65853881741693	197.8682302760938	-0.0079211169540833	68.8836913169694	27.45146232737252	17.556946022568365	4.897592933835893	179.67856579637652	29.67859233391937	-1879	1034670.978726852	N18-Jye/α Sco	N04-Roh/α Tau	False	False	False	False	N18-Jye	N04-Roh	1	4	4
