nid,gname,mag,localdt,jd,epoch,year,month,daynum,daynum_utryn,daynum_dksyn,sun_alt,sun_az,sun_lon,sun_lat,alt,az,ra,dec,lon,lat
N03-Kri,* 23 Tau,4.1,-1000-01-01T07:26:01.924,1355817.5805778224,-1000,-1000,1,1,13,193,-0.0059220738150958,116.80823691570824,281.4398905761596,-0.0006980958695626,-49.40508194420165,16.588793677801966,15.204268465778604,10.53271317673782,18.083703879984764,3.6191804313467473
N03-Kri,* 27 Tau,3.6,-1000-01-01T07:26:01.924,1355817.5805778224,-1000,-1000,1,1,13,193,-0.0059220738150958,116.80823691570824,281.4398905761596,-0.0006980958695626,-49.34724932744276,15.584764173221515,15.834116922435367,10.750460563274597,18.739968576267003,3.5783885666957564
N04-Roh,α Tau,0.85,-1000-01-01T07:26:01.924,1355817.5805778224,-1000,-1000,1,1,13,193,-0.0059220738150958,116.80823691570824,281.4398905761596,-0.0006980958695626,-55.73476587351681,356.2855674828607,28.19553492870256,5.532475590381831,28.14501966310702,-5.836770579410803
N04-Roh,γ Tau,3.65,-1000-01-01T07:26:01.924,1355817.5805778224,-1000,-1000,1,1,13,193,-0.0059220738150958,116.80823691570824,281.4398905761596,-0.0006980958695626,-57.439888193874204,2.8078292069868542,24.58173439841846,3.8545261180336574,24.158070604624157,-6.090308751365461
N04-Roh,δ Tau,3.77,-1000-01-01T07:26:01.924,1355817.5805778224,-1000,-1000,1,1,13,193,-0.0059220738150958,116.80823691570824,281.4398905761596,-0.0006980958695626,-55.42533853501657,2.0495494181879246,24.92666160820476,5.883102889207918,25.22905306852843,-4.330690999771718
N04-Roh,ε Tau,3.5,-1000-01-01T07:26:01.924,1355817.5805778224,-1000,-1000,1,1,13,193,-0.0059220738150958,116.80823691570824,281.4398905761596,-0.0006980958695626,-53.5588942908086,0.3124322996476071,25.908240441596725,7.767310586390921,26.82811247517632,-2.9328616603861954
N04-Roh,θ2 Tau,3.4,-1000-01-01T07:26:01.924,1355817.5805778224,-1000,-1000,1,1,13,193,-0.0059220738150958,116.80823691570824,281.4398905761596,-0.0006980958695626,-56.78790777370458,359.03777509583585,26.624316852659817,4.535196059165795,26.315447075171736,-6.202936996072371
N05-Mrg,λ Ori,3.5,-1000-01-01T07:26:01.924,1355817.5805778224,-1000,-1000,1,1,13,193,-0.0059220738150958,116.80823691570824,281.4398905761596,-0.0006980958695626,-54.43007820671369,328.53272344978103,43.789799408454826,2.5818021540088436,42.064252911782646,-13.764678854478815
N05-Mrg,γ Ori,1.6,-1000-01-01T07:26:01.924,1355817.5805778224,-1000,-1000,1,1,13,193,-0.0059220738150958,116.80823691570824,281.4398905761596,-0.0006980958695626,-58.747113007619966,327.4629946224608,42.30335571972763,-1.513423883338885,39.29429928275057,-17.208153510525733
N05-Mrg,α Ori,0.45,-1000-01-01T07:26:01.924,1355817.5805778224,-1000,-1000,1,1,13,193,-0.0059220738150958,116.80823691570824,281.4398905761596,-0.0006980958695626,-52.60961778988292,319.69041896569615,49.23253336750752,1.4371868757982424,47.11949673629687,-16.42578933584516
N06-Ard,γ Gem,1.9,-1000-01-01T07:26:01.924,1355817.5805778224,-1000,-1000,1,1,13,193,-0.0059220738150958,116.80823691570824,281.4398905761596,-0.0006980958695626,-38.870515147718244,320.253596667575,56.8098284441364,12.951190101814499,57.482200314742165,-7.138746874715867
