date	index	jd	lati_Jupiter	lati_Mars	lati_Mercury	lati_Moon	lati_Saturn	lati_Sun	lati_Venus	long_Jupiter	long_Mars	long_Mercury	long_Moon	long_Saturn	long_Sun	long_Venus	long_jyeshta
-576-02-18	126485	1510727.5	-0.9078371812779648	4.173975579332827	-2.1550211658394027	-2.8066352352935184	2.2102615146414446	0.0	8.02013219972245	306.45487078099603	116.53627218961378	307.87355633093733	231.9269626178706	221.0322203078589	328.2267274722145	313.00128948814177	213.7086005479452
-576-02-25	126486	1510734.5	-0.9235316891400888	3.914339367419087	-2.2113092788427644	4.247087897805629	2.2297128026358912	0.0	6.943518214160638	308.0610575812251	115.26174927396823	319.64494359617845	320.10087102163465	221.00917421037903	335.11652675713816	310.82974828823825	213.70863835616439
-576-03-03	126487	1510741.5	-0.9407988229656412	3.634429093868156	-1.854198998018152	2.0125154094241284	2.2482264569881	0.0	5.628962387085136	309.63009403826834	114.62955545797155	332.59224019683694	61.20227647586415	220.90709055182893	341.9771365683498	310.63033022263926	213.70867616438358
-576-03-10	126488	1510748.5	-0.959687338077908	3.3493734466873915	-1.0601068645050171	-4.902697682940791	2.265364957038684	0.0	4.28562332867514	311.15458643727834	114.6266914537623	346.69849238468873	156.08825018044138	220.72873264036159	348.8093408528192	312.2522572536448	213.70871397260274
-576-03-17	126489	1510755.5	-0.9802459001571894	3.06936465757483	0.0993749405210112	-2.0267783261021384	2.2806866810353466	0.0	3.0240006243731727	312.626958145607	115.2085406382464	1.5473727323667958	240.28856389531217	220.47841441086186	355.61430902434785	315.35846292792735	213.70875178082193
-576-03-24	126490	1510762.5	-1.0025213070775554	2.8004406751206656	1.350056896825338	4.71153010535392	2.2937600973730774	0.0	1.8904878551844124	314.0394026254335	116.31587368129476	15.912605330379453	329.3049317925279	220.16203733427741	2.393568577231405	319.61048223562807	213.7087895890411
-576-03-31	126491	1510769.5	-1.0265560388798507	2.545623048424896	2.2938351011060845	1.0714191780104096	2.3041799417935667	0.0	0.8995219385902499	315.38384354677817	117.88615950478516	28.258202068844586	70.70167779246277	219.7870684156148	9.148974775406087	324.7310531116472	213.70882739726028
-576-04-07	126492	1510776.5	-1.0523849746059235	2.305955890210211	2.64668581363795	-5.100708199317327	2.3115844346072563	0.0	0.05180825441609018	316.6519060347168	119.85996705646343	37.69842439350401	164.74091514854263	219.3624496812881	15.88267821211565	330.50984119622973	213.70886520547944
-576-04-14	126493	1510783.5	-1.08003108920753	2.081293865374588	2.269148324680727	-1.1853439499558578	2.315672271935364	0.0	-0.6572178201392177	317.8349044460131	122.18397325835684	43.831847043739856	248.6632118863945	218.8984342271405	22.597090909440908	336.7917132484698	213.70890301369863
-576-04-21	126494	1510790.5	-1.109499925392634	1.8708408091856188	1.1110987777600008	5.014374625603352	2.316217924522252	0.0	-1.2339303393051508	318.9238537566293	124.81192924552522	46.30886136260398	338.58527040855967	218.40635020163708	29.294851498485972	343.4629999743819	213.70894082191782
