padam,kaanda,varga,shloka,paada,cnt,linga
छेक,2,5,43,2,1,पुं
गृह्यक,2,5,43,2,2,पुं
मनुष्य,2,6,1,1,1,पुं
मानुष,2,6,1,1,2,पुं
मर्त्य,2,6,1,1,3,पुं
मनुज,2,6,1,1,4,पुं
मानव,2,6,1,1,5,पुं
नर,2,6,1,1,6,पुं
पुमाम्स,2,6,1,2,1,पुं
पञ्चजन,2,6,1,2,2,पुं
पुरुष,2,6,1,2,3,पुं
पूरुष,2,6,1,2,4,पुं
नर,2,6,1,2,5,पुं
स्त्री,2,6,2,1,1,स्त्री
योषित्,2,6,2,1,2,स्त्री
अबला,2,6,2,1,3,स्त्री
योषा,2,6,2,1,4,स्त्री
नारी,2,6,2,1,5,स्त्री
सीमन्तिनी,2,6,2,1,6,स्त्री
वधू,2,6,2,1,7,स्त्री
प्रतीपदर्शिनी,2,6,2,2,1,स्त्री
वामा,2,6,2,2,2,स्त्री
वनिता,2,6,2,2,3,स्त्री
महिला,2,6,2,2,4,स्त्री
अङ्गना,2,6,3,1,1,स्त्री
भीरु,2,6,3,1,2,स्त्री
कामिनी,2,6,3,1,3,स्त्री
वामलोचना,2,6,3,1,4,स्त्री
प्रमदा,2,6,3,2,1,स्त्री
मानिनी,2,6,3,2,2,स्त्री
कान्ता,2,6,3,2,3,स्त्री
ललना,2,6,3,2,4,स्त्री
नितम्बिनी,2,6,3,2,5,स्त्री
सुन्दरी,2,6,4,1,1,स्त्री
रमणी,2,6,4,1,2,स्त्री
रामा,2,6,4,1,3,स्त्री
कोपना,2,6,4,1,4,स्त्री
भामिनी,2,6,4,1,5,स्त्री
वरारोहा,2,6,4,2,1,स्त्री
मत्तकाशिनी,2,6,4,2,2,स्त्री
उत्तमा,2,6,4,2,3,स्त्री
वरवर्णिनी,2,6,4,2,4,स्त्री
महिषी,2,6,5,1,1,स्त्री
भोगिनी,2,6,5,1,2,स्त्री
पत्नी,2,6,5,2,1,स्त्री
पाणिगृहीती,2,6,5,2,2,स्त्री
द्वितीया,2,6,5,2,3,स्त्री
सहधर्मिणी,2,6,5,2,4,स्त्री
भार्या,2,6,6,1,1,स्त्री
जाया,2,6,6,1,2,स्त्री
दार,2,6,6,1,3,पुं-बहु
कुटुम्बिनी,2,6,6,1,4,स्त्री
पुरन्ध्री,2,6,6,2,1,स्त्री
सुचरित्रा,2,6,6,2,2,स्त्री
सती,2,6,6,2,3,स्त्री
साध्वी,2,6,6,2,4,स्त्री
पतिव्रता,2,6,6,2,5,स्त्री
कृतसपत्निका,2,6,7,1,1,स्त्री
अध्यूढा,2,6,7,1,2,स्त्री
अधिविन्ना,2,6,7,1,3,स्त्री
स्वयंवरा,2,6,7,1,4,स्त्री
पतिंवरा,2,6,7,2,1,स्त्री
वर्या,2,6,7,2,2,स्त्री
कुलस्त्री,2,6,7,2,3,स्त्री
कुलपालिका,2,6,7,2,4,स्त्री
कन्या,2,6,8,1,1,स्त्री
कुमारी,2,6,8,1,2,स्त्री
गौरी,2,6,8,1,3,स्त्री
नग्निका,2,6,8,1,4,स्त्री
अनागतार्तवा,2,6,8,1,5,स्त्री
मध्यमा,2,6,8,2,1,स्त्री
दृष्टरजस्,2,6,8,2,2,स्त्री
तरुणी,2,6,8,2,3,स्त्री
युवति,2,6,8,2,4,स्त्री
स्नुषा,2,6,9,1,1,स्त्री
जनी,2,6,9,1,2,स्त्री
वधू,2,6,9,1,3,स्त्री
चिरिण्टी,2,6,9,1,4,स्त्री
सुवासिनी,2,6,9,1,5,स्त्री
इच्छावती,2,6,9,2,1,स्त्री
कामुका,2,6,9,2,2,स्त्री
वृषस्यन्ती,2,6,9,2,3,स्त्री
कामुकी,2,6,9,2,4,स्त्री
अभिसारिका,2,6,10,1,1,स्त्री
पुंश्चली,2,6,10,2,1,स्त्री
धर्षिणी,2,6,10,2,2,स्त्री
बन्धकी,2,6,10,2,3,स्त्री
असती,2,6,10,2,4,स्त्री
कुलटा,2,6,10,2,5,स्त्री
इत्वरी,2,6,10,2,6,स्त्री
स्वैरिणी,2,6,11,1,1,स्त्री
पांसुला,2,6,11,1,2,स्त्री
अशिश्वी,2,6,11,1,3,स्त्री
अवीरा,2,6,11,2,1,स्त्री
विश्वस्ता,2,6,11,2,2,स्त्री
विधवा,2,6,11,2,3,स्त्री
आलि,2,6,12,1,1,स्त्री
सखी,2,6,12,1,2,स्त्री
वयस्या,2,6,12,1,3,स्त्री
पतिवत्नी,2,6,12,1,4,स्त्री
सभर्तृका,2,6,12,1,5,स्त्री
वृद्धा,2,6,12,2,1,स्त्री
पलिक्नी,2,6,12,2,2,स्त्री
प्राज्ञी,2,6,12,2,3,स्त्री
प्रज्ञा,2,6,12,2,4,स्त्री
प्राज्ञा,2,6,12,2,5,स्त्री
धीमती,2,6,12,2,6,स्त्री
शूद्री,2,6,13,1,1,स्त्री
शूद्रा,2,6,13,1,2,स्त्री
आभीरी,2,6,13,2,1,स्त्री
महाशूद्री,2,6,13,2,2,स्त्री
अर्याणी,2,6,14,1,1,स्त्री
अर्या,2,6,14,1,2,स्त्री
क्षत्रिया,2,6,14,1,3,स्त्री
क्षत्रियाणी,2,6,14,1,4,स्त्री
उपाध्याया,2,6,14,2,1,स्त्री
उपाध्यायी,2,6,14,2,2,स्त्री
आचार्या,2,6,14,2,3,स्त्री
आचार्यानी,2,6,15,1,1,स्त्री
अर्यी,2,6,15,1,2,स्त्री
क्षत्रियी,2,6,15,1,3,स्त्री
उपाध्यायानी,2,6,15,2,1,स्त्री
उपाध्यायी,2,6,15,2,2,स्त्री
पोटा,2,6,15,2,3,स्त्री
वीरपत्नी,2,6,16,1,1,स्त्री
वीरभार्या,2,6,16,1,2,स्त्री
वीरमातृ,2,6,16,1,3,स्त्री
वीरसू,2,6,16,1,4,स्त्री
जातापत्या,2,6,16,2,1,स्त्री
प्रजाता,2,6,16,2,2,स्त्री
प्रसूता,2,6,16,2,3,स्त्री
प्रसूतिका,2,6,16,2,4,स्त्री
नग्निका,2,6,17,1,1,स्त्री
कोटवी,2,6,17,1,2,स्त्री
दूती,2,6,17,1,3,स्त्री
सञ्चारिका,2,6,17,1,4,स्त्री
कात्यायनी,2,6,17,2,1,स्त्री
सैरन्ध्री,2,6,18,1,1,स्त्री
असिक्नी,2,6,18,2,1,स्त्री
वारस्त्री,2,6,19,1,1,स्त्री
गणिका,2,6,19,1,2,स्त्री
वेश्या,2,6,19,1,3,स्त्री
रूपाजीवा,2,6,19,1,4,स्त्री
वारमुख्या,2,6,19,2,1,स्त्री
कुट्टनी,2,6,19,2,2,स्त्री
शम्भली,2,6,19,2,3,स्त्री
विप्रश्निका,2,6,20,1,1,स्त्री
ईक्षणिका,2,6,20,1,2,स्त्री
दैवज्ञा,2,6,20,1,3,स्त्री
रजस्वला,2,6,20,1,4,स्त्री
स्त्रीधर्मिणी,2,6,20,2,1,स्त्री
अवि,2,6,20,2,2,स्त्री
आत्रेयी,2,6,20,2,3,स्त्री
मलिनी,2,6,20,2,4,स्त्री
पुष्पवती,2,6,20,2,5,स्त्री
ऋतुमती,2,6,21,1,1,स्त्री
उदक्या,2,6,21,1,2,स्त्री
रजस्,2,6,21,1,3,नपुं
पुष्प,2,6,21,1,4,नपुं
आर्तव,2,6,21,1,5,नपुं
श्रद्धालु,2,6,21,2,1,स्त्री
दोहदवती,2,6,21,2,2,स्त्री
निष्कला,2,6,21,2,3,स्त्री
विगतार्तवा,2,6,21,2,4,स्त्री
आपन्नसत्त्वा,2,6,22,1,1,स्त्री
गुर्विणी,2,6,22,1,2,स्त्री
अन्तर्वत्नी,2,6,22,1,3,स्त्री
गर्भिणी,2,6,22,1,4,स्त्री
गाणिक्य,2,6,22,2,1,नपुं
गार्भिण,2,6,22,2,2,नपुं
यौवत,2,6,22,2,3,नपुं
पुनर्भू,2,6,23,1,1,स्त्री
दिधिषू,2,6,23,1,2,स्त्री
दिधिषु,2,6,23,1,3,स्त्री
अग्रेदिधिषू,2,6,23,2,1,पुं
कानीन,2,6,24,1,1,पुं
कन्यकाजात,2,6,24,1,2,पुं
सुभगासुत,2,6,24,1,3,पुं
सौभागिनेय,2,6,24,2,1,पुं
पारस्त्रैणेय,2,6,24,2,2,पुं
पैतृष्वसेय,2,6,25,1,1,पुं
पैतृष्वस्रीय,2,6,25,1,2,पुं
मातृष्वसृ,2,6,25,2,1,स्त्री
वैमात्रेय,2,6,25,2,2,पुं
विमातृज,2,6,25,2,3,पुं
बान्धकिनेय,2,6,26,1,1,पुं
बन्धुल,2,6,26,1,2,पुं
असतीसुत,2,6,26,1,3,पुं
कौलटेर,2,6,26,2,1,पुं
कौलटेय,2,6,26,2,2,पुं
कौलटिनेय,2,6,27,1,1,पुं
कौलटेय,2,6,27,1,2,पुं
आत्मज,2,6,27,2,1,पुं
तनय,2,6,27,2,2,पुं
सूनु,2,6,27,2,3,पुं
सुत,2,6,27,2,4,पुं
पुत्र,2,6,27,2,5,पुं
अपत्य,2,6,28,1,1,नपुं
आत्मजा,2,6,28,1,2,स्त्री
तनया,2,6,28,1,3,स्त्री
सूनू,2,6,28,1,4,स्त्री
सुता,2,6,28,1,5,स्त्री
पुत्री,2,6,28,1,6,स्त्री
तोक,2,6,28,1,7,नपुं
उरस्य,2,6,28,2,1,पुं
औरस,2,6,28,2,2,पुं
तात,2,6,28,2,3,पुं
जनक,2,6,28,2,4,पुं
पितृ,2,6,28,2,5,पुं
जनयित्री,2,6,29,1,1,स्त्री
प्रसू,2,6,29,1,2,स्त्री
मातृ,2,6,29,1,3,स्त्री
जननी,2,6,29,1,4,स्त्री
भगिनी,2,6,29,1,5,स्त्री
स्वसृ,2,6,29,1,6,स्त्री
ननन्दृ,2,6,29,2,1,स्त्री
नप्त्री,2,6,29,2,2,स्त्री
पौत्री,2,6,29,2,3,स्त्री
सुतात्मजा,2,6,29,2,4,स्त्री
यातर,2,6,30,1,1,स्त्री
प्रजावती,2,6,30,2,1,स्त्री
भ्रातृजाया,2,6,30,2,2,स्त्री
मातुलानी,2,6,30,2,3,स्त्री
मातुली,2,6,30,2,4,स्त्री
श्वश्रू,2,6,31,1,1,स्त्री
श्वशुर,2,6,31,1,2,पुं
पितृव्य,2,6,31,2,1,पुं
मातुल,2,6,31,2,2,पुं
श्याल,2,6,32,1,1,पुं
देवृ,2,6,32,1,2,पुं
देवर,2,6,32,1,3,पुं
स्वस्रीय,2,6,32,2,1,पुं
भागिनेय,2,6,32,2,2,पुं
जामातृ,2,6,32,2,3,पुं
पितामह,2,6,33,1,1,पुं
पितृपितृ,2,6,33,1,2,पुं
प्रपितामह,2,6,33,1,3,पुं
मातामह,2,6,33,2,1,पुं
प्रमातामह,2,6,33,2,2,पुं
सपिण्ड,2,6,33,2,3,पुं
सनाभि,2,6,33,2,4,पुं
समानोदर्य,2,6,34,1,1,पुं
सोदर्य,2,6,34,1,2,पुं
सगर्भ्य,2,6,34,1,3,पुं
सहज,2,6,34,1,4,पुं
सगोत्र,2,6,34,2,1,पुं
बान्धव,2,6,34,2,2,पुं
ज्ञाति,2,6,34,2,3,पुं
बन्धु,2,6,34,2,4,पुं
स्व,2,6,34,2,5,पुं
स्वजन,2,6,34,2,6,पुं
ज्ञातेय,2,6,35,1,1,नपुं
बन्धुता,2,6,35,1,2,स्त्री
धव,2,6,35,2,1,पुं
प्रिय,2,6,35,2,2,पुं
पति,2,6,35,2,3,पुं
भर्तृ,2,6,35,2,4,पुं
जार,2,6,35,2,5,पुं
उपपति,2,6,35,2,6,पुं
कुण्ड,2,6,36,1,1,पुं
गोलक,2,6,36,1,2,पुं
भ्रात्रीय,2,6,36,2,1,पुं
भ्रातृज,2,6,36,2,2,पुं
भ्रातृभगिनी,2,6,36,2,3,पुं
भ्रातर्,2,6,36,2,4,पुं-द्वि
मातापितृ,2,6,37,1,1,पुं-द्वि
पितरौ,2,6,37,1,2,पुं-द्वि
मातरपितृ,2,6,37,1,3,पुं-द्वि
प्रसूजनयितृ,2,6,37,1,4,पुं-द्वि
श्वश्रूश्वशुर,2,6,37,2,1,पुं-द्वि
श्वशुर,2,6,37,2,2,पुं-द्वि
पुत्रौ,2,6,37,2,3,पुं-द्वि
दम्पती,2,6,38,1,1,पुं-द्वि
जम्पती,2,6,38,1,2,पुं-द्वि
जायापती,2,6,38,1,3,पुं-द्वि
भार्यापती,2,6,38,1,4,पुं-द्वि
गर्भाशय,2,6,38,2,1,पुं
जरायु,2,6,38,2,2,पुं
उल्ब,2,6,38,2,3,पुं-नपुं
कलल,2,6,38,2,4,पुं-नपुं
सूतिमास,2,6,39,1,1,पुं
वैजनन,2,6,39,1,2,पुं
गर्भ,2,6,39,1,3,पुं
भ्रूण,2,6,39,1,4,पुं
तृतीयाप्रकृति,2,6,39,2,1,पुं
शण्ढ,2,6,39,2,2,पुं
क्लीब,2,6,39,2,3,पुं-नपुं
षण्ड,2,6,39,2,4,पुं
नपुंसक,2,6,39,2,5,पुं-नपुं
शिशुत्व,2,6,40,1,1,नपुं
शैशव,2,6,40,1,2,नपुं
बाल्य,2,6,40,1,3,नपुं
तारुण्य,2,6,40,1,4,नपुं
यौवन,2,6,40,1,5,नपुं
स्थाविर,2,6,40,2,1,नपुं
वृद्धत्व,2,6,40,2,2,नपुं
वृद्धसङ्घ,2,6,40,2,3,पुं
वार्धक,2,6,40,2,4,नपुं
पलित,2,6,41,1,1,नपुं
विस्रसा,2,6,41,1,2,स्त्री
जरा,2,6,41,1,3,स्त्री
उत्तानशया,2,6,41,2,1,स्त्री
डिम्भा,2,6,41,2,2,स्त्री
स्तनपा,2,6,41,2,3,स्त्री
स्तनन्धयी,2,6,41,2,4,स्त्री
बाल,2,6,42,1,1,पुं
माणवक,2,6,42,1,2,पुं
वयस्थ,2,6,42,1,3,पुं
तरुण,2,6,42,1,4,पुं
युवन्,2,6,42,1,5,पुं
प्रवयस्,2,6,42,2,1,पुं
स्थविर,2,6,42,2,2,पुं
वृद्ध,2,6,42,2,3,पुं
जीन,2,6,42,2,4,पुं
जीर्ण,2,6,42,2,5,पुं
जरत्,2,6,42,2,6,पुं
वर्षीयस्,2,6,43,1,1,पुं
दशमिन्,2,6,43,1,2,पुं
ज्यायस्,2,6,43,1,3,पुं
पूर्वज,2,6,43,1,4,पुं
अग्रिय,2,6,43,1,5,पुं
अग्रज,2,6,43,1,6,पुं
जघन्यज,2,6,43,2,1,पुं
कनिष्ठ,2,6,43,2,2,पुं
यवीय,2,6,43,2,3,पुं
अवरज,2,6,43,2,4,पुं
अनुज,2,6,43,2,5,पुं
अमांस,2,6,44,1,1,पुं
दुर्बल,2,6,44,1,2,पुं
छात,2,6,44,1,3,पुं
बलवत्,2,6,44,1,4,पुं
मांसल,2,6,44,1,5,पुं
अंसल,2,6,44,1,6,पुं
तुन्दिल,2,6,44,2,1,पुं
तुन्दिक,2,6,44,2,2,पुं
तुन्दिन्,2,6,44,2,3,पुं
बृहत्कुक्षि,2,6,44,2,4,पुं
पिचण्डिल,2,6,44,2,5,पुं
अवटीट,2,6,45,1,1,पुं
अवनाट,2,6,45,1,2,पुं
अवभ्रट,2,6,45,1,3,पुं
नतनासिक,2,6,45,1,4,पुं
केशव,2,6,45,2,1,पुं
केशिक,2,6,45,2,2,पुं
केशिन्,2,6,45,2,3,पुं
वलिन,2,6,45,2,4,पुं
वलिभ,2,6,45,2,5,पुं
विकलाङ्ग,2,6,46,1,1,पुं
अपोगण्ड,2,6,46,1,2,पुं
खर्व,2,6,46,1,3,पुं
ह्रस्व,2,6,46,1,4,पुं
वामन,2,6,46,1,5,पुं
खरणस्,2,6,46,2,1,पुं
खरणस,2,6,46,2,2,पुं
विग्र,2,6,46,2,3,पुं
गतनासिक,2,6,46,2,4,पुं
खुरणस्,2,6,47,1,1,पुं
खुरणस,2,6,47,1,2,पुं
प्रज्ञु,2,6,47,1,3,पुं
प्रगतजानुक,2,6,47,1,4,पुं
ऊर्ध्वज्ञु,2,6,47,2,1,पुं
ऊर्ध्वजानु,2,6,47,2,2,पुं
संज्ञु,2,6,47,2,3,पुं
संहतजानुक,2,6,47,2,4,पुं
एड,2,6,48,1,1,पुं
बधिर,2,6,48,1,2,पुं
कुब्ज,2,6,48,1,3,पुं
गडुल,2,6,48,1,4,पुं
कुकर,2,6,48,1,5,पुं
कुणि,2,6,48,1,6,पुं
पृश्नि,2,6,48,2,1,पुं
अल्पतनु,2,6,48,2,2,पुं
श्रोण,2,6,48,2,3,पुं
पङ्गु,2,6,48,2,4,पुं
मुण्ड,2,6,48,2,5,पुं
मुण्डित,2,6,48,2,6,पुं
वलिर,2,6,49,1,1,पुं
केकर,2,6,49,1,2,पुं
खोड,2,6,49,1,3,पुं
खञ्ज,2,6,49,1,4,पुं
जडुल,2,6,49,2,1,पुं
कालक,2,6,49,2,2,पुं
पिप्लु,2,6,49,2,3,पुं
तिलक,2,6,49,2,4,पुं
तिलकालक,2,6,49,2,5,पुं
अनामय,2,6,50,1,1,नपुं
आरोग्य,2,6,50,1,2,नपुं
चिकित्सा,2,6,50,1,3,स्त्री
रुक्प्रतिक्रिया,2,6,50,1,4,स्त्री
भेषज,2,6,50,2,1,नपुं
औषध,2,6,50,2,2,नपुं
भैषज्य,2,6,50,2,3,नपुं
अगद,2,6,50,2,4,पुं
जायु,2,6,50,2,5,पुं
रुज्,2,6,51,1,1,स्त्री
रुजा,2,6,51,1,2,स्त्री
उपताप,2,6,51,1,3,पुं
रोग,2,6,51,1,4,पुं
व्याधि,2,6,51,1,5,पुं
गद,2,6,51,1,6,पुं
आमय,2,6,51,1,7,पुं
क्षय,2,6,51,2,1,पुं
शोष,2,6,51,2,2,पुं
यक्ष्मन्,2,6,51,2,3,पुं
प्रतिश्याय,2,6,51,2,4,पुं
पीनस,2,6,51,2,5,पुं
क्षुत्,2,6,52,1,1,स्त्री
क्षुत,2,6,52,1,2,नपुं
क्षव,2,6,52,1,3,पुं
कास,2,6,52,1,4,पुं
क्षवथु,2,6,52,1,5,पुं
शोफ,2,6,52,2,1,पुं
श्वयथु,2,6,52,2,2,पुं
शोथ,2,6,52,2,3,पुं
पादस्फोट,2,6,52,2,4,पुं
विपादिका,2,6,52,2,5,स्त्री
किलास,2,6,53,1,1,नपुं
सिध्म,2,6,53,1,2,नपुं
कच्छू,2,6,53,1,3,स्त्री
पामन्,2,6,53,1,4,पुं
पामा,2,6,53,1,5,स्त्री
विचर्चिका,2,6,53,1,6,स्त्री
कण्डू,2,6,53,2,1,स्त्री
खर्जू,2,6,53,2,2,स्त्री
कण्डूया,2,6,53,2,3,स्त्री
विस्फोट,2,6,53,2,4,पुं
पिटक,2,6,53,2,5,वि
व्रण,2,6,54,1,1,पुं-नपुं
ईर्म,2,6,54,1,2,नपुं
अरुस्,2,6,54,1,3,नपुं
नाडीव्रण,2,6,54,1,4,पुं
कोठ,2,6,54,2,1,पुं
मण्डलक,2,6,54,2,2,नपुं
कुष्ठ,2,6,54,2,3,नपुं
श्वित्र,2,6,54,2,4,नपुं
दुर्नामक,2,6,54,2,5,नपुं
अर्शस्,2,6,54,2,6,नपुं
आनाह,2,6,55,1,1,पुं
विबन्ध,2,6,55,1,2,पुं
ग्रहणी,2,6,55,1,3,स्त्री
रुक्प्रवाहिका,2,6,55,1,4,स्त्री
प्रच्छर्दिका,2,6,55,2,1,स्त्री
वमि,2,6,55,2,2,स्त्री
वमथु,2,6,55,2,3,पुं
विद्रधि,2,6,56,1,1,स्त्री
ज्वर,2,6,56,1,2,पुं
मेह,2,6,56,1,3,पुं
भगन्दर,2,6,56,1,4,पुं
श्लीपद,2,6,56,2,1,नपुं
पादवल्मीक,2,6,56,2,2,नपुं
केशघ्न,2,6,56,2,3,नपुं
इन्द्रलुप्तक,2,6,56,2,4,नपुं
अश्मरी,2,6,56,3,1,स्त्री
मूत्रकृच्छ्र,2,6,56,3,2,नपुं
रोगहारिन्,2,6,57,1,1,पुं
अगदङ्कार,2,6,57,1,2,पुं
भिषज्,2,6,57,1,3,पुं
वैद्य,2,6,57,1,4,पुं
चिकित्सक,2,6,57,1,5,पुं
वार्त,2,6,57,2,1,नपुं
निरामय,2,6,57,2,2,वि
कल्य,2,6,57,2,3,वि
उल्लाघ,2,6,57,2,4,वि
ग्लान,2,6,58,1,1,वि
ग्लास्नु,2,6,58,1,2,वि
आमयाविन्,2,6,58,1,3,वि
विकृत,2,6,58,1,4,वि
व्याधित,2,6,58,1,5,वि
अपटु,2,6,58,1,6,वि
आतुर,2,6,58,2,1,वि
अभ्यमित,2,6,58,2,2,वि
अभ्यान्त,2,6,58,2,3,वि
पामन,2,6,58,2,4,वि
कच्छुर,2,6,58,2,5,वि
दद्रुण,2,6,59,1,1,वि
दद्रुरोगिन्,2,6,59,1,2,वि
अर्शोरोग,2,6,59,1,3,वि
अर्शस्,2,6,59,1,4,वि
वातकिन्,2,6,59,2,1,वि
वातरोगिन्,2,6,59,2,2,वि
सातिसार,2,6,59,2,3,वि
अतिसारकिन्,2,6,59,2,4,वि
चुल्ल,2,6,60,1,1,वि
चिल्ल,2,6,60,1,2,वि
पिल्ल,2,6,60,1,3,वि
उन्मत्त,2,6,60,2,1,वि
उन्मादवत्,2,6,60,2,2,वि
श्लेष्मल,2,6,60,2,3,वि
श्लेष्मण,2,6,60,2,4,वि
कफिन्,2,6,60,2,5,वि
न्युब्ज,2,6,61,1,1,वि
वृद्धनाभि,2,6,61,1,2,वि
तुन्दिल,2,6,61,1,3,वि
तुन्दिभ,2,6,61,1,4,वि
किलासिन्,2,6,61,2,1,वि
सिध्मल,2,6,61,2,2,वि
अन्ध,2,6,61,2,3,वि
अदृश्,2,6,61,2,4,वि
मूर्च्छाल,2,6,61,2,5,वि
मूर्त,2,6,61,2,6,वि
मूर्च्छित,2,6,61,2,7,वि
शुक्र,2,6,62,1,1,नपुं
तेजस्,2,6,62,1,2,नपुं
रेतस्,2,6,62,1,3,नपुं
बीज,2,6,62,1,4,नपुं
वीर्य,2,6,62,1,5,नपुं
इन्द्रिय,2,6,62,1,6,नपुं
मायु,2,6,62,2,1,पुं
पित्त,2,6,62,2,2,नपुं
कफ,2,6,62,2,3,पुं
श्लेष्मन्,2,6,62,2,4,पुं
त्वच्,2,6,62,2,5,स्त्री
असृर्ग्धरा,2,6,62,2,6,स्त्री
पिशित,2,6,63,1,1,नपुं
तरस,2,6,63,1,2,नपुं
मांस,2,6,63,1,3,नपुं
पलल,2,6,63,1,4,नपुं
क्रव्य,2,6,63,1,5,नपुं
आमिष,2,6,63,1,6,नपुं
उत्तप्त,2,6,63,2,1,नपुं
शुष्कमांस,2,6,63,2,2,नपुं
वल्लूर,2,6,63,2,3,वि
रुधिर,2,6,64,1,1,नपुं
असृज्,2,6,64,1,2,नपुं
लोहित,2,6,64,1,3,नपुं
अस्र,2,6,64,1,4,नपुं
रक्त,2,6,64,1,5,नपुं
क्षतज,2,6,64,1,6,नपुं
शोणित,2,6,64,1,7,नपुं
बुक्का,2,6,64,2,1,स्त्री
अग्रमांस,2,6,64,2,2,नपुं
हृदय,2,6,64,2,3,नपुं
हृद्,2,6,64,2,4,नपुं
मेदस्,2,6,64,2,5,नपुं
वपा,2,6,64,2,6,स्त्री
वसा,2,6,64,2,7,स्त्री
मन्या,2,6,65,1,1,स्त्री
नाडी,2,6,65,1,2,स्त्री
धमनि,2,6,65,1,3,स्त्री
सिरा,2,6,65,1,4,स्त्री
तिलक,2,6,65,2,1,नपुं
क्लोमन्,2,6,65,2,2,नपुं
मस्तिष्क,2,6,65,2,3,नपुं
गोर्द,2,6,65,2,4,नपुं
किट्ट,2,6,65,2,5,नपुं
मल,2,6,65,2,6,पुं-नपुं
अन्त्र,2,6,66,1,1,नपुं
पुरीतत्,2,6,66,1,2,पुं-नपुं
गुल्म,2,6,66,1,3,पुं
प्लीहन्,2,6,66,1,4,पुं
वस्नसा,2,6,66,1,5,स्त्री
स्नायु,2,6,66,2,1,स्त्री
कालखण्ड,2,6,66,2,2,नपुं
यकृत्,2,6,66,2,3,नपुं
सृणिका,2,6,67,1,1,स्त्री
स्यन्दिनी,2,6,67,1,2,स्त्री
लाला,2,6,67,1,3,स्त्री
दूषिका,2,6,67,1,4,स्त्री
नासामल,2,6,67,2,1,नपुं
सिङ्घाण,2,6,67,2,2,पुं
पिञ्जूष,2,6,67,2,3,पुं
मूत्र,2,6,67,3,1,नपुं
प्रस्राव,2,6,67,3,2,पुं
उच्चार,2,6,67,3,3,पुं
अवस्कर,2,6,67,3,4,पुं
शमल,2,6,67,3,5,नपुं
शकृत्,2,6,67,3,6,नपुं
पुरीष,2,6,68,1,1,नपुं
गूथ,2,6,68,1,2,नपुं
वर्चस्क,2,6,68,1,3,पुं-नपुं
विष्ठा,2,6,68,1,4,स्त्री
विश्,2,6,68,1,5,स्त्री
कर्पर,2,6,68,2,1,पुं
कपाल,2,6,68,2,2,पुं-नपुं
कीकस,2,6,68,2,3,नपुं
कुल्य,2,6,68,2,4,नपुं
अस्थि,2,6,68,22,5,नपुं
कङ्काल,2,6,69,1,1,पुं
कशेरुका,2,6,69,1,2,स्त्री
शिरोस्थि,2,6,69,2,1,नपुं
करोटि,2,6,69,2,2,स्त्री
पर्शुका,2,6,69,2,3,स्त्री
अङ्ग,2,6,70,1,1,नपुं
प्रतीक,2,6,70,1,2,पुं
अवयव,2,6,70,1,3,पुं
अपघन,2,6,70,1,4,पुं
कलेवर,2,6,70,1,5,नपुं
गात्र,2,6,70,2,1,नपुं
वपुस्,2,6,70,2,2,नपुं
संहनन,2,6,70,2,3,नपुं
शरीर,2,6,70,2,4,नपुं
वर्ष्मन्,2,6,70,2,5,नपुं
विग्रह,2,6,70,2,6,पुं
काय,2,6,71,1,1,पुं
देह,2,6,71,1,2,पुं-नपुं
मूर्ति,2,6,71,1,3,स्त्री
तनु,2,6,71,1,4,स्त्री
तनू,2,6,71,1,5,स्त्री
पादाग्र,2,6,71,2,1,नपुं
प्रपद,2,6,71,2,2,नपुं
पाद,2,6,71,2,3,पुं
पद्,2,6,71,2,4,पुं
अङ्घ्रि,2,6,71,2,5,पुं
चरण,2,6,71,2,6,पुं-नपुं
घुटिका,2,6,72,1,1,स्त्री
गुल्फ,2,6,72,1,2,पुं
पार्ष्णि,2,6,72,1,3,पुं
जङ्घा,2,6,72,2,1,स्त्री
प्रसृता,2,6,72,2,2,स्त्री
जानु,2,6,72,2,3,पुं-नपुं
ऊरुपर्वन्,2,6,72,2,4,पुं-नपुं
अष्टीवत्,2,6,72,2,5,पुं-नपुं
सक्थि,2,6,73,1,1,नपुं
ऊरु,2,6,73,1,2,पुं
वङ्क्षण,2,6,73,1,3,पुं
गुद,2,6,73,2,1,नपुं
अपान,2,6,73,2,2,नपुं
पायु,2,6,73,2,3,पुं
बस्ति,2,6,73,2,4,स्त्री-पुं
कट,2,6,74,1,1,पुं
श्रोणिफलक,2,6,74,1,2,नपुं
कटि,2,6,74,1,3,स्त्री
श्रोणि,2,6,74,1,4,स्त्री
ककुद्मती,2,6,74,1,5,स्त्री
नितम्ब,2,6,74,2,1,पुं
जघन,2,6,74,2,2,नपुं
कूपक,2,6,75,1,1,पुं
कुकुन्दर,2,6,75,1,2,पुं
स्फिच्,2,6,75,2,1,स्त्री
कटिप्रोथ,2,6,75,2,2,पुं
उपस्थ,2,6,75,2,3,पुं
भग,2,6,76,1,1,नपुं
योनि,2,6,76,1,2,स्त्री-पुं
शिश्न,2,6,76,1,3,पुं
मेढ्र,2,6,76,1,4,पुं
मेहन,2,6,76,1,5,नपुं
शेफस्,2,6,76,1,6,नपुं
मुष्क,2,6,76,2,1,पुं
अण्डकोश,2,6,76,2,2,पुं
वृषण,2,6,76,2,3,पुं
त्रिक,2,6,76,2,4,नपुं
पिचण्ड,2,6,77,1,1,पुं
