UTC_Date,EclType,PenMag,UmbralMag,PenEclipseBegins,Alt1,PartialEclipseBegins,Alt2,TotalEclipseBegins,Alt3,MidEclipse,Alt4,TotalEclipseEnds,Alt5,PartialEclipseEnds,Alt6,PenEclipseEnds,Alt7
b1980-05-27,P,1.070,0.070,03:12,+26,04:55,+07,-,-,05:26,+01,-,-,05:56,-05,07:39,-27
b1980-11-21,P,2.038,0.971,03:29,+41,04:41,+26,-,-,06:21,+05,-,-,08:02,-15,09:14,-27
b1979-05-16,T,2.509,1.557,16:17,-31,17:12,-20,18:11,-08,18:57,+02,19:44,+11,20:43,+22,21:37,+31
b1979-11-10,T,2.512,1.406,04:33,+25,05:46,+10,06:55,-04,07:41,-13,08:26,-22,09:35,-34,10:48,-43
b1978-10-30,P,1.280,0.187,04:15,+28,05:58,+06,-,-,06:50,-05,-,-,07:41,-15,09:24,-34
b1977-03-27,N,0.530,-0.472,17:21,-13,-,-,-,-,19:00,+07,-,-,-,-,20:40,+28
b1977-04-26,N,0.392,-0.579,02:48,+37,-,-,-,-,04:12,+22,-,-,-,-,05:35,+05
b1977-09-19,N,0.511,-0.492,20:27,+21,-,-,-,-,22:03,+38,-,-,-,-,23:38,+50
b1976-03-15,P,1.874,0.817,22:58,+60,00:13,+70,-,-,01:50,+64,-,-,03:26,+45,04:41,+30
b1975-03-04,T,2.548,1.468,23:31,+68,00:42,+74,01:50,+66,02:38,+57,03:26,+48,04:34,+33,05:45,+18
b1975-08-29,T,2.602,1.632,02:00,+38,02:56,+31,03:54,+22,04:41,+13,05:29,+04,06:27,-08,07:22,-19
b1974-02-22,P,1.207,0.153,01:45,+69,03:26,+49,-,-,04:12,+39,-,-,04:58,+29,06:39,+07
b1974-08-18,P,1.255,0.241,15:26,-47,16:53,-28,-,-,17:48,-17,-,-,18:43,-06,20:10,+12
b1973-01-12,N,0.817,-0.167,23:39,+78,-,-,-,-,01:34,+76,-,-,-,-,03:29,+51
b1972-01-02,T,2.083,1.117,14:31,-29,15:28,-22,16:40,-10,17:05,-06,17:29,-02,18:41,+12,19:39,+24
b1972-12-22,T,2.363,1.369,05:33,+19,06:32,+07,07:35,-05,08:16,-12,08:56,-19,09:59,-28,10:58,-35
b1971-12-11,N,1.042,-0.009,16:15,-15,-,-,-,-,18:32,+11,-,-,-,-,20:48,+40
b1970-05-07,N,0.174,-0.770,18:19,-05,-,-,-,-,19:14,+06,-,-,-,-,20:09,+17
